,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,701 Western Avenue,2nd Floor,Glendale,CA,91201-2349,United States,818 244 8080,818 291 1015,https://www.publicstorage.com,REIT—Industrial,Real Estate,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At June 30, 2023, we had: (i) interests in 2,888 self-storage facilities located in 40 states with approximately 206 million net rentable square feet in the United States and (ii) a 35% common equity interest in Shurgard Self Storage Limited (Euronext Brussels:SHUR), which owned 266 self-storage facilities located in seven Western European nations with approximately 15 million net rentable square feet operated under the Shurgard brand. Our headquarters are located in Glendale, California.",5900,"{'maxAge': 1, 'name': 'Mr. Joseph D. Russell Jr.', 'age': 62, 'title': 'CEO, Pres & Trustee', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 2162200, 'exercisedValue': 0, 'unexercisedValue': 3174689}",2,9,1,6,3,1693526400,1672444800,86400,2,276.09,275.29,273.53,277.605,276.09,275.29,273.53,277.605,12.0,0.0438,1694476800,0.4329,3.19,0.451936,11.861098,23.814941,1039958,1039958,809496,750090,750090,269.69,278.74,800,800,48329977856,266.01,316.48,10.931251,282.497,289.9021,10.0,0.036220074,USD,58881744896,0.96739,157889586,175828992,4223198,3792142,1690761600,1693440000,0.024,0.101280004,0.82548,4.94,0.0307,32.571,8.415769,1672444800,1703980800,1688083200,-0.116,4070629888,23.11,11.51,1.44,13.318,18.346,NYQ,EQUITY,PSA,PSA,Public Storage,Public Storage,343405800,America/New_York,EDT,-14400000,274.11,367.0,305.0,335.56,340.0,2.0,buy,9,651665024,3.706,3209576960,6894167040,1.284,1.344,4421266944,67.865,25.211,0.08181,0.42507,3187137000,2303780352,3242661120,-0.123,0.07,0.7501,0.72594,0.52439,USD,
1,701 Western Avenue,2nd Floor,Glendale,CA,91201-2349,United States,818 244 8080,818 291 1015,https://www.publicstorage.com,REIT—Industrial,Real Estate,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At June 30, 2023, we had: (i) interests in 2,888 self-storage facilities located in 40 states with approximately 206 million net rentable square feet in the United States and (ii) a 35% common equity interest in Shurgard Self Storage Limited (Euronext Brussels:SHUR), which owned 266 self-storage facilities located in seven Western European nations with approximately 15 million net rentable square feet operated under the Shurgard brand. Our headquarters are located in Glendale, California.",5900,"{'maxAge': 1, 'name': 'Mr. H. Thomas Boyle III', 'age': 39, 'title': 'Sr. VP, Chief Investment Officer & CFO', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 1510950, 'exercisedValue': 0, 'unexercisedValue': 1829165}",2,9,1,6,3,1693526400,1672444800,86400,2,276.09,275.29,273.53,277.605,276.09,275.29,273.53,277.605,12.0,0.0438,1694476800,0.4329,3.19,0.451936,11.861098,23.814941,1039958,1039958,809496,750090,750090,269.69,278.74,800,800,48329977856,266.01,316.48,10.931251,282.497,289.9021,10.0,0.036220074,USD,58881744896,0.96739,157889586,175828992,4223198,3792142,1690761600,1693440000,0.024,0.101280004,0.82548,4.94,0.0307,32.571,8.415769,1672444800,1703980800,1688083200,-0.116,4070629888,23.11,11.51,1.44,13.318,18.346,NYQ,EQUITY,PSA,PSA,Public Storage,Public Storage,343405800,America/New_York,EDT,-14400000,274.11,367.0,305.0,335.56,340.0,2.0,buy,9,651665024,3.706,3209576960,6894167040,1.284,1.344,4421266944,67.865,25.211,0.08181,0.42507,3187137000,2303780352,3242661120,-0.123,0.07,0.7501,0.72594,0.52439,USD,
2,701 Western Avenue,2nd Floor,Glendale,CA,91201-2349,United States,818 244 8080,818 291 1015,https://www.publicstorage.com,REIT—Industrial,Real Estate,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At June 30, 2023, we had: (i) interests in 2,888 self-storage facilities located in 40 states with approximately 206 million net rentable square feet in the United States and (ii) a 35% common equity interest in Shurgard Self Storage Limited (Euronext Brussels:SHUR), which owned 266 self-storage facilities located in seven Western European nations with approximately 15 million net rentable square feet operated under the Shurgard brand. Our headquarters are located in Glendale, California.",5900,"{'maxAge': 1, 'name': 'Ms. Natalia N. Johnson', 'age': 44, 'title': 'Sr. VP & Chief Admin. Officer', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 1077200, 'exercisedValue': 0, 'unexercisedValue': 1016214}",2,9,1,6,3,1693526400,1672444800,86400,2,276.09,275.29,273.53,277.605,276.09,275.29,273.53,277.605,12.0,0.0438,1694476800,0.4329,3.19,0.451936,11.861098,23.814941,1039958,1039958,809496,750090,750090,269.69,278.74,800,800,48329977856,266.01,316.48,10.931251,282.497,289.9021,10.0,0.036220074,USD,58881744896,0.96739,157889586,175828992,4223198,3792142,1690761600,1693440000,0.024,0.101280004,0.82548,4.94,0.0307,32.571,8.415769,1672444800,1703980800,1688083200,-0.116,4070629888,23.11,11.51,1.44,13.318,18.346,NYQ,EQUITY,PSA,PSA,Public Storage,Public Storage,343405800,America/New_York,EDT,-14400000,274.11,367.0,305.0,335.56,340.0,2.0,buy,9,651665024,3.706,3209576960,6894167040,1.284,1.344,4421266944,67.865,25.211,0.08181,0.42507,3187137000,2303780352,3242661120,-0.123,0.07,0.7501,0.72594,0.52439,USD,
3,701 Western Avenue,2nd Floor,Glendale,CA,91201-2349,United States,818 244 8080,818 291 1015,https://www.publicstorage.com,REIT—Industrial,Real Estate,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At June 30, 2023, we had: (i) interests in 2,888 self-storage facilities located in 40 states with approximately 206 million net rentable square feet in the United States and (ii) a 35% common equity interest in Shurgard Self Storage Limited (Euronext Brussels:SHUR), which owned 266 self-storage facilities located in seven Western European nations with approximately 15 million net rentable square feet operated under the Shurgard brand. Our headquarters are located in Glendale, California.",5900,"{'maxAge': 1, 'name': 'Mr. Nathaniel A. Vitan', 'age': 48, 'title': 'Sr. VP, Chief Legal Officer & Corp. Sec.', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 885575, 'exercisedValue': 0, 'unexercisedValue': 106244}",2,9,1,6,3,1693526400,1672444800,86400,2,276.09,275.29,273.53,277.605,276.09,275.29,273.53,277.605,12.0,0.0438,1694476800,0.4329,3.19,0.451936,11.861098,23.814941,1039958,1039958,809496,750090,750090,269.69,278.74,800,800,48329977856,266.01,316.48,10.931251,282.497,289.9021,10.0,0.036220074,USD,58881744896,0.96739,157889586,175828992,4223198,3792142,1690761600,1693440000,0.024,0.101280004,0.82548,4.94,0.0307,32.571,8.415769,1672444800,1703980800,1688083200,-0.116,4070629888,23.11,11.51,1.44,13.318,18.346,NYQ,EQUITY,PSA,PSA,Public Storage,Public Storage,343405800,America/New_York,EDT,-14400000,274.11,367.0,305.0,335.56,340.0,2.0,buy,9,651665024,3.706,3209576960,6894167040,1.284,1.344,4421266944,67.865,25.211,0.08181,0.42507,3187137000,2303780352,3242661120,-0.123,0.07,0.7501,0.72594,0.52439,USD,
4,701 Western Avenue,2nd Floor,Glendale,CA,91201-2349,United States,818 244 8080,818 291 1015,https://www.publicstorage.com,REIT—Industrial,Real Estate,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At June 30, 2023, we had: (i) interests in 2,888 self-storage facilities located in 40 states with approximately 206 million net rentable square feet in the United States and (ii) a 35% common equity interest in Shurgard Self Storage Limited (Euronext Brussels:SHUR), which owned 266 self-storage facilities located in seven Western European nations with approximately 15 million net rentable square feet operated under the Shurgard brand. Our headquarters are located in Glendale, California.",5900,"{'maxAge': 1, 'name': 'Kenneth Q. Volk Jr.', 'title': 'Founder', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,1,6,3,1693526400,1672444800,86400,2,276.09,275.29,273.53,277.605,276.09,275.29,273.53,277.605,12.0,0.0438,1694476800,0.4329,3.19,0.451936,11.861098,23.814941,1039958,1039958,809496,750090,750090,269.69,278.74,800,800,48329977856,266.01,316.48,10.931251,282.497,289.9021,10.0,0.036220074,USD,58881744896,0.96739,157889586,175828992,4223198,3792142,1690761600,1693440000,0.024,0.101280004,0.82548,4.94,0.0307,32.571,8.415769,1672444800,1703980800,1688083200,-0.116,4070629888,23.11,11.51,1.44,13.318,18.346,NYQ,EQUITY,PSA,PSA,Public Storage,Public Storage,343405800,America/New_York,EDT,-14400000,274.11,367.0,305.0,335.56,340.0,2.0,buy,9,651665024,3.706,3209576960,6894167040,1.284,1.344,4421266944,67.865,25.211,0.08181,0.42507,3187137000,2303780352,3242661120,-0.123,0.07,0.7501,0.72594,0.52439,USD,
5,701 Western Avenue,2nd Floor,Glendale,CA,91201-2349,United States,818 244 8080,818 291 1015,https://www.publicstorage.com,REIT—Industrial,Real Estate,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At June 30, 2023, we had: (i) interests in 2,888 self-storage facilities located in 40 states with approximately 206 million net rentable square feet in the United States and (ii) a 35% common equity interest in Shurgard Self Storage Limited (Euronext Brussels:SHUR), which owned 266 self-storage facilities located in seven Western European nations with approximately 15 million net rentable square feet operated under the Shurgard brand. Our headquarters are located in Glendale, California.",5900,"{'maxAge': 1, 'name': 'Nicholas J. Kangas', 'title': 'Exec. VP of Fin. & Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,1,6,3,1693526400,1672444800,86400,2,276.09,275.29,273.53,277.605,276.09,275.29,273.53,277.605,12.0,0.0438,1694476800,0.4329,3.19,0.451936,11.861098,23.814941,1039958,1039958,809496,750090,750090,269.69,278.74,800,800,48329977856,266.01,316.48,10.931251,282.497,289.9021,10.0,0.036220074,USD,58881744896,0.96739,157889586,175828992,4223198,3792142,1690761600,1693440000,0.024,0.101280004,0.82548,4.94,0.0307,32.571,8.415769,1672444800,1703980800,1688083200,-0.116,4070629888,23.11,11.51,1.44,13.318,18.346,NYQ,EQUITY,PSA,PSA,Public Storage,Public Storage,343405800,America/New_York,EDT,-14400000,274.11,367.0,305.0,335.56,340.0,2.0,buy,9,651665024,3.706,3209576960,6894167040,1.284,1.344,4421266944,67.865,25.211,0.08181,0.42507,3187137000,2303780352,3242661120,-0.123,0.07,0.7501,0.72594,0.52439,USD,
6,701 Western Avenue,2nd Floor,Glendale,CA,91201-2349,United States,818 244 8080,818 291 1015,https://www.publicstorage.com,REIT—Industrial,Real Estate,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At June 30, 2023, we had: (i) interests in 2,888 self-storage facilities located in 40 states with approximately 206 million net rentable square feet in the United States and (ii) a 35% common equity interest in Shurgard Self Storage Limited (Euronext Brussels:SHUR), which owned 266 self-storage facilities located in seven Western European nations with approximately 15 million net rentable square feet operated under the Shurgard brand. Our headquarters are located in Glendale, California.",5900,"{'maxAge': 1, 'name': 'Mr. Michael  Braine', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,1,6,3,1693526400,1672444800,86400,2,276.09,275.29,273.53,277.605,276.09,275.29,273.53,277.605,12.0,0.0438,1694476800,0.4329,3.19,0.451936,11.861098,23.814941,1039958,1039958,809496,750090,750090,269.69,278.74,800,800,48329977856,266.01,316.48,10.931251,282.497,289.9021,10.0,0.036220074,USD,58881744896,0.96739,157889586,175828992,4223198,3792142,1690761600,1693440000,0.024,0.101280004,0.82548,4.94,0.0307,32.571,8.415769,1672444800,1703980800,1688083200,-0.116,4070629888,23.11,11.51,1.44,13.318,18.346,NYQ,EQUITY,PSA,PSA,Public Storage,Public Storage,343405800,America/New_York,EDT,-14400000,274.11,367.0,305.0,335.56,340.0,2.0,buy,9,651665024,3.706,3209576960,6894167040,1.284,1.344,4421266944,67.865,25.211,0.08181,0.42507,3187137000,2303780352,3242661120,-0.123,0.07,0.7501,0.72594,0.52439,USD,
7,701 Western Avenue,2nd Floor,Glendale,CA,91201-2349,United States,818 244 8080,818 291 1015,https://www.publicstorage.com,REIT—Industrial,Real Estate,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At June 30, 2023, we had: (i) interests in 2,888 self-storage facilities located in 40 states with approximately 206 million net rentable square feet in the United States and (ii) a 35% common equity interest in Shurgard Self Storage Limited (Euronext Brussels:SHUR), which owned 266 self-storage facilities located in seven Western European nations with approximately 15 million net rentable square feet operated under the Shurgard brand. Our headquarters are located in Glendale, California.",5900,"{'maxAge': 1, 'name': 'Mr. Ryan C. Burke', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,1,6,3,1693526400,1672444800,86400,2,276.09,275.29,273.53,277.605,276.09,275.29,273.53,277.605,12.0,0.0438,1694476800,0.4329,3.19,0.451936,11.861098,23.814941,1039958,1039958,809496,750090,750090,269.69,278.74,800,800,48329977856,266.01,316.48,10.931251,282.497,289.9021,10.0,0.036220074,USD,58881744896,0.96739,157889586,175828992,4223198,3792142,1690761600,1693440000,0.024,0.101280004,0.82548,4.94,0.0307,32.571,8.415769,1672444800,1703980800,1688083200,-0.116,4070629888,23.11,11.51,1.44,13.318,18.346,NYQ,EQUITY,PSA,PSA,Public Storage,Public Storage,343405800,America/New_York,EDT,-14400000,274.11,367.0,305.0,335.56,340.0,2.0,buy,9,651665024,3.706,3209576960,6894167040,1.284,1.344,4421266944,67.865,25.211,0.08181,0.42507,3187137000,2303780352,3242661120,-0.123,0.07,0.7501,0.72594,0.52439,USD,
8,701 Western Avenue,2nd Floor,Glendale,CA,91201-2349,United States,818 244 8080,818 291 1015,https://www.publicstorage.com,REIT—Industrial,Real Estate,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At June 30, 2023, we had: (i) interests in 2,888 self-storage facilities located in 40 states with approximately 206 million net rentable square feet in the United States and (ii) a 35% common equity interest in Shurgard Self Storage Limited (Euronext Brussels:SHUR), which owned 266 self-storage facilities located in seven Western European nations with approximately 15 million net rentable square feet operated under the Shurgard brand. Our headquarters are located in Glendale, California.",5900,"{'maxAge': 1, 'name': 'Mr. David  Collins', 'title': 'Head of Marketing & VP', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,1,6,3,1693526400,1672444800,86400,2,276.09,275.29,273.53,277.605,276.09,275.29,273.53,277.605,12.0,0.0438,1694476800,0.4329,3.19,0.451936,11.861098,23.814941,1039958,1039958,809496,750090,750090,269.69,278.74,800,800,48329977856,266.01,316.48,10.931251,282.497,289.9021,10.0,0.036220074,USD,58881744896,0.96739,157889586,175828992,4223198,3792142,1690761600,1693440000,0.024,0.101280004,0.82548,4.94,0.0307,32.571,8.415769,1672444800,1703980800,1688083200,-0.116,4070629888,23.11,11.51,1.44,13.318,18.346,NYQ,EQUITY,PSA,PSA,Public Storage,Public Storage,343405800,America/New_York,EDT,-14400000,274.11,367.0,305.0,335.56,340.0,2.0,buy,9,651665024,3.706,3209576960,6894167040,1.284,1.344,4421266944,67.865,25.211,0.08181,0.42507,3187137000,2303780352,3242661120,-0.123,0.07,0.7501,0.72594,0.52439,USD,
9,701 Western Avenue,2nd Floor,Glendale,CA,91201-2349,United States,818 244 8080,818 291 1015,https://www.publicstorage.com,REIT—Industrial,Real Estate,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns, and operates self-storage facilities. At June 30, 2023, we had: (i) interests in 2,888 self-storage facilities located in 40 states with approximately 206 million net rentable square feet in the United States and (ii) a 35% common equity interest in Shurgard Self Storage Limited (Euronext Brussels:SHUR), which owned 266 self-storage facilities located in seven Western European nations with approximately 15 million net rentable square feet operated under the Shurgard brand. Our headquarters are located in Glendale, California.",5900,"{'maxAge': 1, 'name': 'Nathan A. Tan', 'title': 'Sr. VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,1,6,3,1693526400,1672444800,86400,2,276.09,275.29,273.53,277.605,276.09,275.29,273.53,277.605,12.0,0.0438,1694476800,0.4329,3.19,0.451936,11.861098,23.814941,1039958,1039958,809496,750090,750090,269.69,278.74,800,800,48329977856,266.01,316.48,10.931251,282.497,289.9021,10.0,0.036220074,USD,58881744896,0.96739,157889586,175828992,4223198,3792142,1690761600,1693440000,0.024,0.101280004,0.82548,4.94,0.0307,32.571,8.415769,1672444800,1703980800,1688083200,-0.116,4070629888,23.11,11.51,1.44,13.318,18.346,NYQ,EQUITY,PSA,PSA,Public Storage,Public Storage,343405800,America/New_York,EDT,-14400000,274.11,367.0,305.0,335.56,340.0,2.0,buy,9,651665024,3.706,3209576960,6894167040,1.284,1.344,4421266944,67.865,25.211,0.08181,0.42507,3187137000,2303780352,3242661120,-0.123,0.07,0.7501,0.72594,0.52439,USD,
