,address1,address2,city,state,zip,country,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Galen G. Weston B.A., M.B.A, M.B.A.', 'age': 49, 'title': 'Chairman & CEO', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 3624563, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,107.0,108.0,106.0,108.0,107.0,108.0,106.0,108.0,1.89,0.0178,1694649600,0.22540002,1.86,0.409155,12.755715,1,1,0,0,0,106.0,108.0,20000,20000,14835441664,100.0,124.0,0.25282368,103.24,112.345,2.693,0.025168225,EUR,40677982208,0.0297,59273241,137900000,0.56667,0.15853,44.758,2.3682916,1672444800,1703980800,1686960000,-0.211,1699000064,8.31,0.693,6.471,FRA,EQUITY,WX5.F,WX5.F,WESTON -GEORGE-,George Weston Limited,1305525600,Europe/Berlin,CEST,7200000,106.0,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
1,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Richard  Dufresne', 'title': 'Pres & CFO', 'fiscalYear': 2022, 'totalPay': 2311073, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,107.0,108.0,106.0,108.0,107.0,108.0,106.0,108.0,1.89,0.0178,1694649600,0.22540002,1.86,0.409155,12.755715,1,1,0,0,0,106.0,108.0,20000,20000,14835441664,100.0,124.0,0.25282368,103.24,112.345,2.693,0.025168225,EUR,40677982208,0.0297,59273241,137900000,0.56667,0.15853,44.758,2.3682916,1672444800,1703980800,1686960000,-0.211,1699000064,8.31,0.693,6.471,FRA,EQUITY,WX5.F,WX5.F,WESTON -GEORGE-,George Weston Limited,1305525600,Europe/Berlin,CEST,7200000,106.0,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
2,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Robert  Sawyer', 'age': 68, 'title': 'Chief Operating Officer of Loblaw', 'yearBorn': 1954, 'fiscalYear': 2022, 'totalPay': 3924558, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,107.0,108.0,106.0,108.0,107.0,108.0,106.0,108.0,1.89,0.0178,1694649600,0.22540002,1.86,0.409155,12.755715,1,1,0,0,0,106.0,108.0,20000,20000,14835441664,100.0,124.0,0.25282368,103.24,112.345,2.693,0.025168225,EUR,40677982208,0.0297,59273241,137900000,0.56667,0.15853,44.758,2.3682916,1672444800,1703980800,1686960000,-0.211,1699000064,8.31,0.693,6.471,FRA,EQUITY,WX5.F,WX5.F,WESTON -GEORGE-,George Weston Limited,1305525600,Europe/Berlin,CEST,7200000,106.0,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
3,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Barry Kieran Columb', 'age': 57, 'title': ""Exec. VP of Loblaw & Pres of Pres's Choice Financial"", 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 2653968, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,107.0,108.0,106.0,108.0,107.0,108.0,106.0,108.0,1.89,0.0178,1694649600,0.22540002,1.86,0.409155,12.755715,1,1,0,0,0,106.0,108.0,20000,20000,14835441664,100.0,124.0,0.25282368,103.24,112.345,2.693,0.025168225,EUR,40677982208,0.0297,59273241,137900000,0.56667,0.15853,44.758,2.3682916,1672444800,1703980800,1686960000,-0.211,1699000064,8.31,0.693,6.471,FRA,EQUITY,WX5.F,WX5.F,WESTON -GEORGE-,George Weston Limited,1305525600,Europe/Berlin,CEST,7200000,106.0,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
4,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Rael Lee Diamond CPA, CA', 'age': 45, 'title': 'Pres & CEO of Choice Properties', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1349619, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,107.0,108.0,106.0,108.0,107.0,108.0,106.0,108.0,1.89,0.0178,1694649600,0.22540002,1.86,0.409155,12.755715,1,1,0,0,0,106.0,108.0,20000,20000,14835441664,100.0,124.0,0.25282368,103.24,112.345,2.693,0.025168225,EUR,40677982208,0.0297,59273241,137900000,0.56667,0.15853,44.758,2.3682916,1672444800,1703980800,1686960000,-0.211,1699000064,8.31,0.693,6.471,FRA,EQUITY,WX5.F,WX5.F,WESTON -GEORGE-,George Weston Limited,1305525600,Europe/Berlin,CEST,7200000,106.0,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
5,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. John  Williams', 'age': 56, 'title': 'Group Treasurer & Head of Corp. Fin.', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,107.0,108.0,106.0,108.0,107.0,108.0,106.0,108.0,1.89,0.0178,1694649600,0.22540002,1.86,0.409155,12.755715,1,1,0,0,0,106.0,108.0,20000,20000,14835441664,100.0,124.0,0.25282368,103.24,112.345,2.693,0.025168225,EUR,40677982208,0.0297,59273241,137900000,0.56667,0.15853,44.758,2.3682916,1672444800,1703980800,1686960000,-0.211,1699000064,8.31,0.693,6.471,FRA,EQUITY,WX5.F,WX5.F,WESTON -GEORGE-,George Weston Limited,1305525600,Europe/Berlin,CEST,7200000,106.0,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
6,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Roy  MacDonald', 'title': 'Group VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,107.0,108.0,106.0,108.0,107.0,108.0,106.0,108.0,1.89,0.0178,1694649600,0.22540002,1.86,0.409155,12.755715,1,1,0,0,0,106.0,108.0,20000,20000,14835441664,100.0,124.0,0.25282368,103.24,112.345,2.693,0.025168225,EUR,40677982208,0.0297,59273241,137900000,0.56667,0.15853,44.758,2.3682916,1672444800,1703980800,1686960000,-0.211,1699000064,8.31,0.693,6.471,FRA,EQUITY,WX5.F,WX5.F,WESTON -GEORGE-,George Weston Limited,1305525600,Europe/Berlin,CEST,7200000,106.0,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
7,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Gordon Andrew McDonald Currie', 'age': 63, 'title': 'Exec. VP & Chief Legal Officer', 'yearBorn': 1959, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,107.0,108.0,106.0,108.0,107.0,108.0,106.0,108.0,1.89,0.0178,1694649600,0.22540002,1.86,0.409155,12.755715,1,1,0,0,0,106.0,108.0,20000,20000,14835441664,100.0,124.0,0.25282368,103.24,112.345,2.693,0.025168225,EUR,40677982208,0.0297,59273241,137900000,0.56667,0.15853,44.758,2.3682916,1672444800,1703980800,1686960000,-0.211,1699000064,8.31,0.693,6.471,FRA,EQUITY,WX5.F,WX5.F,WESTON -GEORGE-,George Weston Limited,1305525600,Europe/Berlin,CEST,7200000,106.0,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
8,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Ms. Jennifer  Maccarone', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,107.0,108.0,106.0,108.0,107.0,108.0,106.0,108.0,1.89,0.0178,1694649600,0.22540002,1.86,0.409155,12.755715,1,1,0,0,0,106.0,108.0,20000,20000,14835441664,100.0,124.0,0.25282368,103.24,112.345,2.693,0.025168225,EUR,40677982208,0.0297,59273241,137900000,0.56667,0.15853,44.758,2.3682916,1672444800,1703980800,1686960000,-0.211,1699000064,8.31,0.693,6.471,FRA,EQUITY,WX5.F,WX5.F,WESTON -GEORGE-,George Weston Limited,1305525600,Europe/Berlin,CEST,7200000,106.0,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
9,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Khush  Dadyburjor', 'age': 55, 'title': 'Chief Strategy Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,107.0,108.0,106.0,108.0,107.0,108.0,106.0,108.0,1.89,0.0178,1694649600,0.22540002,1.86,0.409155,12.755715,1,1,0,0,0,106.0,108.0,20000,20000,14835441664,100.0,124.0,0.25282368,103.24,112.345,2.693,0.025168225,EUR,40677982208,0.0297,59273241,137900000,0.56667,0.15853,44.758,2.3682916,1672444800,1703980800,1686960000,-0.211,1699000064,8.31,0.693,6.471,FRA,EQUITY,WX5.F,WX5.F,WESTON -GEORGE-,George Weston Limited,1305525600,Europe/Berlin,CEST,7200000,106.0,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
