,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,555/1 Energy Complex Building A,11th Floor Vibhavadi Rangsit Road Chatuchak,Bangkok,10900,Thailand,66 2 797 2999,66 2 797 2970,https://www.thaioilgroup.com,Oil & Gas Refining & Marketing,Energy,"Thai Oil Public Company Limited, together with its subsidiaries, engages in the oil refining, petrochemicals, lube base oil, and other businesses in Thailand and internationally. It operates through Oil Refinery, Lube Base Oil Refinery, Petrochemical, Power Generation, Solvent, Ethanol, and other segments. The company produces gasoline, diesel/gas oil, jet fuel, kerosene, fuel oil, and liquefied petroleum gas; and petrochemical products, such as paraxylene, benzene, toluene, and mixed xylenes. It also produces and distributes lube base oil, bitumen/asphalt, and other by-products, as well as special products, such as treated distillate aromatics extract; and hydrocarbon and chemical solvents, and other chemicals. In addition, the company operates natural gas-fired combined-cycle co-generation power plants that generate and sell electricity, steam, and utilities to companies and industrial users, as well as invests in other power generating companies and related business. Further, it is involved in the production of ethanol; and manufacture and sale of linear alkyl benzene for use in the production of detergents and cleaning products; and provision of human resource management services. The company was founded in 1961 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Bandhit  Thamprajamchit', 'age': 52, 'title': 'CEO, Pres, Acting Sr. EVP of Hydrocarbon, Acting Exec. VP of Manufacturing & Director', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,0.76,0.0505,1693958400,0.3129,1.326795,6.8681817,100,100,0,0,0,0.0,0.0,0,0,3375332096,15.11,15.11,0.007577401,15.11,15.11,2.35,0.15552615,USD,190954668032,0.0130900005,1138451958,223384000,0.0,0.0,68.569,0.22036196,1672444800,1703980800,1688083200,-0.956,5829750784,2.2,0.429,16.468,PNK,EQUITY,TOIPY,TOIPY,THAI OIL PUBLIC CO LIMITED UNSP,Thai Oil Public Company Limited,1344000600,America/New_York,EDT,-14400000,15.11,none,35660161024,15.964,11595767808,190189191168,0.99,1.758,445447208960,122.037,203.689,0.008169999,0.03958,48451848325,-2743081984,33773514752,-0.96,-0.301,0.02014,0.026029998,0.0124699995,THB,
1,555/1 Energy Complex Building A,11th Floor Vibhavadi Rangsit Road Chatuchak,Bangkok,10900,Thailand,66 2 797 2999,66 2 797 2970,https://www.thaioilgroup.com,Oil & Gas Refining & Marketing,Energy,"Thai Oil Public Company Limited, together with its subsidiaries, engages in the oil refining, petrochemicals, lube base oil, and other businesses in Thailand and internationally. It operates through Oil Refinery, Lube Base Oil Refinery, Petrochemical, Power Generation, Solvent, Ethanol, and other segments. The company produces gasoline, diesel/gas oil, jet fuel, kerosene, fuel oil, and liquefied petroleum gas; and petrochemical products, such as paraxylene, benzene, toluene, and mixed xylenes. It also produces and distributes lube base oil, bitumen/asphalt, and other by-products, as well as special products, such as treated distillate aromatics extract; and hydrocarbon and chemical solvents, and other chemicals. In addition, the company operates natural gas-fired combined-cycle co-generation power plants that generate and sell electricity, steam, and utilities to companies and industrial users, as well as invests in other power generating companies and related business. Further, it is involved in the production of ethanol; and manufacture and sale of linear alkyl benzene for use in the production of detergents and cleaning products; and provision of human resource management services. The company was founded in 1961 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Ms. Wanida  Boonpiraks', 'title': 'Exec. VP of Fin. & Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,0.76,0.0505,1693958400,0.3129,1.326795,6.8681817,100,100,0,0,0,0.0,0.0,0,0,3375332096,15.11,15.11,0.007577401,15.11,15.11,2.35,0.15552615,USD,190954668032,0.0130900005,1138451958,223384000,0.0,0.0,68.569,0.22036196,1672444800,1703980800,1688083200,-0.956,5829750784,2.2,0.429,16.468,PNK,EQUITY,TOIPY,TOIPY,THAI OIL PUBLIC CO LIMITED UNSP,Thai Oil Public Company Limited,1344000600,America/New_York,EDT,-14400000,15.11,none,35660161024,15.964,11595767808,190189191168,0.99,1.758,445447208960,122.037,203.689,0.008169999,0.03958,48451848325,-2743081984,33773514752,-0.96,-0.301,0.02014,0.026029998,0.0124699995,THB,
2,555/1 Energy Complex Building A,11th Floor Vibhavadi Rangsit Road Chatuchak,Bangkok,10900,Thailand,66 2 797 2999,66 2 797 2970,https://www.thaioilgroup.com,Oil & Gas Refining & Marketing,Energy,"Thai Oil Public Company Limited, together with its subsidiaries, engages in the oil refining, petrochemicals, lube base oil, and other businesses in Thailand and internationally. It operates through Oil Refinery, Lube Base Oil Refinery, Petrochemical, Power Generation, Solvent, Ethanol, and other segments. The company produces gasoline, diesel/gas oil, jet fuel, kerosene, fuel oil, and liquefied petroleum gas; and petrochemical products, such as paraxylene, benzene, toluene, and mixed xylenes. It also produces and distributes lube base oil, bitumen/asphalt, and other by-products, as well as special products, such as treated distillate aromatics extract; and hydrocarbon and chemical solvents, and other chemicals. In addition, the company operates natural gas-fired combined-cycle co-generation power plants that generate and sell electricity, steam, and utilities to companies and industrial users, as well as invests in other power generating companies and related business. Further, it is involved in the production of ethanol; and manufacture and sale of linear alkyl benzene for use in the production of detergents and cleaning products; and provision of human resource management services. The company was founded in 1961 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Ms. Jidapa  Soontraratpong', 'title': 'VP of Technology', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,0.76,0.0505,1693958400,0.3129,1.326795,6.8681817,100,100,0,0,0,0.0,0.0,0,0,3375332096,15.11,15.11,0.007577401,15.11,15.11,2.35,0.15552615,USD,190954668032,0.0130900005,1138451958,223384000,0.0,0.0,68.569,0.22036196,1672444800,1703980800,1688083200,-0.956,5829750784,2.2,0.429,16.468,PNK,EQUITY,TOIPY,TOIPY,THAI OIL PUBLIC CO LIMITED UNSP,Thai Oil Public Company Limited,1344000600,America/New_York,EDT,-14400000,15.11,none,35660161024,15.964,11595767808,190189191168,0.99,1.758,445447208960,122.037,203.689,0.008169999,0.03958,48451848325,-2743081984,33773514752,-0.96,-0.301,0.02014,0.026029998,0.0124699995,THB,
3,555/1 Energy Complex Building A,11th Floor Vibhavadi Rangsit Road Chatuchak,Bangkok,10900,Thailand,66 2 797 2999,66 2 797 2970,https://www.thaioilgroup.com,Oil & Gas Refining & Marketing,Energy,"Thai Oil Public Company Limited, together with its subsidiaries, engages in the oil refining, petrochemicals, lube base oil, and other businesses in Thailand and internationally. It operates through Oil Refinery, Lube Base Oil Refinery, Petrochemical, Power Generation, Solvent, Ethanol, and other segments. The company produces gasoline, diesel/gas oil, jet fuel, kerosene, fuel oil, and liquefied petroleum gas; and petrochemical products, such as paraxylene, benzene, toluene, and mixed xylenes. It also produces and distributes lube base oil, bitumen/asphalt, and other by-products, as well as special products, such as treated distillate aromatics extract; and hydrocarbon and chemical solvents, and other chemicals. In addition, the company operates natural gas-fired combined-cycle co-generation power plants that generate and sell electricity, steam, and utilities to companies and industrial users, as well as invests in other power generating companies and related business. Further, it is involved in the production of ethanol; and manufacture and sale of linear alkyl benzene for use in the production of detergents and cleaning products; and provision of human resource management services. The company was founded in 1961 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Viroj  Meenaphant', 'age': 58, 'title': 'EVP of Corp. Governance & Affairs, Acting VP of Corp. Governance, Comp. & Legal and Comp. Sec.', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,0.76,0.0505,1693958400,0.3129,1.326795,6.8681817,100,100,0,0,0,0.0,0.0,0,0,3375332096,15.11,15.11,0.007577401,15.11,15.11,2.35,0.15552615,USD,190954668032,0.0130900005,1138451958,223384000,0.0,0.0,68.569,0.22036196,1672444800,1703980800,1688083200,-0.956,5829750784,2.2,0.429,16.468,PNK,EQUITY,TOIPY,TOIPY,THAI OIL PUBLIC CO LIMITED UNSP,Thai Oil Public Company Limited,1344000600,America/New_York,EDT,-14400000,15.11,none,35660161024,15.964,11595767808,190189191168,0.99,1.758,445447208960,122.037,203.689,0.008169999,0.03958,48451848325,-2743081984,33773514752,-0.96,-0.301,0.02014,0.026029998,0.0124699995,THB,
4,555/1 Energy Complex Building A,11th Floor Vibhavadi Rangsit Road Chatuchak,Bangkok,10900,Thailand,66 2 797 2999,66 2 797 2970,https://www.thaioilgroup.com,Oil & Gas Refining & Marketing,Energy,"Thai Oil Public Company Limited, together with its subsidiaries, engages in the oil refining, petrochemicals, lube base oil, and other businesses in Thailand and internationally. It operates through Oil Refinery, Lube Base Oil Refinery, Petrochemical, Power Generation, Solvent, Ethanol, and other segments. The company produces gasoline, diesel/gas oil, jet fuel, kerosene, fuel oil, and liquefied petroleum gas; and petrochemical products, such as paraxylene, benzene, toluene, and mixed xylenes. It also produces and distributes lube base oil, bitumen/asphalt, and other by-products, as well as special products, such as treated distillate aromatics extract; and hydrocarbon and chemical solvents, and other chemicals. In addition, the company operates natural gas-fired combined-cycle co-generation power plants that generate and sell electricity, steam, and utilities to companies and industrial users, as well as invests in other power generating companies and related business. Further, it is involved in the production of ethanol; and manufacture and sale of linear alkyl benzene for use in the production of detergents and cleaning products; and provision of human resource management services. The company was founded in 1961 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Ms. Suchada  Deechaiya', 'title': 'VP of People & Organization Excellence', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,0.76,0.0505,1693958400,0.3129,1.326795,6.8681817,100,100,0,0,0,0.0,0.0,0,0,3375332096,15.11,15.11,0.007577401,15.11,15.11,2.35,0.15552615,USD,190954668032,0.0130900005,1138451958,223384000,0.0,0.0,68.569,0.22036196,1672444800,1703980800,1688083200,-0.956,5829750784,2.2,0.429,16.468,PNK,EQUITY,TOIPY,TOIPY,THAI OIL PUBLIC CO LIMITED UNSP,Thai Oil Public Company Limited,1344000600,America/New_York,EDT,-14400000,15.11,none,35660161024,15.964,11595767808,190189191168,0.99,1.758,445447208960,122.037,203.689,0.008169999,0.03958,48451848325,-2743081984,33773514752,-0.96,-0.301,0.02014,0.026029998,0.0124699995,THB,
5,555/1 Energy Complex Building A,11th Floor Vibhavadi Rangsit Road Chatuchak,Bangkok,10900,Thailand,66 2 797 2999,66 2 797 2970,https://www.thaioilgroup.com,Oil & Gas Refining & Marketing,Energy,"Thai Oil Public Company Limited, together with its subsidiaries, engages in the oil refining, petrochemicals, lube base oil, and other businesses in Thailand and internationally. It operates through Oil Refinery, Lube Base Oil Refinery, Petrochemical, Power Generation, Solvent, Ethanol, and other segments. The company produces gasoline, diesel/gas oil, jet fuel, kerosene, fuel oil, and liquefied petroleum gas; and petrochemical products, such as paraxylene, benzene, toluene, and mixed xylenes. It also produces and distributes lube base oil, bitumen/asphalt, and other by-products, as well as special products, such as treated distillate aromatics extract; and hydrocarbon and chemical solvents, and other chemicals. In addition, the company operates natural gas-fired combined-cycle co-generation power plants that generate and sell electricity, steam, and utilities to companies and industrial users, as well as invests in other power generating companies and related business. Further, it is involved in the production of ethanol; and manufacture and sale of linear alkyl benzene for use in the production of detergents and cleaning products; and provision of human resource management services. The company was founded in 1961 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Ms. Duangporn  Teerapabpaisit', 'title': 'Head of R&D High Value Product Center', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,0.76,0.0505,1693958400,0.3129,1.326795,6.8681817,100,100,0,0,0,0.0,0.0,0,0,3375332096,15.11,15.11,0.007577401,15.11,15.11,2.35,0.15552615,USD,190954668032,0.0130900005,1138451958,223384000,0.0,0.0,68.569,0.22036196,1672444800,1703980800,1688083200,-0.956,5829750784,2.2,0.429,16.468,PNK,EQUITY,TOIPY,TOIPY,THAI OIL PUBLIC CO LIMITED UNSP,Thai Oil Public Company Limited,1344000600,America/New_York,EDT,-14400000,15.11,none,35660161024,15.964,11595767808,190189191168,0.99,1.758,445447208960,122.037,203.689,0.008169999,0.03958,48451848325,-2743081984,33773514752,-0.96,-0.301,0.02014,0.026029998,0.0124699995,THB,
6,555/1 Energy Complex Building A,11th Floor Vibhavadi Rangsit Road Chatuchak,Bangkok,10900,Thailand,66 2 797 2999,66 2 797 2970,https://www.thaioilgroup.com,Oil & Gas Refining & Marketing,Energy,"Thai Oil Public Company Limited, together with its subsidiaries, engages in the oil refining, petrochemicals, lube base oil, and other businesses in Thailand and internationally. It operates through Oil Refinery, Lube Base Oil Refinery, Petrochemical, Power Generation, Solvent, Ethanol, and other segments. The company produces gasoline, diesel/gas oil, jet fuel, kerosene, fuel oil, and liquefied petroleum gas; and petrochemical products, such as paraxylene, benzene, toluene, and mixed xylenes. It also produces and distributes lube base oil, bitumen/asphalt, and other by-products, as well as special products, such as treated distillate aromatics extract; and hydrocarbon and chemical solvents, and other chemicals. In addition, the company operates natural gas-fired combined-cycle co-generation power plants that generate and sell electricity, steam, and utilities to companies and industrial users, as well as invests in other power generating companies and related business. Further, it is involved in the production of ethanol; and manufacture and sale of linear alkyl benzene for use in the production of detergents and cleaning products; and provision of human resource management services. The company was founded in 1961 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Santi  Wasanasiri', 'age': 57, 'title': 'Exec. VP of Petrochemical Bus.', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,0.76,0.0505,1693958400,0.3129,1.326795,6.8681817,100,100,0,0,0,0.0,0.0,0,0,3375332096,15.11,15.11,0.007577401,15.11,15.11,2.35,0.15552615,USD,190954668032,0.0130900005,1138451958,223384000,0.0,0.0,68.569,0.22036196,1672444800,1703980800,1688083200,-0.956,5829750784,2.2,0.429,16.468,PNK,EQUITY,TOIPY,TOIPY,THAI OIL PUBLIC CO LIMITED UNSP,Thai Oil Public Company Limited,1344000600,America/New_York,EDT,-14400000,15.11,none,35660161024,15.964,11595767808,190189191168,0.99,1.758,445447208960,122.037,203.689,0.008169999,0.03958,48451848325,-2743081984,33773514752,-0.96,-0.301,0.02014,0.026029998,0.0124699995,THB,
7,555/1 Energy Complex Building A,11th Floor Vibhavadi Rangsit Road Chatuchak,Bangkok,10900,Thailand,66 2 797 2999,66 2 797 2970,https://www.thaioilgroup.com,Oil & Gas Refining & Marketing,Energy,"Thai Oil Public Company Limited, together with its subsidiaries, engages in the oil refining, petrochemicals, lube base oil, and other businesses in Thailand and internationally. It operates through Oil Refinery, Lube Base Oil Refinery, Petrochemical, Power Generation, Solvent, Ethanol, and other segments. The company produces gasoline, diesel/gas oil, jet fuel, kerosene, fuel oil, and liquefied petroleum gas; and petrochemical products, such as paraxylene, benzene, toluene, and mixed xylenes. It also produces and distributes lube base oil, bitumen/asphalt, and other by-products, as well as special products, such as treated distillate aromatics extract; and hydrocarbon and chemical solvents, and other chemicals. In addition, the company operates natural gas-fired combined-cycle co-generation power plants that generate and sell electricity, steam, and utilities to companies and industrial users, as well as invests in other power generating companies and related business. Further, it is involved in the production of ethanol; and manufacture and sale of linear alkyl benzene for use in the production of detergents and cleaning products; and provision of human resource management services. The company was founded in 1961 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Chatapong  Wungtanagorn', 'age': 56, 'title': 'Exec. VP of Corp. Commercial', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,0.76,0.0505,1693958400,0.3129,1.326795,6.8681817,100,100,0,0,0,0.0,0.0,0,0,3375332096,15.11,15.11,0.007577401,15.11,15.11,2.35,0.15552615,USD,190954668032,0.0130900005,1138451958,223384000,0.0,0.0,68.569,0.22036196,1672444800,1703980800,1688083200,-0.956,5829750784,2.2,0.429,16.468,PNK,EQUITY,TOIPY,TOIPY,THAI OIL PUBLIC CO LIMITED UNSP,Thai Oil Public Company Limited,1344000600,America/New_York,EDT,-14400000,15.11,none,35660161024,15.964,11595767808,190189191168,0.99,1.758,445447208960,122.037,203.689,0.008169999,0.03958,48451848325,-2743081984,33773514752,-0.96,-0.301,0.02014,0.026029998,0.0124699995,THB,
8,555/1 Energy Complex Building A,11th Floor Vibhavadi Rangsit Road Chatuchak,Bangkok,10900,Thailand,66 2 797 2999,66 2 797 2970,https://www.thaioilgroup.com,Oil & Gas Refining & Marketing,Energy,"Thai Oil Public Company Limited, together with its subsidiaries, engages in the oil refining, petrochemicals, lube base oil, and other businesses in Thailand and internationally. It operates through Oil Refinery, Lube Base Oil Refinery, Petrochemical, Power Generation, Solvent, Ethanol, and other segments. The company produces gasoline, diesel/gas oil, jet fuel, kerosene, fuel oil, and liquefied petroleum gas; and petrochemical products, such as paraxylene, benzene, toluene, and mixed xylenes. It also produces and distributes lube base oil, bitumen/asphalt, and other by-products, as well as special products, such as treated distillate aromatics extract; and hydrocarbon and chemical solvents, and other chemicals. In addition, the company operates natural gas-fired combined-cycle co-generation power plants that generate and sell electricity, steam, and utilities to companies and industrial users, as well as invests in other power generating companies and related business. Further, it is involved in the production of ethanol; and manufacture and sale of linear alkyl benzene for use in the production of detergents and cleaning products; and provision of human resource management services. The company was founded in 1961 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Viroj  Wongsathirayakhun', 'title': 'Exec. VP of Organization Effectiveness and Acting VP of People & Organization Management', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,0.76,0.0505,1693958400,0.3129,1.326795,6.8681817,100,100,0,0,0,0.0,0.0,0,0,3375332096,15.11,15.11,0.007577401,15.11,15.11,2.35,0.15552615,USD,190954668032,0.0130900005,1138451958,223384000,0.0,0.0,68.569,0.22036196,1672444800,1703980800,1688083200,-0.956,5829750784,2.2,0.429,16.468,PNK,EQUITY,TOIPY,TOIPY,THAI OIL PUBLIC CO LIMITED UNSP,Thai Oil Public Company Limited,1344000600,America/New_York,EDT,-14400000,15.11,none,35660161024,15.964,11595767808,190189191168,0.99,1.758,445447208960,122.037,203.689,0.008169999,0.03958,48451848325,-2743081984,33773514752,-0.96,-0.301,0.02014,0.026029998,0.0124699995,THB,
9,555/1 Energy Complex Building A,11th Floor Vibhavadi Rangsit Road Chatuchak,Bangkok,10900,Thailand,66 2 797 2999,66 2 797 2970,https://www.thaioilgroup.com,Oil & Gas Refining & Marketing,Energy,"Thai Oil Public Company Limited, together with its subsidiaries, engages in the oil refining, petrochemicals, lube base oil, and other businesses in Thailand and internationally. It operates through Oil Refinery, Lube Base Oil Refinery, Petrochemical, Power Generation, Solvent, Ethanol, and other segments. The company produces gasoline, diesel/gas oil, jet fuel, kerosene, fuel oil, and liquefied petroleum gas; and petrochemical products, such as paraxylene, benzene, toluene, and mixed xylenes. It also produces and distributes lube base oil, bitumen/asphalt, and other by-products, as well as special products, such as treated distillate aromatics extract; and hydrocarbon and chemical solvents, and other chemicals. In addition, the company operates natural gas-fired combined-cycle co-generation power plants that generate and sell electricity, steam, and utilities to companies and industrial users, as well as invests in other power generating companies and related business. Further, it is involved in the production of ethanol; and manufacture and sale of linear alkyl benzene for use in the production of detergents and cleaning products; and provision of human resource management services. The company was founded in 1961 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Suchart  Monyanont', 'title': 'Sr. VP & CFP Engineering Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,0.76,0.0505,1693958400,0.3129,1.326795,6.8681817,100,100,0,0,0,0.0,0.0,0,0,3375332096,15.11,15.11,0.007577401,15.11,15.11,2.35,0.15552615,USD,190954668032,0.0130900005,1138451958,223384000,0.0,0.0,68.569,0.22036196,1672444800,1703980800,1688083200,-0.956,5829750784,2.2,0.429,16.468,PNK,EQUITY,TOIPY,TOIPY,THAI OIL PUBLIC CO LIMITED UNSP,Thai Oil Public Company Limited,1344000600,America/New_York,EDT,-14400000,15.11,none,35660161024,15.964,11595767808,190189191168,0.99,1.758,445447208960,122.037,203.689,0.008169999,0.03958,48451848325,-2743081984,33773514752,-0.96,-0.301,0.02014,0.026029998,0.0124699995,THB,
