,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Sequis Tower,"20th Floor, Unit 6 & 7 Jl. Jend. Sudirman Kav. 71",Jakarta,12190,Indonesia,62 21 524 9000,62 21 524 9020,https://www.vale.com/indonesia/EN/Pages/default.aspx,Other Industrial Metals & Mining,Basic Materials,"PT Vale Indonesia Tbk engages in the mining and processing of nickel in Indonesia. It operates a concession area of 118,017 hectares located in central, south, and southeast Sulawesi. The company was formerly known as PT International Nickel Indonesia Tbk and changed its name to PT Vale Indonesia Tbk in September 2011. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia.",2890,"{'maxAge': 1, 'name': 'Ms. Febriany  Eddy', 'age': 45, 'title': 'Pres Director & CEO', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.342,0.346,0.346,0.346,0.342,0.346,0.346,0.346,0.01,0.0163,1684195200,0.27040002,1.114361,17.3,85,85,528,0,0,0.346,0.376,5000000,5000000,3566187264,0.336,0.474,2.799462,0.36544,0.397,0.006,0.01754386,EUR,2683468800,0.17149,2104417178,9936339968,0.82719004,0.0584,0.248,1.3951613,1672444800,1703980800,1688083200,-0.15,218462000,0.02,1:1,1200355200,2.107,6.044,FRA,EQUITY,XT3B.F,XT3B.F,VALE INDONESIA TBK RP 25,PT Vale Indonesia Tbk,1198825200,Europe/Berlin,CEST,7200000,0.346,none,719881024,0.072,444009984,5122000,4.038,5.29,1273883008,0.208,0.128,0.06387,0.091639996,313567000,157063504,442446016,-0.143,-0.102,0.25577,0.34855,0.21765,USD,
1,Sequis Tower,"20th Floor, Unit 6 & 7 Jl. Jend. Sudirman Kav. 71",Jakarta,12190,Indonesia,62 21 524 9000,62 21 524 9020,https://www.vale.com/indonesia/EN/Pages/default.aspx,Other Industrial Metals & Mining,Basic Materials,"PT Vale Indonesia Tbk engages in the mining and processing of nickel in Indonesia. It operates a concession area of 118,017 hectares located in central, south, and southeast Sulawesi. The company was formerly known as PT International Nickel Indonesia Tbk and changed its name to PT Vale Indonesia Tbk in September 2011. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia.",2890,"{'maxAge': 1, 'name': 'Mr. Bernardus  Irmanto', 'age': 47, 'title': 'CFO & Director', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.342,0.346,0.346,0.346,0.342,0.346,0.346,0.346,0.01,0.0163,1684195200,0.27040002,1.114361,17.3,85,85,528,0,0,0.346,0.376,5000000,5000000,3566187264,0.336,0.474,2.799462,0.36544,0.397,0.006,0.01754386,EUR,2683468800,0.17149,2104417178,9936339968,0.82719004,0.0584,0.248,1.3951613,1672444800,1703980800,1688083200,-0.15,218462000,0.02,1:1,1200355200,2.107,6.044,FRA,EQUITY,XT3B.F,XT3B.F,VALE INDONESIA TBK RP 25,PT Vale Indonesia Tbk,1198825200,Europe/Berlin,CEST,7200000,0.346,none,719881024,0.072,444009984,5122000,4.038,5.29,1273883008,0.208,0.128,0.06387,0.091639996,313567000,157063504,442446016,-0.143,-0.102,0.25577,0.34855,0.21765,USD,
2,Sequis Tower,"20th Floor, Unit 6 & 7 Jl. Jend. Sudirman Kav. 71",Jakarta,12190,Indonesia,62 21 524 9000,62 21 524 9020,https://www.vale.com/indonesia/EN/Pages/default.aspx,Other Industrial Metals & Mining,Basic Materials,"PT Vale Indonesia Tbk engages in the mining and processing of nickel in Indonesia. It operates a concession area of 118,017 hectares located in central, south, and southeast Sulawesi. The company was formerly known as PT International Nickel Indonesia Tbk and changed its name to PT Vale Indonesia Tbk in September 2011. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia.",2890,"{'maxAge': 1, 'name': 'Mr. Vinicius Mendes Ferreira', 'age': 48, 'title': 'COO & Director', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.342,0.346,0.346,0.346,0.342,0.346,0.346,0.346,0.01,0.0163,1684195200,0.27040002,1.114361,17.3,85,85,528,0,0,0.346,0.376,5000000,5000000,3566187264,0.336,0.474,2.799462,0.36544,0.397,0.006,0.01754386,EUR,2683468800,0.17149,2104417178,9936339968,0.82719004,0.0584,0.248,1.3951613,1672444800,1703980800,1688083200,-0.15,218462000,0.02,1:1,1200355200,2.107,6.044,FRA,EQUITY,XT3B.F,XT3B.F,VALE INDONESIA TBK RP 25,PT Vale Indonesia Tbk,1198825200,Europe/Berlin,CEST,7200000,0.346,none,719881024,0.072,444009984,5122000,4.038,5.29,1273883008,0.208,0.128,0.06387,0.091639996,313567000,157063504,442446016,-0.143,-0.102,0.25577,0.34855,0.21765,USD,
3,Sequis Tower,"20th Floor, Unit 6 & 7 Jl. Jend. Sudirman Kav. 71",Jakarta,12190,Indonesia,62 21 524 9000,62 21 524 9020,https://www.vale.com/indonesia/EN/Pages/default.aspx,Other Industrial Metals & Mining,Basic Materials,"PT Vale Indonesia Tbk engages in the mining and processing of nickel in Indonesia. It operates a concession area of 118,017 hectares located in central, south, and southeast Sulawesi. The company was formerly known as PT International Nickel Indonesia Tbk and changed its name to PT Vale Indonesia Tbk in September 2011. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia.",2890,"{'maxAge': 1, 'name': 'Mr. Gustavo Duarte Pimenta', 'age': 44, 'title': 'Exec. VP of Fin. & Investor Relations', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.342,0.346,0.346,0.346,0.342,0.346,0.346,0.346,0.01,0.0163,1684195200,0.27040002,1.114361,17.3,85,85,528,0,0,0.346,0.376,5000000,5000000,3566187264,0.336,0.474,2.799462,0.36544,0.397,0.006,0.01754386,EUR,2683468800,0.17149,2104417178,9936339968,0.82719004,0.0584,0.248,1.3951613,1672444800,1703980800,1688083200,-0.15,218462000,0.02,1:1,1200355200,2.107,6.044,FRA,EQUITY,XT3B.F,XT3B.F,VALE INDONESIA TBK RP 25,PT Vale Indonesia Tbk,1198825200,Europe/Berlin,CEST,7200000,0.346,none,719881024,0.072,444009984,5122000,4.038,5.29,1273883008,0.208,0.128,0.06387,0.091639996,313567000,157063504,442446016,-0.143,-0.102,0.25577,0.34855,0.21765,USD,
4,Sequis Tower,"20th Floor, Unit 6 & 7 Jl. Jend. Sudirman Kav. 71",Jakarta,12190,Indonesia,62 21 524 9000,62 21 524 9020,https://www.vale.com/indonesia/EN/Pages/default.aspx,Other Industrial Metals & Mining,Basic Materials,"PT Vale Indonesia Tbk engages in the mining and processing of nickel in Indonesia. It operates a concession area of 118,017 hectares located in central, south, and southeast Sulawesi. The company was formerly known as PT International Nickel Indonesia Tbk and changed its name to PT Vale Indonesia Tbk in September 2011. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia.",2890,"{'maxAge': 1, 'name': 'Ms. Ira Thania Rasjidi', 'title': 'Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.342,0.346,0.346,0.346,0.342,0.346,0.346,0.346,0.01,0.0163,1684195200,0.27040002,1.114361,17.3,85,85,528,0,0,0.346,0.376,5000000,5000000,3566187264,0.336,0.474,2.799462,0.36544,0.397,0.006,0.01754386,EUR,2683468800,0.17149,2104417178,9936339968,0.82719004,0.0584,0.248,1.3951613,1672444800,1703980800,1688083200,-0.15,218462000,0.02,1:1,1200355200,2.107,6.044,FRA,EQUITY,XT3B.F,XT3B.F,VALE INDONESIA TBK RP 25,PT Vale Indonesia Tbk,1198825200,Europe/Berlin,CEST,7200000,0.346,none,719881024,0.072,444009984,5122000,4.038,5.29,1273883008,0.208,0.128,0.06387,0.091639996,313567000,157063504,442446016,-0.143,-0.102,0.25577,0.34855,0.21765,USD,
5,Sequis Tower,"20th Floor, Unit 6 & 7 Jl. Jend. Sudirman Kav. 71",Jakarta,12190,Indonesia,62 21 524 9000,62 21 524 9020,https://www.vale.com/indonesia/EN/Pages/default.aspx,Other Industrial Metals & Mining,Basic Materials,"PT Vale Indonesia Tbk engages in the mining and processing of nickel in Indonesia. It operates a concession area of 118,017 hectares located in central, south, and southeast Sulawesi. The company was formerly known as PT International Nickel Indonesia Tbk and changed its name to PT Vale Indonesia Tbk in September 2011. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia.",2890,"{'maxAge': 1, 'name': 'Ms. Marina Barrenne De Artagao Quental', 'age': 58, 'title': 'Exec. VP of People', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.342,0.346,0.346,0.346,0.342,0.346,0.346,0.346,0.01,0.0163,1684195200,0.27040002,1.114361,17.3,85,85,528,0,0,0.346,0.376,5000000,5000000,3566187264,0.336,0.474,2.799462,0.36544,0.397,0.006,0.01754386,EUR,2683468800,0.17149,2104417178,9936339968,0.82719004,0.0584,0.248,1.3951613,1672444800,1703980800,1688083200,-0.15,218462000,0.02,1:1,1200355200,2.107,6.044,FRA,EQUITY,XT3B.F,XT3B.F,VALE INDONESIA TBK RP 25,PT Vale Indonesia Tbk,1198825200,Europe/Berlin,CEST,7200000,0.346,none,719881024,0.072,444009984,5122000,4.038,5.29,1273883008,0.208,0.128,0.06387,0.091639996,313567000,157063504,442446016,-0.143,-0.102,0.25577,0.34855,0.21765,USD,
6,Sequis Tower,"20th Floor, Unit 6 & 7 Jl. Jend. Sudirman Kav. 71",Jakarta,12190,Indonesia,62 21 524 9000,62 21 524 9020,https://www.vale.com/indonesia/EN/Pages/default.aspx,Other Industrial Metals & Mining,Basic Materials,"PT Vale Indonesia Tbk engages in the mining and processing of nickel in Indonesia. It operates a concession area of 118,017 hectares located in central, south, and southeast Sulawesi. The company was formerly known as PT International Nickel Indonesia Tbk and changed its name to PT Vale Indonesia Tbk in September 2011. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia.",2890,"{'maxAge': 1, 'name': 'Mr. Kunto  Raharjo', 'title': 'Chief Medical Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.342,0.346,0.346,0.346,0.342,0.346,0.346,0.346,0.01,0.0163,1684195200,0.27040002,1.114361,17.3,85,85,528,0,0,0.346,0.376,5000000,5000000,3566187264,0.336,0.474,2.799462,0.36544,0.397,0.006,0.01754386,EUR,2683468800,0.17149,2104417178,9936339968,0.82719004,0.0584,0.248,1.3951613,1672444800,1703980800,1688083200,-0.15,218462000,0.02,1:1,1200355200,2.107,6.044,FRA,EQUITY,XT3B.F,XT3B.F,VALE INDONESIA TBK RP 25,PT Vale Indonesia Tbk,1198825200,Europe/Berlin,CEST,7200000,0.346,none,719881024,0.072,444009984,5122000,4.038,5.29,1273883008,0.208,0.128,0.06387,0.091639996,313567000,157063504,442446016,-0.143,-0.102,0.25577,0.34855,0.21765,USD,
7,Sequis Tower,"20th Floor, Unit 6 & 7 Jl. Jend. Sudirman Kav. 71",Jakarta,12190,Indonesia,62 21 524 9000,62 21 524 9020,https://www.vale.com/indonesia/EN/Pages/default.aspx,Other Industrial Metals & Mining,Basic Materials,"PT Vale Indonesia Tbk engages in the mining and processing of nickel in Indonesia. It operates a concession area of 118,017 hectares located in central, south, and southeast Sulawesi. The company was formerly known as PT International Nickel Indonesia Tbk and changed its name to PT Vale Indonesia Tbk in September 2011. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia.",2890,"{'maxAge': 1, 'name': 'Mr. Alexandre  Pereira', 'title': 'Exec. VP of Global Bus. Solutions', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.342,0.346,0.346,0.346,0.342,0.346,0.346,0.346,0.01,0.0163,1684195200,0.27040002,1.114361,17.3,85,85,528,0,0,0.346,0.376,5000000,5000000,3566187264,0.336,0.474,2.799462,0.36544,0.397,0.006,0.01754386,EUR,2683468800,0.17149,2104417178,9936339968,0.82719004,0.0584,0.248,1.3951613,1672444800,1703980800,1688083200,-0.15,218462000,0.02,1:1,1200355200,2.107,6.044,FRA,EQUITY,XT3B.F,XT3B.F,VALE INDONESIA TBK RP 25,PT Vale Indonesia Tbk,1198825200,Europe/Berlin,CEST,7200000,0.346,none,719881024,0.072,444009984,5122000,4.038,5.29,1273883008,0.208,0.128,0.06387,0.091639996,313567000,157063504,442446016,-0.143,-0.102,0.25577,0.34855,0.21765,USD,
8,Sequis Tower,"20th Floor, Unit 6 & 7 Jl. Jend. Sudirman Kav. 71",Jakarta,12190,Indonesia,62 21 524 9000,62 21 524 9020,https://www.vale.com/indonesia/EN/Pages/default.aspx,Other Industrial Metals & Mining,Basic Materials,"PT Vale Indonesia Tbk engages in the mining and processing of nickel in Indonesia. It operates a concession area of 118,017 hectares located in central, south, and southeast Sulawesi. The company was formerly known as PT International Nickel Indonesia Tbk and changed its name to PT Vale Indonesia Tbk in September 2011. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia.",2890,"{'maxAge': 1, 'name': ""Mr. Alexandre Silva D'Ambrosio"", 'age': 60, 'title': 'Exec. VP of Corp. & External Affairs', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.342,0.346,0.346,0.346,0.342,0.346,0.346,0.346,0.01,0.0163,1684195200,0.27040002,1.114361,17.3,85,85,528,0,0,0.346,0.376,5000000,5000000,3566187264,0.336,0.474,2.799462,0.36544,0.397,0.006,0.01754386,EUR,2683468800,0.17149,2104417178,9936339968,0.82719004,0.0584,0.248,1.3951613,1672444800,1703980800,1688083200,-0.15,218462000,0.02,1:1,1200355200,2.107,6.044,FRA,EQUITY,XT3B.F,XT3B.F,VALE INDONESIA TBK RP 25,PT Vale Indonesia Tbk,1198825200,Europe/Berlin,CEST,7200000,0.346,none,719881024,0.072,444009984,5122000,4.038,5.29,1273883008,0.208,0.128,0.06387,0.091639996,313567000,157063504,442446016,-0.143,-0.102,0.25577,0.34855,0.21765,USD,
9,Sequis Tower,"20th Floor, Unit 6 & 7 Jl. Jend. Sudirman Kav. 71",Jakarta,12190,Indonesia,62 21 524 9000,62 21 524 9020,https://www.vale.com/indonesia/EN/Pages/default.aspx,Other Industrial Metals & Mining,Basic Materials,"PT Vale Indonesia Tbk engages in the mining and processing of nickel in Indonesia. It operates a concession area of 118,017 hectares located in central, south, and southeast Sulawesi. The company was formerly known as PT International Nickel Indonesia Tbk and changed its name to PT Vale Indonesia Tbk in September 2011. The company was incorporated in 1968 and is headquartered in Jakarta, Indonesia.",2890,"{'maxAge': 1, 'name': 'Mr. Luciano Siani Pires', 'age': 52, 'title': 'Exec. VP of Strategy & Bus. Transformation', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.342,0.346,0.346,0.346,0.342,0.346,0.346,0.346,0.01,0.0163,1684195200,0.27040002,1.114361,17.3,85,85,528,0,0,0.346,0.376,5000000,5000000,3566187264,0.336,0.474,2.799462,0.36544,0.397,0.006,0.01754386,EUR,2683468800,0.17149,2104417178,9936339968,0.82719004,0.0584,0.248,1.3951613,1672444800,1703980800,1688083200,-0.15,218462000,0.02,1:1,1200355200,2.107,6.044,FRA,EQUITY,XT3B.F,XT3B.F,VALE INDONESIA TBK RP 25,PT Vale Indonesia Tbk,1198825200,Europe/Berlin,CEST,7200000,0.346,none,719881024,0.072,444009984,5122000,4.038,5.29,1273883008,0.208,0.128,0.06387,0.091639996,313567000,157063504,442446016,-0.143,-0.102,0.25577,0.34855,0.21765,USD,
