,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,189 Second Avenue,Suite 2S,New York,NY,10003,United States,213 235 2240,https://www.readingrdi.com,Entertainment,Communication Services,"Reading International, Inc.,  together with its subsidiaries, focuses on the ownership, development, and operation of entertainment and real property assets in the United States, Australia, and New Zealand. The company operates in two segments, Cinema Exhibition and Real Estate. The Cinema Exhibition segment operates multiplex cinemas. This segment operates its cinema exhibition businesses under the Reading Cinemas, Angelika Film Center, Consolidated Theatres, State Cinema, Event Cinemas, and Rialto Cinemas brands. The Real Estate segment develops, rents, or licenses retail, commercial, and live theater assets. Reading International, Inc. was incorporated in 1999 and is headquartered in New York, New York.",2025,"{'maxAge': 1, 'name': 'Ms. Margaret  Cotter', 'age': 54, 'title': 'Chairperson and Exec. VP of Real Estate Management & Devel.', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 464780, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,6,10,9,1693526400,1672444800,86400,4,2.25,2.21,2.21,2.34,2.25,2.21,2.21,2.34,0.0,1.563278,-19.5,41303,41303,42316,28070,28070,0.912,2.31,1400,800,78773992,2.17,3.98,0.37643355,2.4856,2.9807,0.0,0.0,USD,466148800,-0.15427,14489085,20592800,81757,81202,1690761600,1693440000,0.0037,0.18997999,0.55436003,3.15,0.0049,2.13,1.0985914,1672444800,1703980800,1688083200,-32283000,-1.52,-0.12,3:2,735782400,2.228,-5066.835,NCM,EQUITY,RDI,RDI,Reading International Inc,"Reading International, Inc.",440173800,America/New_York,EDT,-14400000,2.34,3.5,3.5,3.5,3.5,3.0,hold,1,15834000,0.711,-92000,429737984,0.17,0.361,209264000,903.456,9.462,-0.02249,-0.50773,-1417375,-17602000,0.008,0.08527,-0.00044,-0.10144,USD,
1,189 Second Avenue,Suite 2S,New York,NY,10003,United States,213 235 2240,https://www.readingrdi.com,Entertainment,Communication Services,"Reading International, Inc.,  together with its subsidiaries, focuses on the ownership, development, and operation of entertainment and real property assets in the United States, Australia, and New Zealand. The company operates in two segments, Cinema Exhibition and Real Estate. The Cinema Exhibition segment operates multiplex cinemas. This segment operates its cinema exhibition businesses under the Reading Cinemas, Angelika Film Center, Consolidated Theatres, State Cinema, Event Cinemas, and Rialto Cinemas brands. The Real Estate segment develops, rents, or licenses retail, commercial, and live theater assets. Reading International, Inc. was incorporated in 1999 and is headquartered in New York, New York.",2025,"{'maxAge': 1, 'name': 'Ms. Ellen Marie Cotter', 'age': 56, 'title': 'Pres, CEO & Vice Chairman', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 602580, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,6,10,9,1693526400,1672444800,86400,4,2.25,2.21,2.21,2.34,2.25,2.21,2.21,2.34,0.0,1.563278,-19.5,41303,41303,42316,28070,28070,0.912,2.31,1400,800,78773992,2.17,3.98,0.37643355,2.4856,2.9807,0.0,0.0,USD,466148800,-0.15427,14489085,20592800,81757,81202,1690761600,1693440000,0.0037,0.18997999,0.55436003,3.15,0.0049,2.13,1.0985914,1672444800,1703980800,1688083200,-32283000,-1.52,-0.12,3:2,735782400,2.228,-5066.835,NCM,EQUITY,RDI,RDI,Reading International Inc,"Reading International, Inc.",440173800,America/New_York,EDT,-14400000,2.34,3.5,3.5,3.5,3.5,3.0,hold,1,15834000,0.711,-92000,429737984,0.17,0.361,209264000,903.456,9.462,-0.02249,-0.50773,-1417375,-17602000,0.008,0.08527,-0.00044,-0.10144,USD,
2,189 Second Avenue,Suite 2S,New York,NY,10003,United States,213 235 2240,https://www.readingrdi.com,Entertainment,Communication Services,"Reading International, Inc.,  together with its subsidiaries, focuses on the ownership, development, and operation of entertainment and real property assets in the United States, Australia, and New Zealand. The company operates in two segments, Cinema Exhibition and Real Estate. The Cinema Exhibition segment operates multiplex cinemas. This segment operates its cinema exhibition businesses under the Reading Cinemas, Angelika Film Center, Consolidated Theatres, State Cinema, Event Cinemas, and Rialto Cinemas brands. The Real Estate segment develops, rents, or licenses retail, commercial, and live theater assets. Reading International, Inc. was incorporated in 1999 and is headquartered in New York, New York.",2025,"{'maxAge': 1, 'name': 'Mr. S. Craig Tompkins J.D.', 'age': 71, 'title': 'Exec. VP & Gen. Counsel', 'yearBorn': 1951, 'fiscalYear': 2022, 'totalPay': 459270, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,6,10,9,1693526400,1672444800,86400,4,2.25,2.21,2.21,2.34,2.25,2.21,2.21,2.34,0.0,1.563278,-19.5,41303,41303,42316,28070,28070,0.912,2.31,1400,800,78773992,2.17,3.98,0.37643355,2.4856,2.9807,0.0,0.0,USD,466148800,-0.15427,14489085,20592800,81757,81202,1690761600,1693440000,0.0037,0.18997999,0.55436003,3.15,0.0049,2.13,1.0985914,1672444800,1703980800,1688083200,-32283000,-1.52,-0.12,3:2,735782400,2.228,-5066.835,NCM,EQUITY,RDI,RDI,Reading International Inc,"Reading International, Inc.",440173800,America/New_York,EDT,-14400000,2.34,3.5,3.5,3.5,3.5,3.0,hold,1,15834000,0.711,-92000,429737984,0.17,0.361,209264000,903.456,9.462,-0.02249,-0.50773,-1417375,-17602000,0.008,0.08527,-0.00044,-0.10144,USD,
3,189 Second Avenue,Suite 2S,New York,NY,10003,United States,213 235 2240,https://www.readingrdi.com,Entertainment,Communication Services,"Reading International, Inc.,  together with its subsidiaries, focuses on the ownership, development, and operation of entertainment and real property assets in the United States, Australia, and New Zealand. The company operates in two segments, Cinema Exhibition and Real Estate. The Cinema Exhibition segment operates multiplex cinemas. This segment operates its cinema exhibition businesses under the Reading Cinemas, Angelika Film Center, Consolidated Theatres, State Cinema, Event Cinemas, and Rialto Cinemas brands. The Real Estate segment develops, rents, or licenses retail, commercial, and live theater assets. Reading International, Inc. was incorporated in 1999 and is headquartered in New York, New York.",2025,"{'maxAge': 1, 'name': 'Mr. Guy Wilkerson Adams', 'age': 71, 'title': 'Lead Technology & Cyber Risk Director and Independent Director', 'yearBorn': 1951, 'fiscalYear': 2022, 'totalPay': 82500, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,6,10,9,1693526400,1672444800,86400,4,2.25,2.21,2.21,2.34,2.25,2.21,2.21,2.34,0.0,1.563278,-19.5,41303,41303,42316,28070,28070,0.912,2.31,1400,800,78773992,2.17,3.98,0.37643355,2.4856,2.9807,0.0,0.0,USD,466148800,-0.15427,14489085,20592800,81757,81202,1690761600,1693440000,0.0037,0.18997999,0.55436003,3.15,0.0049,2.13,1.0985914,1672444800,1703980800,1688083200,-32283000,-1.52,-0.12,3:2,735782400,2.228,-5066.835,NCM,EQUITY,RDI,RDI,Reading International Inc,"Reading International, Inc.",440173800,America/New_York,EDT,-14400000,2.34,3.5,3.5,3.5,3.5,3.0,hold,1,15834000,0.711,-92000,429737984,0.17,0.361,209264000,903.456,9.462,-0.02249,-0.50773,-1417375,-17602000,0.008,0.08527,-0.00044,-0.10144,USD,
4,189 Second Avenue,Suite 2S,New York,NY,10003,United States,213 235 2240,https://www.readingrdi.com,Entertainment,Communication Services,"Reading International, Inc.,  together with its subsidiaries, focuses on the ownership, development, and operation of entertainment and real property assets in the United States, Australia, and New Zealand. The company operates in two segments, Cinema Exhibition and Real Estate. The Cinema Exhibition segment operates multiplex cinemas. This segment operates its cinema exhibition businesses under the Reading Cinemas, Angelika Film Center, Consolidated Theatres, State Cinema, Event Cinemas, and Rialto Cinemas brands. The Real Estate segment develops, rents, or licenses retail, commercial, and live theater assets. Reading International, Inc. was incorporated in 1999 and is headquartered in New York, New York.",2025,"{'maxAge': 1, 'name': 'Mr. Gilbert  Avanes', 'age': 48, 'title': 'CFO, Exec. VP & Treasurer', 'yearBorn': 1974, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,6,10,9,1693526400,1672444800,86400,4,2.25,2.21,2.21,2.34,2.25,2.21,2.21,2.34,0.0,1.563278,-19.5,41303,41303,42316,28070,28070,0.912,2.31,1400,800,78773992,2.17,3.98,0.37643355,2.4856,2.9807,0.0,0.0,USD,466148800,-0.15427,14489085,20592800,81757,81202,1690761600,1693440000,0.0037,0.18997999,0.55436003,3.15,0.0049,2.13,1.0985914,1672444800,1703980800,1688083200,-32283000,-1.52,-0.12,3:2,735782400,2.228,-5066.835,NCM,EQUITY,RDI,RDI,Reading International Inc,"Reading International, Inc.",440173800,America/New_York,EDT,-14400000,2.34,3.5,3.5,3.5,3.5,3.0,hold,1,15834000,0.711,-92000,429737984,0.17,0.361,209264000,903.456,9.462,-0.02249,-0.50773,-1417375,-17602000,0.008,0.08527,-0.00044,-0.10144,USD,
5,189 Second Avenue,Suite 2S,New York,NY,10003,United States,213 235 2240,https://www.readingrdi.com,Entertainment,Communication Services,"Reading International, Inc.,  together with its subsidiaries, focuses on the ownership, development, and operation of entertainment and real property assets in the United States, Australia, and New Zealand. The company operates in two segments, Cinema Exhibition and Real Estate. The Cinema Exhibition segment operates multiplex cinemas. This segment operates its cinema exhibition businesses under the Reading Cinemas, Angelika Film Center, Consolidated Theatres, State Cinema, Event Cinemas, and Rialto Cinemas brands. The Real Estate segment develops, rents, or licenses retail, commercial, and live theater assets. Reading International, Inc. was incorporated in 1999 and is headquartered in New York, New York.",2025,"{'maxAge': 1, 'name': 'Mr. Andrzej J. Matyczynski', 'age': 69, 'title': 'Exec. VP of Global Operations', 'yearBorn': 1953, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,6,10,9,1693526400,1672444800,86400,4,2.25,2.21,2.21,2.34,2.25,2.21,2.21,2.34,0.0,1.563278,-19.5,41303,41303,42316,28070,28070,0.912,2.31,1400,800,78773992,2.17,3.98,0.37643355,2.4856,2.9807,0.0,0.0,USD,466148800,-0.15427,14489085,20592800,81757,81202,1690761600,1693440000,0.0037,0.18997999,0.55436003,3.15,0.0049,2.13,1.0985914,1672444800,1703980800,1688083200,-32283000,-1.52,-0.12,3:2,735782400,2.228,-5066.835,NCM,EQUITY,RDI,RDI,Reading International Inc,"Reading International, Inc.",440173800,America/New_York,EDT,-14400000,2.34,3.5,3.5,3.5,3.5,3.0,hold,1,15834000,0.711,-92000,429737984,0.17,0.361,209264000,903.456,9.462,-0.02249,-0.50773,-1417375,-17602000,0.008,0.08527,-0.00044,-0.10144,USD,
6,189 Second Avenue,Suite 2S,New York,NY,10003,United States,213 235 2240,https://www.readingrdi.com,Entertainment,Communication Services,"Reading International, Inc.,  together with its subsidiaries, focuses on the ownership, development, and operation of entertainment and real property assets in the United States, Australia, and New Zealand. The company operates in two segments, Cinema Exhibition and Real Estate. The Cinema Exhibition segment operates multiplex cinemas. This segment operates its cinema exhibition businesses under the Reading Cinemas, Angelika Film Center, Consolidated Theatres, State Cinema, Event Cinemas, and Rialto Cinemas brands. The Real Estate segment develops, rents, or licenses retail, commercial, and live theater assets. Reading International, Inc. was incorporated in 1999 and is headquartered in New York, New York.",2025,"{'maxAge': 1, 'name': 'Mr. Steven J. Lucas', 'age': 51, 'title': 'Chief Accounting Officer, VP & Controller', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,6,10,9,1693526400,1672444800,86400,4,2.25,2.21,2.21,2.34,2.25,2.21,2.21,2.34,0.0,1.563278,-19.5,41303,41303,42316,28070,28070,0.912,2.31,1400,800,78773992,2.17,3.98,0.37643355,2.4856,2.9807,0.0,0.0,USD,466148800,-0.15427,14489085,20592800,81757,81202,1690761600,1693440000,0.0037,0.18997999,0.55436003,3.15,0.0049,2.13,1.0985914,1672444800,1703980800,1688083200,-32283000,-1.52,-0.12,3:2,735782400,2.228,-5066.835,NCM,EQUITY,RDI,RDI,Reading International Inc,"Reading International, Inc.",440173800,America/New_York,EDT,-14400000,2.34,3.5,3.5,3.5,3.5,3.0,hold,1,15834000,0.711,-92000,429737984,0.17,0.361,209264000,903.456,9.462,-0.02249,-0.50773,-1417375,-17602000,0.008,0.08527,-0.00044,-0.10144,USD,
7,189 Second Avenue,Suite 2S,New York,NY,10003,United States,213 235 2240,https://www.readingrdi.com,Entertainment,Communication Services,"Reading International, Inc.,  together with its subsidiaries, focuses on the ownership, development, and operation of entertainment and real property assets in the United States, Australia, and New Zealand. The company operates in two segments, Cinema Exhibition and Real Estate. The Cinema Exhibition segment operates multiplex cinemas. This segment operates its cinema exhibition businesses under the Reading Cinemas, Angelika Film Center, Consolidated Theatres, State Cinema, Event Cinemas, and Rialto Cinemas brands. The Real Estate segment develops, rents, or licenses retail, commercial, and live theater assets. Reading International, Inc. was incorporated in 1999 and is headquartered in New York, New York.",2025,"{'maxAge': 1, 'name': 'Mr. John  Goeddel', 'age': 59, 'title': 'Exec. VP & Chief Information Officer', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,6,10,9,1693526400,1672444800,86400,4,2.25,2.21,2.21,2.34,2.25,2.21,2.21,2.34,0.0,1.563278,-19.5,41303,41303,42316,28070,28070,0.912,2.31,1400,800,78773992,2.17,3.98,0.37643355,2.4856,2.9807,0.0,0.0,USD,466148800,-0.15427,14489085,20592800,81757,81202,1690761600,1693440000,0.0037,0.18997999,0.55436003,3.15,0.0049,2.13,1.0985914,1672444800,1703980800,1688083200,-32283000,-1.52,-0.12,3:2,735782400,2.228,-5066.835,NCM,EQUITY,RDI,RDI,Reading International Inc,"Reading International, Inc.",440173800,America/New_York,EDT,-14400000,2.34,3.5,3.5,3.5,3.5,3.0,hold,1,15834000,0.711,-92000,429737984,0.17,0.361,209264000,903.456,9.462,-0.02249,-0.50773,-1417375,-17602000,0.008,0.08527,-0.00044,-0.10144,USD,
8,189 Second Avenue,Suite 2S,New York,NY,10003,United States,213 235 2240,https://www.readingrdi.com,Entertainment,Communication Services,"Reading International, Inc.,  together with its subsidiaries, focuses on the ownership, development, and operation of entertainment and real property assets in the United States, Australia, and New Zealand. The company operates in two segments, Cinema Exhibition and Real Estate. The Cinema Exhibition segment operates multiplex cinemas. This segment operates its cinema exhibition businesses under the Reading Cinemas, Angelika Film Center, Consolidated Theatres, State Cinema, Event Cinemas, and Rialto Cinemas brands. The Real Estate segment develops, rents, or licenses retail, commercial, and live theater assets. Reading International, Inc. was incorporated in 1999 and is headquartered in New York, New York.",2025,"{'maxAge': 1, 'name': 'Mr. Robert F. Smerling', 'age': 87, 'title': 'Pres of US Cinemas', 'yearBorn': 1935, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,6,10,9,1693526400,1672444800,86400,4,2.25,2.21,2.21,2.34,2.25,2.21,2.21,2.34,0.0,1.563278,-19.5,41303,41303,42316,28070,28070,0.912,2.31,1400,800,78773992,2.17,3.98,0.37643355,2.4856,2.9807,0.0,0.0,USD,466148800,-0.15427,14489085,20592800,81757,81202,1690761600,1693440000,0.0037,0.18997999,0.55436003,3.15,0.0049,2.13,1.0985914,1672444800,1703980800,1688083200,-32283000,-1.52,-0.12,3:2,735782400,2.228,-5066.835,NCM,EQUITY,RDI,RDI,Reading International Inc,"Reading International, Inc.",440173800,America/New_York,EDT,-14400000,2.34,3.5,3.5,3.5,3.5,3.0,hold,1,15834000,0.711,-92000,429737984,0.17,0.361,209264000,903.456,9.462,-0.02249,-0.50773,-1417375,-17602000,0.008,0.08527,-0.00044,-0.10144,USD,
9,189 Second Avenue,Suite 2S,New York,NY,10003,United States,213 235 2240,https://www.readingrdi.com,Entertainment,Communication Services,"Reading International, Inc.,  together with its subsidiaries, focuses on the ownership, development, and operation of entertainment and real property assets in the United States, Australia, and New Zealand. The company operates in two segments, Cinema Exhibition and Real Estate. The Cinema Exhibition segment operates multiplex cinemas. This segment operates its cinema exhibition businesses under the Reading Cinemas, Angelika Film Center, Consolidated Theatres, State Cinema, Event Cinemas, and Rialto Cinemas brands. The Real Estate segment develops, rents, or licenses retail, commercial, and live theater assets. Reading International, Inc. was incorporated in 1999 and is headquartered in New York, New York.",2025,"{'maxAge': 1, 'name': 'Mr. Mark D. Douglas', 'age': 52, 'title': 'Managing Director of Australia & New Zealand', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,6,10,9,1693526400,1672444800,86400,4,2.25,2.21,2.21,2.34,2.25,2.21,2.21,2.34,0.0,1.563278,-19.5,41303,41303,42316,28070,28070,0.912,2.31,1400,800,78773992,2.17,3.98,0.37643355,2.4856,2.9807,0.0,0.0,USD,466148800,-0.15427,14489085,20592800,81757,81202,1690761600,1693440000,0.0037,0.18997999,0.55436003,3.15,0.0049,2.13,1.0985914,1672444800,1703980800,1688083200,-32283000,-1.52,-0.12,3:2,735782400,2.228,-5066.835,NCM,EQUITY,RDI,RDI,Reading International Inc,"Reading International, Inc.",440173800,America/New_York,EDT,-14400000,2.34,3.5,3.5,3.5,3.5,3.0,hold,1,15834000,0.711,-92000,429737984,0.17,0.361,209264000,903.456,9.462,-0.02249,-0.50773,-1417375,-17602000,0.008,0.08527,-0.00044,-0.10144,USD,
