,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"3-6, Nakamagome 1-chome",Ohta-ku,Tokyo,143-8555,Japan,81 3 3777 8111,https://www.ricoh.com,Business Equipment & Supplies,Industrials,"Ricoh Company, Ltd. provides office, commercial printing, and related solutions worldwide. It operates through Digital services, Digital Products, Graphic Communications, Industrial Solutions, and Other segments. The company sells multifunctional printers (MFPs), laser printers, digital duplicators, wide format printers, facsimile machines, scanners, personal computers, servers, network equipment, related parts and supplies, services, and support and service and solutions related to documents. It also offers production and OEM services for MFPs, laser printers, digital duplicators, wide format printers, facsimile machine, scanners, network equipment, and related parts and supplies. In addition, the company produces and sells cut sheet printers, continuous feed printers, inkjet heads, imaging systems, industrial printers, related parts and supplies, services, and support and software. Further, it produces and sells thermal paper and media products, industrial optical components/modules, and electronic components and precision mechanical components, as well as offers digital cameras, 360°cameras, and environment and healthcare products. The company was formerly known as Riken Optical Co., Ltd. and changed its name to Ricoh Company, Ltd. in 1963. Ricoh Company, Ltd. was incorporated in 1936 and is headquartered in Tokyo, Japan.",81017,"{'maxAge': 1, 'name': 'Mr. Akira  Oyama', 'age': 61, 'title': 'Pres, CEO, CTO & Representative Director', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,1,1,2,1693526400,86400,2,8.25,8.4,8.4,8.4,8.25,8.4,8.4,8.4,0.24,0.028900001,1695859200,0.3755,2.44,14.736841,1,1,58,19,19,8.3,8.5,262500,256600,5166629888,6.65,8.4,0.002338434,7.72,7.3045,34.0,4.121212,EUR,254365335552,0.0,609075008,0.03766,0.46025002,1617.701,0.0051925536,1680220800,1711843200,1688083200,0.159,55571001344,0.57,0.115,1.543,FRA,EQUITY,RIC1.F,RIC1.F,RICOH CO. LTD,"Ricoh Company, Ltd.",946882800,Europe/Berlin,CEST,7200000,8.4,none,192702005248,316.378,164837998592,416143015936,0.757,1.375,2209440071680,41.156,3617.255,745422000000,-129911250944,81338998784,0.205,0.164,0.0,0.0,0.029070001,JPY,
1,"3-6, Nakamagome 1-chome",Ohta-ku,Tokyo,143-8555,Japan,81 3 3777 8111,https://www.ricoh.com,Business Equipment & Supplies,Industrials,"Ricoh Company, Ltd. provides office, commercial printing, and related solutions worldwide. It operates through Digital services, Digital Products, Graphic Communications, Industrial Solutions, and Other segments. The company sells multifunctional printers (MFPs), laser printers, digital duplicators, wide format printers, facsimile machines, scanners, personal computers, servers, network equipment, related parts and supplies, services, and support and service and solutions related to documents. It also offers production and OEM services for MFPs, laser printers, digital duplicators, wide format printers, facsimile machine, scanners, network equipment, and related parts and supplies. In addition, the company produces and sells cut sheet printers, continuous feed printers, inkjet heads, imaging systems, industrial printers, related parts and supplies, services, and support and software. Further, it produces and sells thermal paper and media products, industrial optical components/modules, and electronic components and precision mechanical components, as well as offers digital cameras, 360°cameras, and environment and healthcare products. The company was formerly known as Riken Optical Co., Ltd. and changed its name to Ricoh Company, Ltd. in 1963. Ricoh Company, Ltd. was incorporated in 1936 and is headquartered in Tokyo, Japan.",81017,"{'maxAge': 1, 'name': 'Takashi  Kawaguchi', 'age': 59, 'title': 'Exec. Corp. Officer, CFO & Director', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,1,1,2,1693526400,86400,2,8.25,8.4,8.4,8.4,8.25,8.4,8.4,8.4,0.24,0.028900001,1695859200,0.3755,2.44,14.736841,1,1,58,19,19,8.3,8.5,262500,256600,5166629888,6.65,8.4,0.002338434,7.72,7.3045,34.0,4.121212,EUR,254365335552,0.0,609075008,0.03766,0.46025002,1617.701,0.0051925536,1680220800,1711843200,1688083200,0.159,55571001344,0.57,0.115,1.543,FRA,EQUITY,RIC1.F,RIC1.F,RICOH CO. LTD,"Ricoh Company, Ltd.",946882800,Europe/Berlin,CEST,7200000,8.4,none,192702005248,316.378,164837998592,416143015936,0.757,1.375,2209440071680,41.156,3617.255,745422000000,-129911250944,81338998784,0.205,0.164,0.0,0.0,0.029070001,JPY,
2,"3-6, Nakamagome 1-chome",Ohta-ku,Tokyo,143-8555,Japan,81 3 3777 8111,https://www.ricoh.com,Business Equipment & Supplies,Industrials,"Ricoh Company, Ltd. provides office, commercial printing, and related solutions worldwide. It operates through Digital services, Digital Products, Graphic Communications, Industrial Solutions, and Other segments. The company sells multifunctional printers (MFPs), laser printers, digital duplicators, wide format printers, facsimile machines, scanners, personal computers, servers, network equipment, related parts and supplies, services, and support and service and solutions related to documents. It also offers production and OEM services for MFPs, laser printers, digital duplicators, wide format printers, facsimile machine, scanners, network equipment, and related parts and supplies. In addition, the company produces and sells cut sheet printers, continuous feed printers, inkjet heads, imaging systems, industrial printers, related parts and supplies, services, and support and software. Further, it produces and sells thermal paper and media products, industrial optical components/modules, and electronic components and precision mechanical components, as well as offers digital cameras, 360°cameras, and environment and healthcare products. The company was formerly known as Riken Optical Co., Ltd. and changed its name to Ricoh Company, Ltd. in 1963. Ricoh Company, Ltd. was incorporated in 1936 and is headquartered in Tokyo, Japan.",81017,"{'maxAge': 1, 'name': 'Masahisa  Honda', 'title': 'Mang. of IR Department & Corp. Communication Center', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,1,1,2,1693526400,86400,2,8.25,8.4,8.4,8.4,8.25,8.4,8.4,8.4,0.24,0.028900001,1695859200,0.3755,2.44,14.736841,1,1,58,19,19,8.3,8.5,262500,256600,5166629888,6.65,8.4,0.002338434,7.72,7.3045,34.0,4.121212,EUR,254365335552,0.0,609075008,0.03766,0.46025002,1617.701,0.0051925536,1680220800,1711843200,1688083200,0.159,55571001344,0.57,0.115,1.543,FRA,EQUITY,RIC1.F,RIC1.F,RICOH CO. LTD,"Ricoh Company, Ltd.",946882800,Europe/Berlin,CEST,7200000,8.4,none,192702005248,316.378,164837998592,416143015936,0.757,1.375,2209440071680,41.156,3617.255,745422000000,-129911250944,81338998784,0.205,0.164,0.0,0.0,0.029070001,JPY,
3,"3-6, Nakamagome 1-chome",Ohta-ku,Tokyo,143-8555,Japan,81 3 3777 8111,https://www.ricoh.com,Business Equipment & Supplies,Industrials,"Ricoh Company, Ltd. provides office, commercial printing, and related solutions worldwide. It operates through Digital services, Digital Products, Graphic Communications, Industrial Solutions, and Other segments. The company sells multifunctional printers (MFPs), laser printers, digital duplicators, wide format printers, facsimile machines, scanners, personal computers, servers, network equipment, related parts and supplies, services, and support and service and solutions related to documents. It also offers production and OEM services for MFPs, laser printers, digital duplicators, wide format printers, facsimile machine, scanners, network equipment, and related parts and supplies. In addition, the company produces and sells cut sheet printers, continuous feed printers, inkjet heads, imaging systems, industrial printers, related parts and supplies, services, and support and software. Further, it produces and sells thermal paper and media products, industrial optical components/modules, and electronic components and precision mechanical components, as well as offers digital cameras, 360°cameras, and environment and healthcare products. The company was formerly known as Riken Optical Co., Ltd. and changed its name to Ricoh Company, Ltd. in 1963. Ricoh Company, Ltd. was incorporated in 1936 and is headquartered in Tokyo, Japan.",81017,"{'maxAge': 1, 'name': 'Mr. Shinji  Sato', 'age': 62, 'title': 'Audit & Supervisory Board Member', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,1,1,2,1693526400,86400,2,8.25,8.4,8.4,8.4,8.25,8.4,8.4,8.4,0.24,0.028900001,1695859200,0.3755,2.44,14.736841,1,1,58,19,19,8.3,8.5,262500,256600,5166629888,6.65,8.4,0.002338434,7.72,7.3045,34.0,4.121212,EUR,254365335552,0.0,609075008,0.03766,0.46025002,1617.701,0.0051925536,1680220800,1711843200,1688083200,0.159,55571001344,0.57,0.115,1.543,FRA,EQUITY,RIC1.F,RIC1.F,RICOH CO. LTD,"Ricoh Company, Ltd.",946882800,Europe/Berlin,CEST,7200000,8.4,none,192702005248,316.378,164837998592,416143015936,0.757,1.375,2209440071680,41.156,3617.255,745422000000,-129911250944,81338998784,0.205,0.164,0.0,0.0,0.029070001,JPY,
4,"3-6, Nakamagome 1-chome",Ohta-ku,Tokyo,143-8555,Japan,81 3 3777 8111,https://www.ricoh.com,Business Equipment & Supplies,Industrials,"Ricoh Company, Ltd. provides office, commercial printing, and related solutions worldwide. It operates through Digital services, Digital Products, Graphic Communications, Industrial Solutions, and Other segments. The company sells multifunctional printers (MFPs), laser printers, digital duplicators, wide format printers, facsimile machines, scanners, personal computers, servers, network equipment, related parts and supplies, services, and support and service and solutions related to documents. It also offers production and OEM services for MFPs, laser printers, digital duplicators, wide format printers, facsimile machine, scanners, network equipment, and related parts and supplies. In addition, the company produces and sells cut sheet printers, continuous feed printers, inkjet heads, imaging systems, industrial printers, related parts and supplies, services, and support and software. Further, it produces and sells thermal paper and media products, industrial optical components/modules, and electronic components and precision mechanical components, as well as offers digital cameras, 360°cameras, and environment and healthcare products. The company was formerly known as Riken Optical Co., Ltd. and changed its name to Ricoh Company, Ltd. in 1963. Ricoh Company, Ltd. was incorporated in 1936 and is headquartered in Tokyo, Japan.",81017,"{'maxAge': 1, 'name': 'Mayuko  Seto', 'title': 'Sr. Corp. Officer & Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,1,1,2,1693526400,86400,2,8.25,8.4,8.4,8.4,8.25,8.4,8.4,8.4,0.24,0.028900001,1695859200,0.3755,2.44,14.736841,1,1,58,19,19,8.3,8.5,262500,256600,5166629888,6.65,8.4,0.002338434,7.72,7.3045,34.0,4.121212,EUR,254365335552,0.0,609075008,0.03766,0.46025002,1617.701,0.0051925536,1680220800,1711843200,1688083200,0.159,55571001344,0.57,0.115,1.543,FRA,EQUITY,RIC1.F,RIC1.F,RICOH CO. LTD,"Ricoh Company, Ltd.",946882800,Europe/Berlin,CEST,7200000,8.4,none,192702005248,316.378,164837998592,416143015936,0.757,1.375,2209440071680,41.156,3617.255,745422000000,-129911250944,81338998784,0.205,0.164,0.0,0.0,0.029070001,JPY,
5,"3-6, Nakamagome 1-chome",Ohta-ku,Tokyo,143-8555,Japan,81 3 3777 8111,https://www.ricoh.com,Business Equipment & Supplies,Industrials,"Ricoh Company, Ltd. provides office, commercial printing, and related solutions worldwide. It operates through Digital services, Digital Products, Graphic Communications, Industrial Solutions, and Other segments. The company sells multifunctional printers (MFPs), laser printers, digital duplicators, wide format printers, facsimile machines, scanners, personal computers, servers, network equipment, related parts and supplies, services, and support and service and solutions related to documents. It also offers production and OEM services for MFPs, laser printers, digital duplicators, wide format printers, facsimile machine, scanners, network equipment, and related parts and supplies. In addition, the company produces and sells cut sheet printers, continuous feed printers, inkjet heads, imaging systems, industrial printers, related parts and supplies, services, and support and software. Further, it produces and sells thermal paper and media products, industrial optical components/modules, and electronic components and precision mechanical components, as well as offers digital cameras, 360°cameras, and environment and healthcare products. The company was formerly known as Riken Optical Co., Ltd. and changed its name to Ricoh Company, Ltd. in 1963. Ricoh Company, Ltd. was incorporated in 1936 and is headquartered in Tokyo, Japan.",81017,"{'maxAge': 1, 'name': 'Mr. Yasutomo  Mori', 'age': 62, 'title': 'Corp. Officer, Pres of Ricoh Industrial Solutions BU & Ricoh Elemex Corp.', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,1,1,2,1693526400,86400,2,8.25,8.4,8.4,8.4,8.25,8.4,8.4,8.4,0.24,0.028900001,1695859200,0.3755,2.44,14.736841,1,1,58,19,19,8.3,8.5,262500,256600,5166629888,6.65,8.4,0.002338434,7.72,7.3045,34.0,4.121212,EUR,254365335552,0.0,609075008,0.03766,0.46025002,1617.701,0.0051925536,1680220800,1711843200,1688083200,0.159,55571001344,0.57,0.115,1.543,FRA,EQUITY,RIC1.F,RIC1.F,RICOH CO. LTD,"Ricoh Company, Ltd.",946882800,Europe/Berlin,CEST,7200000,8.4,none,192702005248,316.378,164837998592,416143015936,0.757,1.375,2209440071680,41.156,3617.255,745422000000,-129911250944,81338998784,0.205,0.164,0.0,0.0,0.029070001,JPY,
6,"3-6, Nakamagome 1-chome",Ohta-ku,Tokyo,143-8555,Japan,81 3 3777 8111,https://www.ricoh.com,Business Equipment & Supplies,Industrials,"Ricoh Company, Ltd. provides office, commercial printing, and related solutions worldwide. It operates through Digital services, Digital Products, Graphic Communications, Industrial Solutions, and Other segments. The company sells multifunctional printers (MFPs), laser printers, digital duplicators, wide format printers, facsimile machines, scanners, personal computers, servers, network equipment, related parts and supplies, services, and support and service and solutions related to documents. It also offers production and OEM services for MFPs, laser printers, digital duplicators, wide format printers, facsimile machine, scanners, network equipment, and related parts and supplies. In addition, the company produces and sells cut sheet printers, continuous feed printers, inkjet heads, imaging systems, industrial printers, related parts and supplies, services, and support and software. Further, it produces and sells thermal paper and media products, industrial optical components/modules, and electronic components and precision mechanical components, as well as offers digital cameras, 360°cameras, and environment and healthcare products. The company was formerly known as Riken Optical Co., Ltd. and changed its name to Ricoh Company, Ltd. in 1963. Ricoh Company, Ltd. was incorporated in 1936 and is headquartered in Tokyo, Japan.",81017,"{'maxAge': 1, 'name': 'Katsunori  Nakata', 'age': 61, 'title': 'Exec. Corp. Officer & Pres of Ricoh Digital Products BU', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,1,1,2,1693526400,86400,2,8.25,8.4,8.4,8.4,8.25,8.4,8.4,8.4,0.24,0.028900001,1695859200,0.3755,2.44,14.736841,1,1,58,19,19,8.3,8.5,262500,256600,5166629888,6.65,8.4,0.002338434,7.72,7.3045,34.0,4.121212,EUR,254365335552,0.0,609075008,0.03766,0.46025002,1617.701,0.0051925536,1680220800,1711843200,1688083200,0.159,55571001344,0.57,0.115,1.543,FRA,EQUITY,RIC1.F,RIC1.F,RICOH CO. LTD,"Ricoh Company, Ltd.",946882800,Europe/Berlin,CEST,7200000,8.4,none,192702005248,316.378,164837998592,416143015936,0.757,1.375,2209440071680,41.156,3617.255,745422000000,-129911250944,81338998784,0.205,0.164,0.0,0.0,0.029070001,JPY,
7,"3-6, Nakamagome 1-chome",Ohta-ku,Tokyo,143-8555,Japan,81 3 3777 8111,https://www.ricoh.com,Business Equipment & Supplies,Industrials,"Ricoh Company, Ltd. provides office, commercial printing, and related solutions worldwide. It operates through Digital services, Digital Products, Graphic Communications, Industrial Solutions, and Other segments. The company sells multifunctional printers (MFPs), laser printers, digital duplicators, wide format printers, facsimile machines, scanners, personal computers, servers, network equipment, related parts and supplies, services, and support and service and solutions related to documents. It also offers production and OEM services for MFPs, laser printers, digital duplicators, wide format printers, facsimile machine, scanners, network equipment, and related parts and supplies. In addition, the company produces and sells cut sheet printers, continuous feed printers, inkjet heads, imaging systems, industrial printers, related parts and supplies, services, and support and software. Further, it produces and sells thermal paper and media products, industrial optical components/modules, and electronic components and precision mechanical components, as well as offers digital cameras, 360°cameras, and environment and healthcare products. The company was formerly known as Riken Optical Co., Ltd. and changed its name to Ricoh Company, Ltd. in 1963. Ricoh Company, Ltd. was incorporated in 1936 and is headquartered in Tokyo, Japan.",81017,"{'maxAge': 1, 'name': 'Yasuyuki  Nomizu', 'title': 'Corp. Offr, CDIO, Pres. of Ricoh IT Solutions & Chair of Ricoh Software Research Cen(Beijing)', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,1,1,2,1693526400,86400,2,8.25,8.4,8.4,8.4,8.25,8.4,8.4,8.4,0.24,0.028900001,1695859200,0.3755,2.44,14.736841,1,1,58,19,19,8.3,8.5,262500,256600,5166629888,6.65,8.4,0.002338434,7.72,7.3045,34.0,4.121212,EUR,254365335552,0.0,609075008,0.03766,0.46025002,1617.701,0.0051925536,1680220800,1711843200,1688083200,0.159,55571001344,0.57,0.115,1.543,FRA,EQUITY,RIC1.F,RIC1.F,RICOH CO. LTD,"Ricoh Company, Ltd.",946882800,Europe/Berlin,CEST,7200000,8.4,none,192702005248,316.378,164837998592,416143015936,0.757,1.375,2209440071680,41.156,3617.255,745422000000,-129911250944,81338998784,0.205,0.164,0.0,0.0,0.029070001,JPY,
8,"3-6, Nakamagome 1-chome",Ohta-ku,Tokyo,143-8555,Japan,81 3 3777 8111,https://www.ricoh.com,Business Equipment & Supplies,Industrials,"Ricoh Company, Ltd. provides office, commercial printing, and related solutions worldwide. It operates through Digital services, Digital Products, Graphic Communications, Industrial Solutions, and Other segments. The company sells multifunctional printers (MFPs), laser printers, digital duplicators, wide format printers, facsimile machines, scanners, personal computers, servers, network equipment, related parts and supplies, services, and support and service and solutions related to documents. It also offers production and OEM services for MFPs, laser printers, digital duplicators, wide format printers, facsimile machine, scanners, network equipment, and related parts and supplies. In addition, the company produces and sells cut sheet printers, continuous feed printers, inkjet heads, imaging systems, industrial printers, related parts and supplies, services, and support and software. Further, it produces and sells thermal paper and media products, industrial optical components/modules, and electronic components and precision mechanical components, as well as offers digital cameras, 360°cameras, and environment and healthcare products. The company was formerly known as Riken Optical Co., Ltd. and changed its name to Ricoh Company, Ltd. in 1963. Ricoh Company, Ltd. was incorporated in 1936 and is headquartered in Tokyo, Japan.",81017,"{'maxAge': 1, 'name': 'Mr. Carsten  Bruhn', 'title': 'Corp. Officer & Pres and CEO of Ricoh USA, Inc.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,1,1,2,1693526400,86400,2,8.25,8.4,8.4,8.4,8.25,8.4,8.4,8.4,0.24,0.028900001,1695859200,0.3755,2.44,14.736841,1,1,58,19,19,8.3,8.5,262500,256600,5166629888,6.65,8.4,0.002338434,7.72,7.3045,34.0,4.121212,EUR,254365335552,0.0,609075008,0.03766,0.46025002,1617.701,0.0051925536,1680220800,1711843200,1688083200,0.159,55571001344,0.57,0.115,1.543,FRA,EQUITY,RIC1.F,RIC1.F,RICOH CO. LTD,"Ricoh Company, Ltd.",946882800,Europe/Berlin,CEST,7200000,8.4,none,192702005248,316.378,164837998592,416143015936,0.757,1.375,2209440071680,41.156,3617.255,745422000000,-129911250944,81338998784,0.205,0.164,0.0,0.0,0.029070001,JPY,
9,"3-6, Nakamagome 1-chome",Ohta-ku,Tokyo,143-8555,Japan,81 3 3777 8111,https://www.ricoh.com,Business Equipment & Supplies,Industrials,"Ricoh Company, Ltd. provides office, commercial printing, and related solutions worldwide. It operates through Digital services, Digital Products, Graphic Communications, Industrial Solutions, and Other segments. The company sells multifunctional printers (MFPs), laser printers, digital duplicators, wide format printers, facsimile machines, scanners, personal computers, servers, network equipment, related parts and supplies, services, and support and service and solutions related to documents. It also offers production and OEM services for MFPs, laser printers, digital duplicators, wide format printers, facsimile machine, scanners, network equipment, and related parts and supplies. In addition, the company produces and sells cut sheet printers, continuous feed printers, inkjet heads, imaging systems, industrial printers, related parts and supplies, services, and support and software. Further, it produces and sells thermal paper and media products, industrial optical components/modules, and electronic components and precision mechanical components, as well as offers digital cameras, 360°cameras, and environment and healthcare products. The company was formerly known as Riken Optical Co., Ltd. and changed its name to Ricoh Company, Ltd. in 1963. Ricoh Company, Ltd. was incorporated in 1936 and is headquartered in Tokyo, Japan.",81017,"{'maxAge': 1, 'name': 'Takahiro  Irisa', 'title': 'Sr. Corp. Officer & Pres of Ricoh Futures BU', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,1,1,2,1693526400,86400,2,8.25,8.4,8.4,8.4,8.25,8.4,8.4,8.4,0.24,0.028900001,1695859200,0.3755,2.44,14.736841,1,1,58,19,19,8.3,8.5,262500,256600,5166629888,6.65,8.4,0.002338434,7.72,7.3045,34.0,4.121212,EUR,254365335552,0.0,609075008,0.03766,0.46025002,1617.701,0.0051925536,1680220800,1711843200,1688083200,0.159,55571001344,0.57,0.115,1.543,FRA,EQUITY,RIC1.F,RIC1.F,RICOH CO. LTD,"Ricoh Company, Ltd.",946882800,Europe/Berlin,CEST,7200000,8.4,none,192702005248,316.378,164837998592,416143015936,0.757,1.375,2209440071680,41.156,3617.255,745422000000,-129911250944,81338998784,0.205,0.164,0.0,0.0,0.029070001,JPY,
