,address1,city,state,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,400 COte-Vertu Road West,Dorval,QC,H4S 1Y9,Canada,https://www.bombardier.com,Aerospace & Defense,Industrials,"Bombardier Inc. engages in the manufacture and sale of business aircraft and aircraft structural components in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is based in Dorval, Canada.",15200,"{'maxAge': 1, 'name': 'Mr. Éric  Martel', 'age': 53, 'title': 'Pres, CEO & Director', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 3760200, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,6,10,9,1693526400,1672444800,86400,2,50.64,50.64,48.935,50.695,50.64,50.64,48.935,50.695,1418169600,0.0,2.927038,6.6243243,8.252525,648387,648387,445702,434616,434616,48.99,49.03,0,0,4684743168,24.39,74.43,0.6472428,56.7246,60.0292,0.0,0.0,CAD,10167755776,0.07391,84190080,83198496,1885576,1379883,1690761600,1693440000,0.0197,0.014529999,0.1716,3.52,-29.692,1672444800,1703980800,1688083200,549000000,7.4,5.94,0.04,2:1,962755200,1.405,13.834,TOR,EQUITY,BBD-B.TO,BBD-B.TO,"BOMBARDIER INC., CL. B, SV",Bombardier Inc.,789921000,America/Toronto,EDT,-14400000,49.02,103.77,51.88,80.74,83.81,2.4,buy,13,883000000,9.241,735000000,6019999744,0.204,0.952,7238000128,76.583,0.03168,1257000000,363000000,137000000,0.076,0.19549,0.10155,0.08704001,USD,
1,400 COte-Vertu Road West,Dorval,QC,H4S 1Y9,Canada,https://www.bombardier.com,Aerospace & Defense,Industrials,"Bombardier Inc. engages in the manufacture and sale of business aircraft and aircraft structural components in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is based in Dorval, Canada.",15200,"{'maxAge': 1, 'name': 'Mr. Bart W. Demosky', 'title': 'Exec. VP & CFO', 'fiscalYear': 2022, 'totalPay': 1371800, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,6,10,9,1693526400,1672444800,86400,2,50.64,50.64,48.935,50.695,50.64,50.64,48.935,50.695,1418169600,0.0,2.927038,6.6243243,8.252525,648387,648387,445702,434616,434616,48.99,49.03,0,0,4684743168,24.39,74.43,0.6472428,56.7246,60.0292,0.0,0.0,CAD,10167755776,0.07391,84190080,83198496,1885576,1379883,1690761600,1693440000,0.0197,0.014529999,0.1716,3.52,-29.692,1672444800,1703980800,1688083200,549000000,7.4,5.94,0.04,2:1,962755200,1.405,13.834,TOR,EQUITY,BBD-B.TO,BBD-B.TO,"BOMBARDIER INC., CL. B, SV",Bombardier Inc.,789921000,America/Toronto,EDT,-14400000,49.02,103.77,51.88,80.74,83.81,2.4,buy,13,883000000,9.241,735000000,6019999744,0.204,0.952,7238000128,76.583,0.03168,1257000000,363000000,137000000,0.076,0.19549,0.10155,0.08704001,USD,
2,400 COte-Vertu Road West,Dorval,QC,H4S 1Y9,Canada,https://www.bombardier.com,Aerospace & Defense,Industrials,"Bombardier Inc. engages in the manufacture and sale of business aircraft and aircraft structural components in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is based in Dorval, Canada.",15200,"{'maxAge': 1, 'name': 'Mr. Daniel Patrick Brennan', 'age': 66, 'title': 'Sr. VP of People & Sustainability', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 1392400, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,6,10,9,1693526400,1672444800,86400,2,50.64,50.64,48.935,50.695,50.64,50.64,48.935,50.695,1418169600,0.0,2.927038,6.6243243,8.252525,648387,648387,445702,434616,434616,48.99,49.03,0,0,4684743168,24.39,74.43,0.6472428,56.7246,60.0292,0.0,0.0,CAD,10167755776,0.07391,84190080,83198496,1885576,1379883,1690761600,1693440000,0.0197,0.014529999,0.1716,3.52,-29.692,1672444800,1703980800,1688083200,549000000,7.4,5.94,0.04,2:1,962755200,1.405,13.834,TOR,EQUITY,BBD-B.TO,BBD-B.TO,"BOMBARDIER INC., CL. B, SV",Bombardier Inc.,789921000,America/Toronto,EDT,-14400000,49.02,103.77,51.88,80.74,83.81,2.4,buy,13,883000000,9.241,735000000,6019999744,0.204,0.952,7238000128,76.583,0.03168,1257000000,363000000,137000000,0.076,0.19549,0.10155,0.08704001,USD,
3,400 COte-Vertu Road West,Dorval,QC,H4S 1Y9,Canada,https://www.bombardier.com,Aerospace & Defense,Industrials,"Bombardier Inc. engages in the manufacture and sale of business aircraft and aircraft structural components in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is based in Dorval, Canada.",15200,"{'maxAge': 1, 'name': 'Mr. Paul  Sislian', 'title': 'Exec. VP of Bombardier Aftermarket Services & Strategy', 'fiscalYear': 2022, 'totalPay': 1271300, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,6,10,9,1693526400,1672444800,86400,2,50.64,50.64,48.935,50.695,50.64,50.64,48.935,50.695,1418169600,0.0,2.927038,6.6243243,8.252525,648387,648387,445702,434616,434616,48.99,49.03,0,0,4684743168,24.39,74.43,0.6472428,56.7246,60.0292,0.0,0.0,CAD,10167755776,0.07391,84190080,83198496,1885576,1379883,1690761600,1693440000,0.0197,0.014529999,0.1716,3.52,-29.692,1672444800,1703980800,1688083200,549000000,7.4,5.94,0.04,2:1,962755200,1.405,13.834,TOR,EQUITY,BBD-B.TO,BBD-B.TO,"BOMBARDIER INC., CL. B, SV",Bombardier Inc.,789921000,America/Toronto,EDT,-14400000,49.02,103.77,51.88,80.74,83.81,2.4,buy,13,883000000,9.241,735000000,6019999744,0.204,0.952,7238000128,76.583,0.03168,1257000000,363000000,137000000,0.076,0.19549,0.10155,0.08704001,USD,
4,400 COte-Vertu Road West,Dorval,QC,H4S 1Y9,Canada,https://www.bombardier.com,Aerospace & Defense,Industrials,"Bombardier Inc. engages in the manufacture and sale of business aircraft and aircraft structural components in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is based in Dorval, Canada.",15200,"{'maxAge': 1, 'name': 'Mr. Francis Richer de La Fleche', 'title': 'VP of Financial Planning & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,6,10,9,1693526400,1672444800,86400,2,50.64,50.64,48.935,50.695,50.64,50.64,48.935,50.695,1418169600,0.0,2.927038,6.6243243,8.252525,648387,648387,445702,434616,434616,48.99,49.03,0,0,4684743168,24.39,74.43,0.6472428,56.7246,60.0292,0.0,0.0,CAD,10167755776,0.07391,84190080,83198496,1885576,1379883,1690761600,1693440000,0.0197,0.014529999,0.1716,3.52,-29.692,1672444800,1703980800,1688083200,549000000,7.4,5.94,0.04,2:1,962755200,1.405,13.834,TOR,EQUITY,BBD-B.TO,BBD-B.TO,"BOMBARDIER INC., CL. B, SV",Bombardier Inc.,789921000,America/Toronto,EDT,-14400000,49.02,103.77,51.88,80.74,83.81,2.4,buy,13,883000000,9.241,735000000,6019999744,0.204,0.952,7238000128,76.583,0.03168,1257000000,363000000,137000000,0.076,0.19549,0.10155,0.08704001,USD,
5,400 COte-Vertu Road West,Dorval,QC,H4S 1Y9,Canada,https://www.bombardier.com,Aerospace & Defense,Industrials,"Bombardier Inc. engages in the manufacture and sale of business aircraft and aircraft structural components in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is based in Dorval, Canada.",15200,"{'maxAge': 1, 'name': 'Mr. Martin  LeBlanc', 'title': 'VP, Chief Ethics & Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,6,10,9,1693526400,1672444800,86400,2,50.64,50.64,48.935,50.695,50.64,50.64,48.935,50.695,1418169600,0.0,2.927038,6.6243243,8.252525,648387,648387,445702,434616,434616,48.99,49.03,0,0,4684743168,24.39,74.43,0.6472428,56.7246,60.0292,0.0,0.0,CAD,10167755776,0.07391,84190080,83198496,1885576,1379883,1690761600,1693440000,0.0197,0.014529999,0.1716,3.52,-29.692,1672444800,1703980800,1688083200,549000000,7.4,5.94,0.04,2:1,962755200,1.405,13.834,TOR,EQUITY,BBD-B.TO,BBD-B.TO,"BOMBARDIER INC., CL. B, SV",Bombardier Inc.,789921000,America/Toronto,EDT,-14400000,49.02,103.77,51.88,80.74,83.81,2.4,buy,13,883000000,9.241,735000000,6019999744,0.204,0.952,7238000128,76.583,0.03168,1257000000,363000000,137000000,0.076,0.19549,0.10155,0.08704001,USD,
6,400 COte-Vertu Road West,Dorval,QC,H4S 1Y9,Canada,https://www.bombardier.com,Aerospace & Defense,Industrials,"Bombardier Inc. engages in the manufacture and sale of business aircraft and aircraft structural components in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is based in Dorval, Canada.",15200,"{'maxAge': 1, 'name': 'Mr. Pierre  Gagnon', 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,6,10,9,1693526400,1672444800,86400,2,50.64,50.64,48.935,50.695,50.64,50.64,48.935,50.695,1418169600,0.0,2.927038,6.6243243,8.252525,648387,648387,445702,434616,434616,48.99,49.03,0,0,4684743168,24.39,74.43,0.6472428,56.7246,60.0292,0.0,0.0,CAD,10167755776,0.07391,84190080,83198496,1885576,1379883,1690761600,1693440000,0.0197,0.014529999,0.1716,3.52,-29.692,1672444800,1703980800,1688083200,549000000,7.4,5.94,0.04,2:1,962755200,1.405,13.834,TOR,EQUITY,BBD-B.TO,BBD-B.TO,"BOMBARDIER INC., CL. B, SV",Bombardier Inc.,789921000,America/Toronto,EDT,-14400000,49.02,103.77,51.88,80.74,83.81,2.4,buy,13,883000000,9.241,735000000,6019999744,0.204,0.952,7238000128,76.583,0.03168,1257000000,363000000,137000000,0.076,0.19549,0.10155,0.08704001,USD,
7,400 COte-Vertu Road West,Dorval,QC,H4S 1Y9,Canada,https://www.bombardier.com,Aerospace & Defense,Industrials,"Bombardier Inc. engages in the manufacture and sale of business aircraft and aircraft structural components in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is based in Dorval, Canada.",15200,"{'maxAge': 1, 'name': 'Ms. Eve  Laurier', 'title': 'VP of Communications, Public Affairs & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,6,10,9,1693526400,1672444800,86400,2,50.64,50.64,48.935,50.695,50.64,50.64,48.935,50.695,1418169600,0.0,2.927038,6.6243243,8.252525,648387,648387,445702,434616,434616,48.99,49.03,0,0,4684743168,24.39,74.43,0.6472428,56.7246,60.0292,0.0,0.0,CAD,10167755776,0.07391,84190080,83198496,1885576,1379883,1690761600,1693440000,0.0197,0.014529999,0.1716,3.52,-29.692,1672444800,1703980800,1688083200,549000000,7.4,5.94,0.04,2:1,962755200,1.405,13.834,TOR,EQUITY,BBD-B.TO,BBD-B.TO,"BOMBARDIER INC., CL. B, SV",Bombardier Inc.,789921000,America/Toronto,EDT,-14400000,49.02,103.77,51.88,80.74,83.81,2.4,buy,13,883000000,9.241,735000000,6019999744,0.204,0.952,7238000128,76.583,0.03168,1257000000,363000000,137000000,0.076,0.19549,0.10155,0.08704001,USD,
8,400 COte-Vertu Road West,Dorval,QC,H4S 1Y9,Canada,https://www.bombardier.com,Aerospace & Defense,Industrials,"Bombardier Inc. engages in the manufacture and sale of business aircraft and aircraft structural components in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is based in Dorval, Canada.",15200,"{'maxAge': 1, 'name': 'Ms. Brigitte  Lariviere', 'title': 'Head of Value Chain & Functional Experience', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,6,10,9,1693526400,1672444800,86400,2,50.64,50.64,48.935,50.695,50.64,50.64,48.935,50.695,1418169600,0.0,2.927038,6.6243243,8.252525,648387,648387,445702,434616,434616,48.99,49.03,0,0,4684743168,24.39,74.43,0.6472428,56.7246,60.0292,0.0,0.0,CAD,10167755776,0.07391,84190080,83198496,1885576,1379883,1690761600,1693440000,0.0197,0.014529999,0.1716,3.52,-29.692,1672444800,1703980800,1688083200,549000000,7.4,5.94,0.04,2:1,962755200,1.405,13.834,TOR,EQUITY,BBD-B.TO,BBD-B.TO,"BOMBARDIER INC., CL. B, SV",Bombardier Inc.,789921000,America/Toronto,EDT,-14400000,49.02,103.77,51.88,80.74,83.81,2.4,buy,13,883000000,9.241,735000000,6019999744,0.204,0.952,7238000128,76.583,0.03168,1257000000,363000000,137000000,0.076,0.19549,0.10155,0.08704001,USD,
9,400 COte-Vertu Road West,Dorval,QC,H4S 1Y9,Canada,https://www.bombardier.com,Aerospace & Defense,Industrials,"Bombardier Inc. engages in the manufacture and sale of business aircraft and aircraft structural components in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is based in Dorval, Canada.",15200,"{'maxAge': 1, 'name': 'Mr. Jean-Christophe  Gallagher', 'title': 'Exec. VP of Aircraft Sales & Bombardier Defense', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,6,10,9,1693526400,1672444800,86400,2,50.64,50.64,48.935,50.695,50.64,50.64,48.935,50.695,1418169600,0.0,2.927038,6.6243243,8.252525,648387,648387,445702,434616,434616,48.99,49.03,0,0,4684743168,24.39,74.43,0.6472428,56.7246,60.0292,0.0,0.0,CAD,10167755776,0.07391,84190080,83198496,1885576,1379883,1690761600,1693440000,0.0197,0.014529999,0.1716,3.52,-29.692,1672444800,1703980800,1688083200,549000000,7.4,5.94,0.04,2:1,962755200,1.405,13.834,TOR,EQUITY,BBD-B.TO,BBD-B.TO,"BOMBARDIER INC., CL. B, SV",Bombardier Inc.,789921000,America/Toronto,EDT,-14400000,49.02,103.77,51.88,80.74,83.81,2.4,buy,13,883000000,9.241,735000000,6019999744,0.204,0.952,7238000128,76.583,0.03168,1257000000,363000000,137000000,0.076,0.19549,0.10155,0.08704001,USD,
