,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,233 South Wacker Drive,Chicago,IL,60606,United States,872 825 4000,https://www.united.com,Airlines,Industrials,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also offers catering, ground handling, training, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. was incorporated in 1968 and is headquartered in Chicago, Illinois.",99800,"{'maxAge': 1, 'name': 'Mr. J. Scott Kirby', 'age': 55, 'title': 'CEO & Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1129978, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,10,10,1693526400,1672444800,86400,2,775.01,777.0,775.02,777.0,775.01,777.0,775.02,777.0,1199664000,0.0,1.41632,5.592865,26,26,1445,1668,1668,775.01,810.0,100,100,256488374272,645.0,995.0,5.0406485,879.6568,860.8021,0.0,0.0,MXN,270890549248,0.052389998,326287330,327980000,0.00417,0.68565005,23.492,33.032948,1672444800,1703980800,1688083200,2.267,2665999872,138.75,5.324,35.094,MEX,EQUITY,UAL.MX,UAL.MX,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc.",1200490200,America/Mexico_City,CDT,-18000000,776.01,none,19138000896,58.351,7719000064,35840999424,0.827,0.911,50884001792,465.165,155.466,0.046329997,0.45694,13186000000,323624992,8839999488,2.24,0.171,0.33521,0.1517,0.10469,USD,0.0957
1,233 South Wacker Drive,Chicago,IL,60606,United States,872 825 4000,https://www.united.com,Airlines,Industrials,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also offers catering, ground handling, training, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. was incorporated in 1968 and is headquartered in Chicago, Illinois.",99800,"{'maxAge': 1, 'name': 'Mr. Brett J. Hart', 'age': 52, 'title': 'Pres', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 875912, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,10,10,1693526400,1672444800,86400,2,775.01,777.0,775.02,777.0,775.01,777.0,775.02,777.0,1199664000,0.0,1.41632,5.592865,26,26,1445,1668,1668,775.01,810.0,100,100,256488374272,645.0,995.0,5.0406485,879.6568,860.8021,0.0,0.0,MXN,270890549248,0.052389998,326287330,327980000,0.00417,0.68565005,23.492,33.032948,1672444800,1703980800,1688083200,2.267,2665999872,138.75,5.324,35.094,MEX,EQUITY,UAL.MX,UAL.MX,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc.",1200490200,America/Mexico_City,CDT,-18000000,776.01,none,19138000896,58.351,7719000064,35840999424,0.827,0.911,50884001792,465.165,155.466,0.046329997,0.45694,13186000000,323624992,8839999488,2.24,0.171,0.33521,0.1517,0.10469,USD,0.0957
2,233 South Wacker Drive,Chicago,IL,60606,United States,872 825 4000,https://www.united.com,Airlines,Industrials,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also offers catering, ground handling, training, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. was incorporated in 1968 and is headquartered in Chicago, Illinois.",99800,"{'maxAge': 1, 'name': 'Mr. Gerald  Laderman', 'age': 64, 'title': 'Exec. VP & CFO', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 840939, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,10,10,1693526400,1672444800,86400,2,775.01,777.0,775.02,777.0,775.01,777.0,775.02,777.0,1199664000,0.0,1.41632,5.592865,26,26,1445,1668,1668,775.01,810.0,100,100,256488374272,645.0,995.0,5.0406485,879.6568,860.8021,0.0,0.0,MXN,270890549248,0.052389998,326287330,327980000,0.00417,0.68565005,23.492,33.032948,1672444800,1703980800,1688083200,2.267,2665999872,138.75,5.324,35.094,MEX,EQUITY,UAL.MX,UAL.MX,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc.",1200490200,America/Mexico_City,CDT,-18000000,776.01,none,19138000896,58.351,7719000064,35840999424,0.827,0.911,50884001792,465.165,155.466,0.046329997,0.45694,13186000000,323624992,8839999488,2.24,0.171,0.33521,0.1517,0.10469,USD,0.0957
3,233 South Wacker Drive,Chicago,IL,60606,United States,872 825 4000,https://www.united.com,Airlines,Industrials,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also offers catering, ground handling, training, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. was incorporated in 1968 and is headquartered in Chicago, Illinois.",99800,"{'maxAge': 1, 'name': 'Mr. Gregory L. Hart', 'age': 56, 'title': 'Exec. VP & Chief Growth Officer', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 974014, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,10,10,1693526400,1672444800,86400,2,775.01,777.0,775.02,777.0,775.01,777.0,775.02,777.0,1199664000,0.0,1.41632,5.592865,26,26,1445,1668,1668,775.01,810.0,100,100,256488374272,645.0,995.0,5.0406485,879.6568,860.8021,0.0,0.0,MXN,270890549248,0.052389998,326287330,327980000,0.00417,0.68565005,23.492,33.032948,1672444800,1703980800,1688083200,2.267,2665999872,138.75,5.324,35.094,MEX,EQUITY,UAL.MX,UAL.MX,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc.",1200490200,America/Mexico_City,CDT,-18000000,776.01,none,19138000896,58.351,7719000064,35840999424,0.827,0.911,50884001792,465.165,155.466,0.046329997,0.45694,13186000000,323624992,8839999488,2.24,0.171,0.33521,0.1517,0.10469,USD,0.0957
4,233 South Wacker Drive,Chicago,IL,60606,United States,872 825 4000,https://www.united.com,Airlines,Industrials,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also offers catering, ground handling, training, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. was incorporated in 1968 and is headquartered in Chicago, Illinois.",99800,"{'maxAge': 1, 'name': 'Ms. Linda P. Jojo', 'age': 57, 'title': 'Exec. VP & Chief Customer Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 787606, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,10,10,1693526400,1672444800,86400,2,775.01,777.0,775.02,777.0,775.01,777.0,775.02,777.0,1199664000,0.0,1.41632,5.592865,26,26,1445,1668,1668,775.01,810.0,100,100,256488374272,645.0,995.0,5.0406485,879.6568,860.8021,0.0,0.0,MXN,270890549248,0.052389998,326287330,327980000,0.00417,0.68565005,23.492,33.032948,1672444800,1703980800,1688083200,2.267,2665999872,138.75,5.324,35.094,MEX,EQUITY,UAL.MX,UAL.MX,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc.",1200490200,America/Mexico_City,CDT,-18000000,776.01,none,19138000896,58.351,7719000064,35840999424,0.827,0.911,50884001792,465.165,155.466,0.046329997,0.45694,13186000000,323624992,8839999488,2.24,0.171,0.33521,0.1517,0.10469,USD,0.0957
5,233 South Wacker Drive,Chicago,IL,60606,United States,872 825 4000,https://www.united.com,Airlines,Industrials,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also offers catering, ground handling, training, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. was incorporated in 1968 and is headquartered in Chicago, Illinois.",99800,"{'maxAge': 1, 'name': 'Mr. Torbjorn J. Enqvist', 'age': 50, 'title': 'Exec. VP & COO', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,10,10,1693526400,1672444800,86400,2,775.01,777.0,775.02,777.0,775.01,777.0,775.02,777.0,1199664000,0.0,1.41632,5.592865,26,26,1445,1668,1668,775.01,810.0,100,100,256488374272,645.0,995.0,5.0406485,879.6568,860.8021,0.0,0.0,MXN,270890549248,0.052389998,326287330,327980000,0.00417,0.68565005,23.492,33.032948,1672444800,1703980800,1688083200,2.267,2665999872,138.75,5.324,35.094,MEX,EQUITY,UAL.MX,UAL.MX,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc.",1200490200,America/Mexico_City,CDT,-18000000,776.01,none,19138000896,58.351,7719000064,35840999424,0.827,0.911,50884001792,465.165,155.466,0.046329997,0.45694,13186000000,323624992,8839999488,2.24,0.171,0.33521,0.1517,0.10469,USD,0.0957
6,233 South Wacker Drive,Chicago,IL,60606,United States,872 825 4000,https://www.united.com,Airlines,Industrials,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also offers catering, ground handling, training, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. was incorporated in 1968 and is headquartered in Chicago, Illinois.",99800,"{'maxAge': 1, 'name': 'Mr. Jason  Birnbaum', 'age': 50, 'title': 'Chief Information Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,10,10,1693526400,1672444800,86400,2,775.01,777.0,775.02,777.0,775.01,777.0,775.02,777.0,1199664000,0.0,1.41632,5.592865,26,26,1445,1668,1668,775.01,810.0,100,100,256488374272,645.0,995.0,5.0406485,879.6568,860.8021,0.0,0.0,MXN,270890549248,0.052389998,326287330,327980000,0.00417,0.68565005,23.492,33.032948,1672444800,1703980800,1688083200,2.267,2665999872,138.75,5.324,35.094,MEX,EQUITY,UAL.MX,UAL.MX,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc.",1200490200,America/Mexico_City,CDT,-18000000,776.01,none,19138000896,58.351,7719000064,35840999424,0.827,0.911,50884001792,465.165,155.466,0.046329997,0.45694,13186000000,323624992,8839999488,2.24,0.171,0.33521,0.1517,0.10469,USD,0.0957
7,233 South Wacker Drive,Chicago,IL,60606,United States,872 825 4000,https://www.united.com,Airlines,Industrials,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also offers catering, ground handling, training, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. was incorporated in 1968 and is headquartered in Chicago, Illinois.",99800,"{'maxAge': 1, 'name': 'Kristina  Munoz', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,10,10,1693526400,1672444800,86400,2,775.01,777.0,775.02,777.0,775.01,777.0,775.02,777.0,1199664000,0.0,1.41632,5.592865,26,26,1445,1668,1668,775.01,810.0,100,100,256488374272,645.0,995.0,5.0406485,879.6568,860.8021,0.0,0.0,MXN,270890549248,0.052389998,326287330,327980000,0.00417,0.68565005,23.492,33.032948,1672444800,1703980800,1688083200,2.267,2665999872,138.75,5.324,35.094,MEX,EQUITY,UAL.MX,UAL.MX,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc.",1200490200,America/Mexico_City,CDT,-18000000,776.01,none,19138000896,58.351,7719000064,35840999424,0.827,0.911,50884001792,465.165,155.466,0.046329997,0.45694,13186000000,323624992,8839999488,2.24,0.171,0.33521,0.1517,0.10469,USD,0.0957
8,233 South Wacker Drive,Chicago,IL,60606,United States,872 825 4000,https://www.united.com,Airlines,Industrials,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also offers catering, ground handling, training, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. was incorporated in 1968 and is headquartered in Chicago, Illinois.",99800,"{'maxAge': 1, 'name': 'Mr. Josh  Earnest', 'title': 'Sr. VP & Chief Communications Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,10,10,1693526400,1672444800,86400,2,775.01,777.0,775.02,777.0,775.01,777.0,775.02,777.0,1199664000,0.0,1.41632,5.592865,26,26,1445,1668,1668,775.01,810.0,100,100,256488374272,645.0,995.0,5.0406485,879.6568,860.8021,0.0,0.0,MXN,270890549248,0.052389998,326287330,327980000,0.00417,0.68565005,23.492,33.032948,1672444800,1703980800,1688083200,2.267,2665999872,138.75,5.324,35.094,MEX,EQUITY,UAL.MX,UAL.MX,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc.",1200490200,America/Mexico_City,CDT,-18000000,776.01,none,19138000896,58.351,7719000064,35840999424,0.827,0.911,50884001792,465.165,155.466,0.046329997,0.45694,13186000000,323624992,8839999488,2.24,0.171,0.33521,0.1517,0.10469,USD,0.0957
9,233 South Wacker Drive,Chicago,IL,60606,United States,872 825 4000,https://www.united.com,Airlines,Industrials,"United Airlines Holdings, Inc., through its subsidiaries, provides air transportation services in North America, Asia, Europe, Africa, the Pacific, the Middle East, and Latin America. The company transports people and cargo through its mainline and regional fleets. It also offers catering, ground handling, training, and maintenance services for third parties. The company was formerly known as United Continental Holdings, Inc. and changed its name to United Airlines Holdings, Inc. in June 2019. United Airlines Holdings, Inc. was incorporated in 1968 and is headquartered in Chicago, Illinois.",99800,"{'maxAge': 1, 'name': 'Ms. Doreen  Burse', 'title': 'Sr. VP of Worldwide Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",8,2,9,10,10,1693526400,1672444800,86400,2,775.01,777.0,775.02,777.0,775.01,777.0,775.02,777.0,1199664000,0.0,1.41632,5.592865,26,26,1445,1668,1668,775.01,810.0,100,100,256488374272,645.0,995.0,5.0406485,879.6568,860.8021,0.0,0.0,MXN,270890549248,0.052389998,326287330,327980000,0.00417,0.68565005,23.492,33.032948,1672444800,1703980800,1688083200,2.267,2665999872,138.75,5.324,35.094,MEX,EQUITY,UAL.MX,UAL.MX,UNITED AIRLINES HOLDINGS INC,"United Airlines Holdings, Inc.",1200490200,America/Mexico_City,CDT,-18000000,776.01,none,19138000896,58.351,7719000064,35840999424,0.827,0.911,50884001792,465.165,155.466,0.046329997,0.45694,13186000000,323624992,8839999488,2.24,0.171,0.33521,0.1517,0.10469,USD,0.0957
