,address1,address2,city,state,zip,country,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"200, Fifth Avenue Place",425 - 1st Street S.W.,Calgary,AB,T2P 3L8,Canada,403 231 3920,https://www.enbridge.com,Oil & Gas Midstream,Energy,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution and Storage, Renewable Power Generation, and Energy Services. The Liquids Pipelines segment operates pipelines and related terminals to transport various grades of crude oil and other liquid hydrocarbons in Canada and the United States. The Gas Transmission and Midstream segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States. The Gas Distribution and Storage segment is involved in the natural gas utility operations serving residential, commercial, and industrial customers in Ontario, as well as natural gas distribution activities in Quebec. The Renewable Power Generation segment operates power generating assets, such as wind, solar, geothermal, waste heat recovery, and transmission assets in North America. The Energy Services segment provides physical commodity marketing and logistical services to refiners, producers, and other customers in Canada and the United States. The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998. Enbridge Inc. was founded in 1949 and is headquartered in Calgary, Canada.",11100,"{'maxAge': 1, 'name': 'Mr. Gregory Lorne Ebel', 'age': 58, 'title': 'Pres, CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 370995, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,7,7,5,1693526400,1672444800,86400,2,15.19,15.15,15.14,15.26,15.19,15.15,15.14,15.26,1.35,0.0896,1691971200,6.4,0.896041,5.2585907,3323,3323,12553,12703,12703,15.12,15.2,0,0,15.01,19.1,16.2102,17.438126,3.495,0.23008558,CAD,119144210432,0.08696,2020395173,135031,226329,1690761600,1693440000,0.0,0.3161,7.99,26.594,0.56967735,1672444800,1703980800,1688083200,2.252,3792999936,2.881,2.508,8.556,TOR,EQUITY,ENB-PD.TO,ENB-PD.TO,ENBRIDGE INC PREF SER D,Enbridge Inc.,1326205800,America/Toronto,EDT,-14400000,15.15,none,1292999936,0.639,13925999616,79474999296,0.37,0.639,47503998976,124.106,23.465,0.03405,0.06441,20720000000,2896499968,13061999616,3.136,-0.211,0.46632,0.29315,0.19883,CAD,
1,"200, Fifth Avenue Place",425 - 1st Street S.W.,Calgary,AB,T2P 3L8,Canada,403 231 3920,https://www.enbridge.com,Oil & Gas Midstream,Energy,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution and Storage, Renewable Power Generation, and Energy Services. The Liquids Pipelines segment operates pipelines and related terminals to transport various grades of crude oil and other liquid hydrocarbons in Canada and the United States. The Gas Transmission and Midstream segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States. The Gas Distribution and Storage segment is involved in the natural gas utility operations serving residential, commercial, and industrial customers in Ontario, as well as natural gas distribution activities in Quebec. The Renewable Power Generation segment operates power generating assets, such as wind, solar, geothermal, waste heat recovery, and transmission assets in North America. The Energy Services segment provides physical commodity marketing and logistical services to refiners, producers, and other customers in Canada and the United States. The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998. Enbridge Inc. was founded in 1949 and is headquartered in Calgary, Canada.",11100,"{'maxAge': 1, 'name': 'Mr. Robert R. Rooney LLB, Q.C., QC', 'age': 65, 'title': 'Exec. VP & Chief Legal Officer', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 1367214, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,7,7,5,1693526400,1672444800,86400,2,15.19,15.15,15.14,15.26,15.19,15.15,15.14,15.26,1.35,0.0896,1691971200,6.4,0.896041,5.2585907,3323,3323,12553,12703,12703,15.12,15.2,0,0,15.01,19.1,16.2102,17.438126,3.495,0.23008558,CAD,119144210432,0.08696,2020395173,135031,226329,1690761600,1693440000,0.0,0.3161,7.99,26.594,0.56967735,1672444800,1703980800,1688083200,2.252,3792999936,2.881,2.508,8.556,TOR,EQUITY,ENB-PD.TO,ENB-PD.TO,ENBRIDGE INC PREF SER D,Enbridge Inc.,1326205800,America/Toronto,EDT,-14400000,15.15,none,1292999936,0.639,13925999616,79474999296,0.37,0.639,47503998976,124.106,23.465,0.03405,0.06441,20720000000,2896499968,13061999616,3.136,-0.211,0.46632,0.29315,0.19883,CAD,
2,"200, Fifth Avenue Place",425 - 1st Street S.W.,Calgary,AB,T2P 3L8,Canada,403 231 3920,https://www.enbridge.com,Oil & Gas Midstream,Energy,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution and Storage, Renewable Power Generation, and Energy Services. The Liquids Pipelines segment operates pipelines and related terminals to transport various grades of crude oil and other liquid hydrocarbons in Canada and the United States. The Gas Transmission and Midstream segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States. The Gas Distribution and Storage segment is involved in the natural gas utility operations serving residential, commercial, and industrial customers in Ontario, as well as natural gas distribution activities in Quebec. The Renewable Power Generation segment operates power generating assets, such as wind, solar, geothermal, waste heat recovery, and transmission assets in North America. The Energy Services segment provides physical commodity marketing and logistical services to refiners, producers, and other customers in Canada and the United States. The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998. Enbridge Inc. was founded in 1949 and is headquartered in Calgary, Canada.",11100,"{'maxAge': 1, 'name': 'Mr. Colin Kenneth Gruending', 'age': 52, 'title': 'Exec. VP & Pres of Liquids Pipelines', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1698424, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,7,7,5,1693526400,1672444800,86400,2,15.19,15.15,15.14,15.26,15.19,15.15,15.14,15.26,1.35,0.0896,1691971200,6.4,0.896041,5.2585907,3323,3323,12553,12703,12703,15.12,15.2,0,0,15.01,19.1,16.2102,17.438126,3.495,0.23008558,CAD,119144210432,0.08696,2020395173,135031,226329,1690761600,1693440000,0.0,0.3161,7.99,26.594,0.56967735,1672444800,1703980800,1688083200,2.252,3792999936,2.881,2.508,8.556,TOR,EQUITY,ENB-PD.TO,ENB-PD.TO,ENBRIDGE INC PREF SER D,Enbridge Inc.,1326205800,America/Toronto,EDT,-14400000,15.15,none,1292999936,0.639,13925999616,79474999296,0.37,0.639,47503998976,124.106,23.465,0.03405,0.06441,20720000000,2896499968,13061999616,3.136,-0.211,0.46632,0.29315,0.19883,CAD,
3,"200, Fifth Avenue Place",425 - 1st Street S.W.,Calgary,AB,T2P 3L8,Canada,403 231 3920,https://www.enbridge.com,Oil & Gas Midstream,Energy,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution and Storage, Renewable Power Generation, and Energy Services. The Liquids Pipelines segment operates pipelines and related terminals to transport various grades of crude oil and other liquid hydrocarbons in Canada and the United States. The Gas Transmission and Midstream segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States. The Gas Distribution and Storage segment is involved in the natural gas utility operations serving residential, commercial, and industrial customers in Ontario, as well as natural gas distribution activities in Quebec. The Renewable Power Generation segment operates power generating assets, such as wind, solar, geothermal, waste heat recovery, and transmission assets in North America. The Energy Services segment provides physical commodity marketing and logistical services to refiners, producers, and other customers in Canada and the United States. The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998. Enbridge Inc. was founded in 1949 and is headquartered in Calgary, Canada.",11100,"{'maxAge': 1, 'name': 'Ms. Cynthia Lynn Hansen', 'age': 57, 'title': 'Exec. VP and Pres of Gas Transmission & Midstream', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1960454, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,7,7,5,1693526400,1672444800,86400,2,15.19,15.15,15.14,15.26,15.19,15.15,15.14,15.26,1.35,0.0896,1691971200,6.4,0.896041,5.2585907,3323,3323,12553,12703,12703,15.12,15.2,0,0,15.01,19.1,16.2102,17.438126,3.495,0.23008558,CAD,119144210432,0.08696,2020395173,135031,226329,1690761600,1693440000,0.0,0.3161,7.99,26.594,0.56967735,1672444800,1703980800,1688083200,2.252,3792999936,2.881,2.508,8.556,TOR,EQUITY,ENB-PD.TO,ENB-PD.TO,ENBRIDGE INC PREF SER D,Enbridge Inc.,1326205800,America/Toronto,EDT,-14400000,15.15,none,1292999936,0.639,13925999616,79474999296,0.37,0.639,47503998976,124.106,23.465,0.03405,0.06441,20720000000,2896499968,13061999616,3.136,-0.211,0.46632,0.29315,0.19883,CAD,
4,"200, Fifth Avenue Place",425 - 1st Street S.W.,Calgary,AB,T2P 3L8,Canada,403 231 3920,https://www.enbridge.com,Oil & Gas Midstream,Energy,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution and Storage, Renewable Power Generation, and Energy Services. The Liquids Pipelines segment operates pipelines and related terminals to transport various grades of crude oil and other liquid hydrocarbons in Canada and the United States. The Gas Transmission and Midstream segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States. The Gas Distribution and Storage segment is involved in the natural gas utility operations serving residential, commercial, and industrial customers in Ontario, as well as natural gas distribution activities in Quebec. The Renewable Power Generation segment operates power generating assets, such as wind, solar, geothermal, waste heat recovery, and transmission assets in North America. The Energy Services segment provides physical commodity marketing and logistical services to refiners, producers, and other customers in Canada and the United States. The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998. Enbridge Inc. was founded in 1949 and is headquartered in Calgary, Canada.",11100,"{'maxAge': 1, 'name': 'Mr. Patrick Robert Murray', 'age': 47, 'title': 'Exec. VP & CFO', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,7,7,5,1693526400,1672444800,86400,2,15.19,15.15,15.14,15.26,15.19,15.15,15.14,15.26,1.35,0.0896,1691971200,6.4,0.896041,5.2585907,3323,3323,12553,12703,12703,15.12,15.2,0,0,15.01,19.1,16.2102,17.438126,3.495,0.23008558,CAD,119144210432,0.08696,2020395173,135031,226329,1690761600,1693440000,0.0,0.3161,7.99,26.594,0.56967735,1672444800,1703980800,1688083200,2.252,3792999936,2.881,2.508,8.556,TOR,EQUITY,ENB-PD.TO,ENB-PD.TO,ENBRIDGE INC PREF SER D,Enbridge Inc.,1326205800,America/Toronto,EDT,-14400000,15.15,none,1292999936,0.639,13925999616,79474999296,0.37,0.639,47503998976,124.106,23.465,0.03405,0.06441,20720000000,2896499968,13061999616,3.136,-0.211,0.46632,0.29315,0.19883,CAD,
5,"200, Fifth Avenue Place",425 - 1st Street S.W.,Calgary,AB,T2P 3L8,Canada,403 231 3920,https://www.enbridge.com,Oil & Gas Midstream,Energy,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution and Storage, Renewable Power Generation, and Energy Services. The Liquids Pipelines segment operates pipelines and related terminals to transport various grades of crude oil and other liquid hydrocarbons in Canada and the United States. The Gas Transmission and Midstream segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States. The Gas Distribution and Storage segment is involved in the natural gas utility operations serving residential, commercial, and industrial customers in Ontario, as well as natural gas distribution activities in Quebec. The Renewable Power Generation segment operates power generating assets, such as wind, solar, geothermal, waste heat recovery, and transmission assets in North America. The Energy Services segment provides physical commodity marketing and logistical services to refiners, producers, and other customers in Canada and the United States. The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998. Enbridge Inc. was founded in 1949 and is headquartered in Calgary, Canada.",11100,"{'maxAge': 1, 'name': 'Mr. David Wayne Bryson', 'age': 55, 'title': 'Sr. VP and COO of Gas Transmission & Midstream', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,7,7,5,1693526400,1672444800,86400,2,15.19,15.15,15.14,15.26,15.19,15.15,15.14,15.26,1.35,0.0896,1691971200,6.4,0.896041,5.2585907,3323,3323,12553,12703,12703,15.12,15.2,0,0,15.01,19.1,16.2102,17.438126,3.495,0.23008558,CAD,119144210432,0.08696,2020395173,135031,226329,1690761600,1693440000,0.0,0.3161,7.99,26.594,0.56967735,1672444800,1703980800,1688083200,2.252,3792999936,2.881,2.508,8.556,TOR,EQUITY,ENB-PD.TO,ENB-PD.TO,ENBRIDGE INC PREF SER D,Enbridge Inc.,1326205800,America/Toronto,EDT,-14400000,15.15,none,1292999936,0.639,13925999616,79474999296,0.37,0.639,47503998976,124.106,23.465,0.03405,0.06441,20720000000,2896499968,13061999616,3.136,-0.211,0.46632,0.29315,0.19883,CAD,
6,"200, Fifth Avenue Place",425 - 1st Street S.W.,Calgary,AB,T2P 3L8,Canada,403 231 3920,https://www.enbridge.com,Oil & Gas Midstream,Energy,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution and Storage, Renewable Power Generation, and Energy Services. The Liquids Pipelines segment operates pipelines and related terminals to transport various grades of crude oil and other liquid hydrocarbons in Canada and the United States. The Gas Transmission and Midstream segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States. The Gas Distribution and Storage segment is involved in the natural gas utility operations serving residential, commercial, and industrial customers in Ontario, as well as natural gas distribution activities in Quebec. The Renewable Power Generation segment operates power generating assets, such as wind, solar, geothermal, waste heat recovery, and transmission assets in North America. The Energy Services segment provides physical commodity marketing and logistical services to refiners, producers, and other customers in Canada and the United States. The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998. Enbridge Inc. was founded in 1949 and is headquartered in Calgary, Canada.",11100,"{'maxAge': 1, 'name': 'Ms. Melissa M. LaForge', 'age': 37, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1985, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,7,7,5,1693526400,1672444800,86400,2,15.19,15.15,15.14,15.26,15.19,15.15,15.14,15.26,1.35,0.0896,1691971200,6.4,0.896041,5.2585907,3323,3323,12553,12703,12703,15.12,15.2,0,0,15.01,19.1,16.2102,17.438126,3.495,0.23008558,CAD,119144210432,0.08696,2020395173,135031,226329,1690761600,1693440000,0.0,0.3161,7.99,26.594,0.56967735,1672444800,1703980800,1688083200,2.252,3792999936,2.881,2.508,8.556,TOR,EQUITY,ENB-PD.TO,ENB-PD.TO,ENBRIDGE INC PREF SER D,Enbridge Inc.,1326205800,America/Toronto,EDT,-14400000,15.15,none,1292999936,0.639,13925999616,79474999296,0.37,0.639,47503998976,124.106,23.465,0.03405,0.06441,20720000000,2896499968,13061999616,3.136,-0.211,0.46632,0.29315,0.19883,CAD,
7,"200, Fifth Avenue Place",425 - 1st Street S.W.,Calgary,AB,T2P 3L8,Canada,403 231 3920,https://www.enbridge.com,Oil & Gas Midstream,Energy,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution and Storage, Renewable Power Generation, and Energy Services. The Liquids Pipelines segment operates pipelines and related terminals to transport various grades of crude oil and other liquid hydrocarbons in Canada and the United States. The Gas Transmission and Midstream segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States. The Gas Distribution and Storage segment is involved in the natural gas utility operations serving residential, commercial, and industrial customers in Ontario, as well as natural gas distribution activities in Quebec. The Renewable Power Generation segment operates power generating assets, such as wind, solar, geothermal, waste heat recovery, and transmission assets in North America. The Energy Services segment provides physical commodity marketing and logistical services to refiners, producers, and other customers in Canada and the United States. The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998. Enbridge Inc. was founded in 1949 and is headquartered in Calgary, Canada.",11100,"{'maxAge': 1, 'name': 'Mr. Bhushan N. Ivaturi', 'title': 'Sr. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,7,7,5,1693526400,1672444800,86400,2,15.19,15.15,15.14,15.26,15.19,15.15,15.14,15.26,1.35,0.0896,1691971200,6.4,0.896041,5.2585907,3323,3323,12553,12703,12703,15.12,15.2,0,0,15.01,19.1,16.2102,17.438126,3.495,0.23008558,CAD,119144210432,0.08696,2020395173,135031,226329,1690761600,1693440000,0.0,0.3161,7.99,26.594,0.56967735,1672444800,1703980800,1688083200,2.252,3792999936,2.881,2.508,8.556,TOR,EQUITY,ENB-PD.TO,ENB-PD.TO,ENBRIDGE INC PREF SER D,Enbridge Inc.,1326205800,America/Toronto,EDT,-14400000,15.15,none,1292999936,0.639,13925999616,79474999296,0.37,0.639,47503998976,124.106,23.465,0.03405,0.06441,20720000000,2896499968,13061999616,3.136,-0.211,0.46632,0.29315,0.19883,CAD,
8,"200, Fifth Avenue Place",425 - 1st Street S.W.,Calgary,AB,T2P 3L8,Canada,403 231 3920,https://www.enbridge.com,Oil & Gas Midstream,Energy,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution and Storage, Renewable Power Generation, and Energy Services. The Liquids Pipelines segment operates pipelines and related terminals to transport various grades of crude oil and other liquid hydrocarbons in Canada and the United States. The Gas Transmission and Midstream segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States. The Gas Distribution and Storage segment is involved in the natural gas utility operations serving residential, commercial, and industrial customers in Ontario, as well as natural gas distribution activities in Quebec. The Renewable Power Generation segment operates power generating assets, such as wind, solar, geothermal, waste heat recovery, and transmission assets in North America. The Energy Services segment provides physical commodity marketing and logistical services to refiners, producers, and other customers in Canada and the United States. The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998. Enbridge Inc. was founded in 1949 and is headquartered in Calgary, Canada.",11100,"{'maxAge': 1, 'name': 'Mr. Byron C. Neiles', 'age': 56, 'title': 'Exec. VP & Chief Admin. Officer', 'yearBorn': 1966, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,7,7,5,1693526400,1672444800,86400,2,15.19,15.15,15.14,15.26,15.19,15.15,15.14,15.26,1.35,0.0896,1691971200,6.4,0.896041,5.2585907,3323,3323,12553,12703,12703,15.12,15.2,0,0,15.01,19.1,16.2102,17.438126,3.495,0.23008558,CAD,119144210432,0.08696,2020395173,135031,226329,1690761600,1693440000,0.0,0.3161,7.99,26.594,0.56967735,1672444800,1703980800,1688083200,2.252,3792999936,2.881,2.508,8.556,TOR,EQUITY,ENB-PD.TO,ENB-PD.TO,ENBRIDGE INC PREF SER D,Enbridge Inc.,1326205800,America/Toronto,EDT,-14400000,15.15,none,1292999936,0.639,13925999616,79474999296,0.37,0.639,47503998976,124.106,23.465,0.03405,0.06441,20720000000,2896499968,13061999616,3.136,-0.211,0.46632,0.29315,0.19883,CAD,
9,"200, Fifth Avenue Place",425 - 1st Street S.W.,Calgary,AB,T2P 3L8,Canada,403 231 3920,https://www.enbridge.com,Oil & Gas Midstream,Energy,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company. The company operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution and Storage, Renewable Power Generation, and Energy Services. The Liquids Pipelines segment operates pipelines and related terminals to transport various grades of crude oil and other liquid hydrocarbons in Canada and the United States. The Gas Transmission and Midstream segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States. The Gas Distribution and Storage segment is involved in the natural gas utility operations serving residential, commercial, and industrial customers in Ontario, as well as natural gas distribution activities in Quebec. The Renewable Power Generation segment operates power generating assets, such as wind, solar, geothermal, waste heat recovery, and transmission assets in North America. The Energy Services segment provides physical commodity marketing and logistical services to refiners, producers, and other customers in Canada and the United States. The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998. Enbridge Inc. was founded in 1949 and is headquartered in Calgary, Canada.",11100,"{'maxAge': 1, 'name': 'Ms. Rebecca  Morley CFA', 'age': 42, 'title': 'Director of Investor Relations', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,7,7,5,1693526400,1672444800,86400,2,15.19,15.15,15.14,15.26,15.19,15.15,15.14,15.26,1.35,0.0896,1691971200,6.4,0.896041,5.2585907,3323,3323,12553,12703,12703,15.12,15.2,0,0,15.01,19.1,16.2102,17.438126,3.495,0.23008558,CAD,119144210432,0.08696,2020395173,135031,226329,1690761600,1693440000,0.0,0.3161,7.99,26.594,0.56967735,1672444800,1703980800,1688083200,2.252,3792999936,2.881,2.508,8.556,TOR,EQUITY,ENB-PD.TO,ENB-PD.TO,ENBRIDGE INC PREF SER D,Enbridge Inc.,1326205800,America/Toronto,EDT,-14400000,15.15,none,1292999936,0.639,13925999616,79474999296,0.37,0.639,47503998976,124.106,23.465,0.03405,0.06441,20720000000,2896499968,13061999616,3.136,-0.211,0.46632,0.29315,0.19883,CAD,
