,address1,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Timothy D. Cook', 'age': 61, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 16425933, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,1,1,1693526400,1672444800,86400,2,175.74,176.48,173.82,176.495,175.74,176.48,173.82,176.495,0.96,0.0055,1691712000,0.156,0.86,1.274896,29.364094,26.556904,109062327,109062327,57388693,75450060,75450060,174.76,174.83,800,800,2736141107200,124.17,198.23,7.126611,184.7198,164.73946,0.93,0.0052919085,USD,2794358046720,0.24681,15616878002,15634199552,102091714,105460144,1690761600,1693440000,0.0064999997,0.00071999995,0.61317,1.8,0.0064999997,15634199552,3.852,45.43354,1663977600,1695513600,1688169600,0.023,94760001536,5.96,6.59,4.55,4:1,1598832000,7.278,22.543,0.1328975,0.14113986,0.24,1691712000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,175.01,240.0,149.0,200.11,200.0,2.0,buy,38,62482001920,3.996,123957002240,109280002048,0.814,0.982,383932989440,181.305,24.22,0.20896,1.60093,170782000000,90680500224,113071996928,0.05,-0.014,0.43449003,0.32286,0.29231,USD,2.2291
1,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Luca  Maestri', 'age': 59, 'title': 'CFO & Sr. VP', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 5019783, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,1,1,1693526400,1672444800,86400,2,175.74,176.48,173.82,176.495,175.74,176.48,173.82,176.495,0.96,0.0055,1691712000,0.156,0.86,1.274896,29.364094,26.556904,109062327,109062327,57388693,75450060,75450060,174.76,174.83,800,800,2736141107200,124.17,198.23,7.126611,184.7198,164.73946,0.93,0.0052919085,USD,2794358046720,0.24681,15616878002,15634199552,102091714,105460144,1690761600,1693440000,0.0064999997,0.00071999995,0.61317,1.8,0.0064999997,15634199552,3.852,45.43354,1663977600,1695513600,1688169600,0.023,94760001536,5.96,6.59,4.55,4:1,1598832000,7.278,22.543,0.1328975,0.14113986,0.24,1691712000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,175.01,240.0,149.0,200.11,200.0,2.0,buy,38,62482001920,3.996,123957002240,109280002048,0.814,0.982,383932989440,181.305,24.22,0.20896,1.60093,170782000000,90680500224,113071996928,0.05,-0.014,0.43449003,0.32286,0.29231,USD,2.2291
2,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Jeffrey E. Williams', 'age': 58, 'title': 'Chief Operating Officer', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 5018337, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,1,1,1693526400,1672444800,86400,2,175.74,176.48,173.82,176.495,175.74,176.48,173.82,176.495,0.96,0.0055,1691712000,0.156,0.86,1.274896,29.364094,26.556904,109062327,109062327,57388693,75450060,75450060,174.76,174.83,800,800,2736141107200,124.17,198.23,7.126611,184.7198,164.73946,0.93,0.0052919085,USD,2794358046720,0.24681,15616878002,15634199552,102091714,105460144,1690761600,1693440000,0.0064999997,0.00071999995,0.61317,1.8,0.0064999997,15634199552,3.852,45.43354,1663977600,1695513600,1688169600,0.023,94760001536,5.96,6.59,4.55,4:1,1598832000,7.278,22.543,0.1328975,0.14113986,0.24,1691712000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,175.01,240.0,149.0,200.11,200.0,2.0,buy,38,62482001920,3.996,123957002240,109280002048,0.814,0.982,383932989440,181.305,24.22,0.20896,1.60093,170782000000,90680500224,113071996928,0.05,-0.014,0.43449003,0.32286,0.29231,USD,2.2291
3,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Ms. Katherine L. Adams', 'age': 58, 'title': 'Sr. VP, Gen. Counsel & Sec.', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 5015208, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,1,1,1693526400,1672444800,86400,2,175.74,176.48,173.82,176.495,175.74,176.48,173.82,176.495,0.96,0.0055,1691712000,0.156,0.86,1.274896,29.364094,26.556904,109062327,109062327,57388693,75450060,75450060,174.76,174.83,800,800,2736141107200,124.17,198.23,7.126611,184.7198,164.73946,0.93,0.0052919085,USD,2794358046720,0.24681,15616878002,15634199552,102091714,105460144,1690761600,1693440000,0.0064999997,0.00071999995,0.61317,1.8,0.0064999997,15634199552,3.852,45.43354,1663977600,1695513600,1688169600,0.023,94760001536,5.96,6.59,4.55,4:1,1598832000,7.278,22.543,0.1328975,0.14113986,0.24,1691712000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,175.01,240.0,149.0,200.11,200.0,2.0,buy,38,62482001920,3.996,123957002240,109280002048,0.814,0.982,383932989440,181.305,24.22,0.20896,1.60093,170782000000,90680500224,113071996928,0.05,-0.014,0.43449003,0.32286,0.29231,USD,2.2291
4,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': ""Ms. Deirdre  O'Brien"", 'age': 55, 'title': 'Sr. VP of Retail', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 5019783, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,1,1,1693526400,1672444800,86400,2,175.74,176.48,173.82,176.495,175.74,176.48,173.82,176.495,0.96,0.0055,1691712000,0.156,0.86,1.274896,29.364094,26.556904,109062327,109062327,57388693,75450060,75450060,174.76,174.83,800,800,2736141107200,124.17,198.23,7.126611,184.7198,164.73946,0.93,0.0052919085,USD,2794358046720,0.24681,15616878002,15634199552,102091714,105460144,1690761600,1693440000,0.0064999997,0.00071999995,0.61317,1.8,0.0064999997,15634199552,3.852,45.43354,1663977600,1695513600,1688169600,0.023,94760001536,5.96,6.59,4.55,4:1,1598832000,7.278,22.543,0.1328975,0.14113986,0.24,1691712000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,175.01,240.0,149.0,200.11,200.0,2.0,buy,38,62482001920,3.996,123957002240,109280002048,0.814,0.982,383932989440,181.305,24.22,0.20896,1.60093,170782000000,90680500224,113071996928,0.05,-0.014,0.43449003,0.32286,0.29231,USD,2.2291
5,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Chris  Kondo', 'title': 'Sr. Director of Corp. Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,1,1,1693526400,1672444800,86400,2,175.74,176.48,173.82,176.495,175.74,176.48,173.82,176.495,0.96,0.0055,1691712000,0.156,0.86,1.274896,29.364094,26.556904,109062327,109062327,57388693,75450060,75450060,174.76,174.83,800,800,2736141107200,124.17,198.23,7.126611,184.7198,164.73946,0.93,0.0052919085,USD,2794358046720,0.24681,15616878002,15634199552,102091714,105460144,1690761600,1693440000,0.0064999997,0.00071999995,0.61317,1.8,0.0064999997,15634199552,3.852,45.43354,1663977600,1695513600,1688169600,0.023,94760001536,5.96,6.59,4.55,4:1,1598832000,7.278,22.543,0.1328975,0.14113986,0.24,1691712000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,175.01,240.0,149.0,200.11,200.0,2.0,buy,38,62482001920,3.996,123957002240,109280002048,0.814,0.982,383932989440,181.305,24.22,0.20896,1.60093,170782000000,90680500224,113071996928,0.05,-0.014,0.43449003,0.32286,0.29231,USD,2.2291
6,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. James  Wilson', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,1,1,1693526400,1672444800,86400,2,175.74,176.48,173.82,176.495,175.74,176.48,173.82,176.495,0.96,0.0055,1691712000,0.156,0.86,1.274896,29.364094,26.556904,109062327,109062327,57388693,75450060,75450060,174.76,174.83,800,800,2736141107200,124.17,198.23,7.126611,184.7198,164.73946,0.93,0.0052919085,USD,2794358046720,0.24681,15616878002,15634199552,102091714,105460144,1690761600,1693440000,0.0064999997,0.00071999995,0.61317,1.8,0.0064999997,15634199552,3.852,45.43354,1663977600,1695513600,1688169600,0.023,94760001536,5.96,6.59,4.55,4:1,1598832000,7.278,22.543,0.1328975,0.14113986,0.24,1691712000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,175.01,240.0,149.0,200.11,200.0,2.0,buy,38,62482001920,3.996,123957002240,109280002048,0.814,0.982,383932989440,181.305,24.22,0.20896,1.60093,170782000000,90680500224,113071996928,0.05,-0.014,0.43449003,0.32286,0.29231,USD,2.2291
7,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Ms. Mary  Demby', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,1,1,1693526400,1672444800,86400,2,175.74,176.48,173.82,176.495,175.74,176.48,173.82,176.495,0.96,0.0055,1691712000,0.156,0.86,1.274896,29.364094,26.556904,109062327,109062327,57388693,75450060,75450060,174.76,174.83,800,800,2736141107200,124.17,198.23,7.126611,184.7198,164.73946,0.93,0.0052919085,USD,2794358046720,0.24681,15616878002,15634199552,102091714,105460144,1690761600,1693440000,0.0064999997,0.00071999995,0.61317,1.8,0.0064999997,15634199552,3.852,45.43354,1663977600,1695513600,1688169600,0.023,94760001536,5.96,6.59,4.55,4:1,1598832000,7.278,22.543,0.1328975,0.14113986,0.24,1691712000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,175.01,240.0,149.0,200.11,200.0,2.0,buy,38,62482001920,3.996,123957002240,109280002048,0.814,0.982,383932989440,181.305,24.22,0.20896,1.60093,170782000000,90680500224,113071996928,0.05,-0.014,0.43449003,0.32286,0.29231,USD,2.2291
8,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Ms. Nancy  Paxton', 'title': 'Sr. Director of Investor Relations & Treasury', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,1,1,1693526400,1672444800,86400,2,175.74,176.48,173.82,176.495,175.74,176.48,173.82,176.495,0.96,0.0055,1691712000,0.156,0.86,1.274896,29.364094,26.556904,109062327,109062327,57388693,75450060,75450060,174.76,174.83,800,800,2736141107200,124.17,198.23,7.126611,184.7198,164.73946,0.93,0.0052919085,USD,2794358046720,0.24681,15616878002,15634199552,102091714,105460144,1690761600,1693440000,0.0064999997,0.00071999995,0.61317,1.8,0.0064999997,15634199552,3.852,45.43354,1663977600,1695513600,1688169600,0.023,94760001536,5.96,6.59,4.55,4:1,1598832000,7.278,22.543,0.1328975,0.14113986,0.24,1691712000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,175.01,240.0,149.0,200.11,200.0,2.0,buy,38,62482001920,3.996,123957002240,109280002048,0.814,0.982,383932989440,181.305,24.22,0.20896,1.60093,170782000000,90680500224,113071996928,0.05,-0.014,0.43449003,0.32286,0.29231,USD,2.2291
9,One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,Technology,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",164000,"{'maxAge': 1, 'name': 'Mr. Greg  Joswiak', 'title': 'Sr. VP of Worldwide Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,5,1,1,1693526400,1672444800,86400,2,175.74,176.48,173.82,176.495,175.74,176.48,173.82,176.495,0.96,0.0055,1691712000,0.156,0.86,1.274896,29.364094,26.556904,109062327,109062327,57388693,75450060,75450060,174.76,174.83,800,800,2736141107200,124.17,198.23,7.126611,184.7198,164.73946,0.93,0.0052919085,USD,2794358046720,0.24681,15616878002,15634199552,102091714,105460144,1690761600,1693440000,0.0064999997,0.00071999995,0.61317,1.8,0.0064999997,15634199552,3.852,45.43354,1663977600,1695513600,1688169600,0.023,94760001536,5.96,6.59,4.55,4:1,1598832000,7.278,22.543,0.1328975,0.14113986,0.24,1691712000,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,175.01,240.0,149.0,200.11,200.0,2.0,buy,38,62482001920,3.996,123957002240,109280002048,0.814,0.982,383932989440,181.305,24.22,0.20896,1.60093,170782000000,90680500224,113071996928,0.05,-0.014,0.43449003,0.32286,0.29231,USD,2.2291
