,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,110 North Carpenter Street,Chicago,IL,60607,United States,630 623 3000,https://corporate.mcdonalds.com,Restaurants,Consumer Cyclical,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, fries, salads, shakes, frozen desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including muffins, Sausages, biscuit and bagel sandwiches, oatmeal, hash browns, breakfast burritos and hotcakes. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",100000,"{'maxAge': 1, 'name': 'Mr. Christopher J. Kempczinski', 'age': 53, 'title': 'Pres, CEO & Director', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 6270275, 'exercisedValue': 0, 'unexercisedValue': 22814148}",6,3,3,7,4,1693526400,1672444800,86400,2,284.76,283.86,277.73,283.86,284.76,283.86,277.73,283.86,6.08,0.0214,1693440000,0.5475,2.25,0.642807,25.643318,22.329857,5540199,5540199,2362940,2688440,2688440,278.06,278.44,1000,800,202763747328,230.58,299.35,8.380779,287.4942,280.47165,5.94,0.02085967,USD,254443782144,0.33056998,727080008,728763008,6267938,5573153,1690761600,1693440000,0.0086,0.00208,0.70419,2.72,0.0086,-6.86,1672444800,1703980800,1688083200,0.945,7997700096,10.85,12.46,2.67,2:1,920851200,10.517,19.551,NYQ,EQUITY,MCD,MCD,McDonald's Corporation,McDonald's Corporation,-110197800,America/New_York,EDT,-14400000,278.23,383.0,300.0,329.97,330.0,1.9,buy,33,1639200000,2.249,13014500352,48560300032,1.043,1.346,24193900544,33.068,0.13922,13207200000,5987112448,8729299968,0.969,0.136,0.57451,0.53792,0.45891997,USD,2.2665
1,110 North Carpenter Street,Chicago,IL,60607,United States,630 623 3000,https://corporate.mcdonalds.com,Restaurants,Consumer Cyclical,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, fries, salads, shakes, frozen desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including muffins, Sausages, biscuit and bagel sandwiches, oatmeal, hash browns, breakfast burritos and hotcakes. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",100000,"{'maxAge': 1, 'name': 'Mr. Ian Frederick Borden', 'age': 53, 'title': 'Exec. VP & Global CFO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 4672985, 'exercisedValue': 909720, 'unexercisedValue': 14701838}",6,3,3,7,4,1693526400,1672444800,86400,2,284.76,283.86,277.73,283.86,284.76,283.86,277.73,283.86,6.08,0.0214,1693440000,0.5475,2.25,0.642807,25.643318,22.329857,5540199,5540199,2362940,2688440,2688440,278.06,278.44,1000,800,202763747328,230.58,299.35,8.380779,287.4942,280.47165,5.94,0.02085967,USD,254443782144,0.33056998,727080008,728763008,6267938,5573153,1690761600,1693440000,0.0086,0.00208,0.70419,2.72,0.0086,-6.86,1672444800,1703980800,1688083200,0.945,7997700096,10.85,12.46,2.67,2:1,920851200,10.517,19.551,NYQ,EQUITY,MCD,MCD,McDonald's Corporation,McDonald's Corporation,-110197800,America/New_York,EDT,-14400000,278.23,383.0,300.0,329.97,330.0,1.9,buy,33,1639200000,2.249,13014500352,48560300032,1.043,1.346,24193900544,33.068,0.13922,13207200000,5987112448,8729299968,0.969,0.136,0.57451,0.53792,0.45891997,USD,2.2665
2,110 North Carpenter Street,Chicago,IL,60607,United States,630 623 3000,https://corporate.mcdonalds.com,Restaurants,Consumer Cyclical,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, fries, salads, shakes, frozen desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including muffins, Sausages, biscuit and bagel sandwiches, oatmeal, hash browns, breakfast burritos and hotcakes. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",100000,"{'maxAge': 1, 'name': 'Mr. Brian S. Rice', 'age': 59, 'title': 'Exec. VP & Global Chief Information Officer', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 834294, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,3,7,4,1693526400,1672444800,86400,2,284.76,283.86,277.73,283.86,284.76,283.86,277.73,283.86,6.08,0.0214,1693440000,0.5475,2.25,0.642807,25.643318,22.329857,5540199,5540199,2362940,2688440,2688440,278.06,278.44,1000,800,202763747328,230.58,299.35,8.380779,287.4942,280.47165,5.94,0.02085967,USD,254443782144,0.33056998,727080008,728763008,6267938,5573153,1690761600,1693440000,0.0086,0.00208,0.70419,2.72,0.0086,-6.86,1672444800,1703980800,1688083200,0.945,7997700096,10.85,12.46,2.67,2:1,920851200,10.517,19.551,NYQ,EQUITY,MCD,MCD,McDonald's Corporation,McDonald's Corporation,-110197800,America/New_York,EDT,-14400000,278.23,383.0,300.0,329.97,330.0,1.9,buy,33,1639200000,2.249,13014500352,48560300032,1.043,1.346,24193900544,33.068,0.13922,13207200000,5987112448,8729299968,0.969,0.136,0.57451,0.53792,0.45891997,USD,2.2665
3,110 North Carpenter Street,Chicago,IL,60607,United States,630 623 3000,https://corporate.mcdonalds.com,Restaurants,Consumer Cyclical,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, fries, salads, shakes, frozen desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including muffins, Sausages, biscuit and bagel sandwiches, oatmeal, hash browns, breakfast burritos and hotcakes. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",100000,"{'maxAge': 1, 'name': 'Ms. Desiree  Ralls-Morrison', 'age': 55, 'title': 'Exec. VP, Global Chief Legal Officer & Corp. Sec.', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 2375512, 'exercisedValue': 0, 'unexercisedValue': 134503}",6,3,3,7,4,1693526400,1672444800,86400,2,284.76,283.86,277.73,283.86,284.76,283.86,277.73,283.86,6.08,0.0214,1693440000,0.5475,2.25,0.642807,25.643318,22.329857,5540199,5540199,2362940,2688440,2688440,278.06,278.44,1000,800,202763747328,230.58,299.35,8.380779,287.4942,280.47165,5.94,0.02085967,USD,254443782144,0.33056998,727080008,728763008,6267938,5573153,1690761600,1693440000,0.0086,0.00208,0.70419,2.72,0.0086,-6.86,1672444800,1703980800,1688083200,0.945,7997700096,10.85,12.46,2.67,2:1,920851200,10.517,19.551,NYQ,EQUITY,MCD,MCD,McDonald's Corporation,McDonald's Corporation,-110197800,America/New_York,EDT,-14400000,278.23,383.0,300.0,329.97,330.0,1.9,buy,33,1639200000,2.249,13014500352,48560300032,1.043,1.346,24193900544,33.068,0.13922,13207200000,5987112448,8729299968,0.969,0.136,0.57451,0.53792,0.45891997,USD,2.2665
4,110 North Carpenter Street,Chicago,IL,60607,United States,630 623 3000,https://corporate.mcdonalds.com,Restaurants,Consumer Cyclical,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, fries, salads, shakes, frozen desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including muffins, Sausages, biscuit and bagel sandwiches, oatmeal, hash browns, breakfast burritos and hotcakes. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",100000,"{'maxAge': 1, 'name': 'Mr. Joseph  Erlinger', 'age': 48, 'title': ""Pres of McDonald's USA"", 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 2417986, 'exercisedValue': 608231, 'unexercisedValue': 12160679}",6,3,3,7,4,1693526400,1672444800,86400,2,284.76,283.86,277.73,283.86,284.76,283.86,277.73,283.86,6.08,0.0214,1693440000,0.5475,2.25,0.642807,25.643318,22.329857,5540199,5540199,2362940,2688440,2688440,278.06,278.44,1000,800,202763747328,230.58,299.35,8.380779,287.4942,280.47165,5.94,0.02085967,USD,254443782144,0.33056998,727080008,728763008,6267938,5573153,1690761600,1693440000,0.0086,0.00208,0.70419,2.72,0.0086,-6.86,1672444800,1703980800,1688083200,0.945,7997700096,10.85,12.46,2.67,2:1,920851200,10.517,19.551,NYQ,EQUITY,MCD,MCD,McDonald's Corporation,McDonald's Corporation,-110197800,America/New_York,EDT,-14400000,278.23,383.0,300.0,329.97,330.0,1.9,buy,33,1639200000,2.249,13014500352,48560300032,1.043,1.346,24193900544,33.068,0.13922,13207200000,5987112448,8729299968,0.969,0.136,0.57451,0.53792,0.45891997,USD,2.2665
5,110 North Carpenter Street,Chicago,IL,60607,United States,630 623 3000,https://corporate.mcdonalds.com,Restaurants,Consumer Cyclical,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, fries, salads, shakes, frozen desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including muffins, Sausages, biscuit and bagel sandwiches, oatmeal, hash browns, breakfast burritos and hotcakes. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",100000,"{'maxAge': 1, 'name': 'Mr. Mike  Flores', 'title': 'Sr. VP & Investor Relations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,3,7,4,1693526400,1672444800,86400,2,284.76,283.86,277.73,283.86,284.76,283.86,277.73,283.86,6.08,0.0214,1693440000,0.5475,2.25,0.642807,25.643318,22.329857,5540199,5540199,2362940,2688440,2688440,278.06,278.44,1000,800,202763747328,230.58,299.35,8.380779,287.4942,280.47165,5.94,0.02085967,USD,254443782144,0.33056998,727080008,728763008,6267938,5573153,1690761600,1693440000,0.0086,0.00208,0.70419,2.72,0.0086,-6.86,1672444800,1703980800,1688083200,0.945,7997700096,10.85,12.46,2.67,2:1,920851200,10.517,19.551,NYQ,EQUITY,MCD,MCD,McDonald's Corporation,McDonald's Corporation,-110197800,America/New_York,EDT,-14400000,278.23,383.0,300.0,329.97,330.0,1.9,buy,33,1639200000,2.249,13014500352,48560300032,1.043,1.346,24193900544,33.068,0.13922,13207200000,5987112448,8729299968,0.969,0.136,0.57451,0.53792,0.45891997,USD,2.2665
6,110 North Carpenter Street,Chicago,IL,60607,United States,630 623 3000,https://corporate.mcdonalds.com,Restaurants,Consumer Cyclical,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, fries, salads, shakes, frozen desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including muffins, Sausages, biscuit and bagel sandwiches, oatmeal, hash browns, breakfast burritos and hotcakes. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",100000,"{'maxAge': 1, 'name': 'Ms. Morgan  Flatley', 'age': 47, 'title': 'Exec. VP and Global Chief Marketing Officer & New Bus. Ventures', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,3,7,4,1693526400,1672444800,86400,2,284.76,283.86,277.73,283.86,284.76,283.86,277.73,283.86,6.08,0.0214,1693440000,0.5475,2.25,0.642807,25.643318,22.329857,5540199,5540199,2362940,2688440,2688440,278.06,278.44,1000,800,202763747328,230.58,299.35,8.380779,287.4942,280.47165,5.94,0.02085967,USD,254443782144,0.33056998,727080008,728763008,6267938,5573153,1690761600,1693440000,0.0086,0.00208,0.70419,2.72,0.0086,-6.86,1672444800,1703980800,1688083200,0.945,7997700096,10.85,12.46,2.67,2:1,920851200,10.517,19.551,NYQ,EQUITY,MCD,MCD,McDonald's Corporation,McDonald's Corporation,-110197800,America/New_York,EDT,-14400000,278.23,383.0,300.0,329.97,330.0,1.9,buy,33,1639200000,2.249,13014500352,48560300032,1.043,1.346,24193900544,33.068,0.13922,13207200000,5987112448,8729299968,0.969,0.136,0.57451,0.53792,0.45891997,USD,2.2665
7,110 North Carpenter Street,Chicago,IL,60607,United States,630 623 3000,https://corporate.mcdonalds.com,Restaurants,Consumer Cyclical,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, fries, salads, shakes, frozen desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including muffins, Sausages, biscuit and bagel sandwiches, oatmeal, hash browns, breakfast burritos and hotcakes. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",100000,"{'maxAge': 1, 'name': 'Ms. Heidi B. Capozzi', 'age': 52, 'title': 'Exec. VP & Global Chief People Officer', 'yearBorn': 1970, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,3,7,4,1693526400,1672444800,86400,2,284.76,283.86,277.73,283.86,284.76,283.86,277.73,283.86,6.08,0.0214,1693440000,0.5475,2.25,0.642807,25.643318,22.329857,5540199,5540199,2362940,2688440,2688440,278.06,278.44,1000,800,202763747328,230.58,299.35,8.380779,287.4942,280.47165,5.94,0.02085967,USD,254443782144,0.33056998,727080008,728763008,6267938,5573153,1690761600,1693440000,0.0086,0.00208,0.70419,2.72,0.0086,-6.86,1672444800,1703980800,1688083200,0.945,7997700096,10.85,12.46,2.67,2:1,920851200,10.517,19.551,NYQ,EQUITY,MCD,MCD,McDonald's Corporation,McDonald's Corporation,-110197800,America/New_York,EDT,-14400000,278.23,383.0,300.0,329.97,330.0,1.9,buy,33,1639200000,2.249,13014500352,48560300032,1.043,1.346,24193900544,33.068,0.13922,13207200000,5987112448,8729299968,0.969,0.136,0.57451,0.53792,0.45891997,USD,2.2665
8,110 North Carpenter Street,Chicago,IL,60607,United States,630 623 3000,https://corporate.mcdonalds.com,Restaurants,Consumer Cyclical,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, fries, salads, shakes, frozen desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including muffins, Sausages, biscuit and bagel sandwiches, oatmeal, hash browns, breakfast burritos and hotcakes. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",100000,"{'maxAge': 1, 'name': 'Ms. Jill  McDonald', 'age': 56, 'title': 'Exec. VP & Pres at International Operated Markets', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,3,7,4,1693526400,1672444800,86400,2,284.76,283.86,277.73,283.86,284.76,283.86,277.73,283.86,6.08,0.0214,1693440000,0.5475,2.25,0.642807,25.643318,22.329857,5540199,5540199,2362940,2688440,2688440,278.06,278.44,1000,800,202763747328,230.58,299.35,8.380779,287.4942,280.47165,5.94,0.02085967,USD,254443782144,0.33056998,727080008,728763008,6267938,5573153,1690761600,1693440000,0.0086,0.00208,0.70419,2.72,0.0086,-6.86,1672444800,1703980800,1688083200,0.945,7997700096,10.85,12.46,2.67,2:1,920851200,10.517,19.551,NYQ,EQUITY,MCD,MCD,McDonald's Corporation,McDonald's Corporation,-110197800,America/New_York,EDT,-14400000,278.23,383.0,300.0,329.97,330.0,1.9,buy,33,1639200000,2.249,13014500352,48560300032,1.043,1.346,24193900544,33.068,0.13922,13207200000,5987112448,8729299968,0.969,0.136,0.57451,0.53792,0.45891997,USD,2.2665
9,110 North Carpenter Street,Chicago,IL,60607,United States,630 623 3000,https://corporate.mcdonalds.com,Restaurants,Consumer Cyclical,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. The company's restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, fries, salads, shakes, frozen desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including muffins, Sausages, biscuit and bagel sandwiches, oatmeal, hash browns, breakfast burritos and hotcakes. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",100000,"{'maxAge': 1, 'name': 'Radek  Janalik', 'title': ""Managing Director of McDonald's Hungary"", 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,3,7,4,1693526400,1672444800,86400,2,284.76,283.86,277.73,283.86,284.76,283.86,277.73,283.86,6.08,0.0214,1693440000,0.5475,2.25,0.642807,25.643318,22.329857,5540199,5540199,2362940,2688440,2688440,278.06,278.44,1000,800,202763747328,230.58,299.35,8.380779,287.4942,280.47165,5.94,0.02085967,USD,254443782144,0.33056998,727080008,728763008,6267938,5573153,1690761600,1693440000,0.0086,0.00208,0.70419,2.72,0.0086,-6.86,1672444800,1703980800,1688083200,0.945,7997700096,10.85,12.46,2.67,2:1,920851200,10.517,19.551,NYQ,EQUITY,MCD,MCD,McDonald's Corporation,McDonald's Corporation,-110197800,America/New_York,EDT,-14400000,278.23,383.0,300.0,329.97,330.0,1.9,buy,33,1639200000,2.249,13014500352,48560300032,1.043,1.346,24193900544,33.068,0.13922,13207200000,5987112448,8729299968,0.969,0.136,0.57451,0.53792,0.45891997,USD,2.2665
