,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Diemermere 25,Diemen,1112 TC,Netherlands,31 20 569 5911,https://www.randstad.com,Staffing & Employment Services,Industrials,"Randstad N.V. provides solutions in the field of work and human resources (HR) services. It offers temporary staffing and permanent placement services for the light industrial, office and administrative, manufacturing and logistics, and other specialty areas, as well as payroll services. The company also offers on-site solutions for managing a client's workforce with specific skill sets and a fluctuating level of demand for the fast-moving consumer goods, automotive, life sciences, contact centers, manufacturing, and logistics, as well as the administrative and professional segments. In addition, it recruits experienced staff for managerial and professional roles in a range of sectors and disciplines, including IT, engineering, finance, healthcare, HR, education, legal affairs, sales and marketing and communications. Further, the company provides managed services programs, recruitment process outsourcing, outplacement and career development, and online talent acquisition. It has operations in North America, France, the Netherlands, Germany, Belgium, Luxembourg, Italy, Iberia, other European countries, and internationally. The company was formerly known as Randstad Holding NV and changed its name to Randstad N.V. in April 2018. Randstad N.V. was founded in 1960 and is headquartered in Diemen, the Netherlands.",43530,"{'maxAge': 1, 'name': ""Mr. Alexander M. van't Noordende"", 'age': 59, 'title': 'Chairman of Exec. Board & CEO', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 2644725, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,6,1,1693526400,1672444800,86400,2,51.64,52.0,51.62,52.36,51.64,52.0,51.62,52.36,2.85,0.0555,1680134400,0.64769995,1.278528,11.781818,12.0278425,810117,810117,362037,359757,359757,0.0,0.0,0,0,9839387648,42.15,62.74,0.36382887,52.667,53.6512,2.85,0.055189773,EUR,10643345408,0.03014,89553213,181844992,0.32799,0.29094,25.068,2.067975,1672444800,1703980800,1688083200,-0.301,807000000,4.4,4.31,-2.27,0.394,9.369,AMS,EQUITY,RAND.AS,RAND.AS,Randstad N.V.,Randstad N.V.,801212400,Europe/Amsterdam,CEST,7200000,51.84,88.0,37.0,52.4,50.0,3.6,underperform,15,301000000,1.655,1136000000,1508999936,1.239,1.239,27043999744,33.041,147.984,0.05939,0.18184,5751000000,356124992,1184000000,-0.303,-0.061,0.20854999,0.042,0.03846,EUR,
1,Diemermere 25,Diemen,1112 TC,Netherlands,31 20 569 5911,https://www.randstad.com,Staffing & Employment Services,Industrials,"Randstad N.V. provides solutions in the field of work and human resources (HR) services. It offers temporary staffing and permanent placement services for the light industrial, office and administrative, manufacturing and logistics, and other specialty areas, as well as payroll services. The company also offers on-site solutions for managing a client's workforce with specific skill sets and a fluctuating level of demand for the fast-moving consumer goods, automotive, life sciences, contact centers, manufacturing, and logistics, as well as the administrative and professional segments. In addition, it recruits experienced staff for managerial and professional roles in a range of sectors and disciplines, including IT, engineering, finance, healthcare, HR, education, legal affairs, sales and marketing and communications. Further, the company provides managed services programs, recruitment process outsourcing, outplacement and career development, and online talent acquisition. It has operations in North America, France, the Netherlands, Germany, Belgium, Luxembourg, Italy, Iberia, other European countries, and internationally. The company was formerly known as Randstad Holding NV and changed its name to Randstad N.V. in April 2018. Randstad N.V. was founded in 1960 and is headquartered in Diemen, the Netherlands.",43530,"{'maxAge': 1, 'name': 'Mr. Chris  Heutink', 'age': 60, 'title': 'COO & Member of the Exec. Board', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1489000, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,6,1,1693526400,1672444800,86400,2,51.64,52.0,51.62,52.36,51.64,52.0,51.62,52.36,2.85,0.0555,1680134400,0.64769995,1.278528,11.781818,12.0278425,810117,810117,362037,359757,359757,0.0,0.0,0,0,9839387648,42.15,62.74,0.36382887,52.667,53.6512,2.85,0.055189773,EUR,10643345408,0.03014,89553213,181844992,0.32799,0.29094,25.068,2.067975,1672444800,1703980800,1688083200,-0.301,807000000,4.4,4.31,-2.27,0.394,9.369,AMS,EQUITY,RAND.AS,RAND.AS,Randstad N.V.,Randstad N.V.,801212400,Europe/Amsterdam,CEST,7200000,51.84,88.0,37.0,52.4,50.0,3.6,underperform,15,301000000,1.655,1136000000,1508999936,1.239,1.239,27043999744,33.041,147.984,0.05939,0.18184,5751000000,356124992,1184000000,-0.303,-0.061,0.20854999,0.042,0.03846,EUR,
2,Diemermere 25,Diemen,1112 TC,Netherlands,31 20 569 5911,https://www.randstad.com,Staffing & Employment Services,Industrials,"Randstad N.V. provides solutions in the field of work and human resources (HR) services. It offers temporary staffing and permanent placement services for the light industrial, office and administrative, manufacturing and logistics, and other specialty areas, as well as payroll services. The company also offers on-site solutions for managing a client's workforce with specific skill sets and a fluctuating level of demand for the fast-moving consumer goods, automotive, life sciences, contact centers, manufacturing, and logistics, as well as the administrative and professional segments. In addition, it recruits experienced staff for managerial and professional roles in a range of sectors and disciplines, including IT, engineering, finance, healthcare, HR, education, legal affairs, sales and marketing and communications. Further, the company provides managed services programs, recruitment process outsourcing, outplacement and career development, and online talent acquisition. It has operations in North America, France, the Netherlands, Germany, Belgium, Luxembourg, Italy, Iberia, other European countries, and internationally. The company was formerly known as Randstad Holding NV and changed its name to Randstad N.V. in April 2018. Randstad N.V. was founded in 1960 and is headquartered in Diemen, the Netherlands.",43530,"{'maxAge': 1, 'name': 'Mr. Jorge  Vazquez', 'title': 'CFO,Chief Exec. of Southern Europe & Latin America and Member of Exec. Board', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,6,1,1693526400,1672444800,86400,2,51.64,52.0,51.62,52.36,51.64,52.0,51.62,52.36,2.85,0.0555,1680134400,0.64769995,1.278528,11.781818,12.0278425,810117,810117,362037,359757,359757,0.0,0.0,0,0,9839387648,42.15,62.74,0.36382887,52.667,53.6512,2.85,0.055189773,EUR,10643345408,0.03014,89553213,181844992,0.32799,0.29094,25.068,2.067975,1672444800,1703980800,1688083200,-0.301,807000000,4.4,4.31,-2.27,0.394,9.369,AMS,EQUITY,RAND.AS,RAND.AS,Randstad N.V.,Randstad N.V.,801212400,Europe/Amsterdam,CEST,7200000,51.84,88.0,37.0,52.4,50.0,3.6,underperform,15,301000000,1.655,1136000000,1508999936,1.239,1.239,27043999744,33.041,147.984,0.05939,0.18184,5751000000,356124992,1184000000,-0.303,-0.061,0.20854999,0.042,0.03846,EUR,
3,Diemermere 25,Diemen,1112 TC,Netherlands,31 20 569 5911,https://www.randstad.com,Staffing & Employment Services,Industrials,"Randstad N.V. provides solutions in the field of work and human resources (HR) services. It offers temporary staffing and permanent placement services for the light industrial, office and administrative, manufacturing and logistics, and other specialty areas, as well as payroll services. The company also offers on-site solutions for managing a client's workforce with specific skill sets and a fluctuating level of demand for the fast-moving consumer goods, automotive, life sciences, contact centers, manufacturing, and logistics, as well as the administrative and professional segments. In addition, it recruits experienced staff for managerial and professional roles in a range of sectors and disciplines, including IT, engineering, finance, healthcare, HR, education, legal affairs, sales and marketing and communications. Further, the company provides managed services programs, recruitment process outsourcing, outplacement and career development, and online talent acquisition. It has operations in North America, France, the Netherlands, Germany, Belgium, Luxembourg, Italy, Iberia, other European countries, and internationally. The company was formerly known as Randstad Holding NV and changed its name to Randstad N.V. in April 2018. Randstad N.V. was founded in 1960 and is headquartered in Diemen, the Netherlands.",43530,"{'maxAge': 1, 'name': 'Ms. Myriam Beatove Moreale', 'title': 'Chief HR Officer & Member of Exec. Board', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,6,1,1693526400,1672444800,86400,2,51.64,52.0,51.62,52.36,51.64,52.0,51.62,52.36,2.85,0.0555,1680134400,0.64769995,1.278528,11.781818,12.0278425,810117,810117,362037,359757,359757,0.0,0.0,0,0,9839387648,42.15,62.74,0.36382887,52.667,53.6512,2.85,0.055189773,EUR,10643345408,0.03014,89553213,181844992,0.32799,0.29094,25.068,2.067975,1672444800,1703980800,1688083200,-0.301,807000000,4.4,4.31,-2.27,0.394,9.369,AMS,EQUITY,RAND.AS,RAND.AS,Randstad N.V.,Randstad N.V.,801212400,Europe/Amsterdam,CEST,7200000,51.84,88.0,37.0,52.4,50.0,3.6,underperform,15,301000000,1.655,1136000000,1508999936,1.239,1.239,27043999744,33.041,147.984,0.05939,0.18184,5751000000,356124992,1184000000,-0.303,-0.061,0.20854999,0.042,0.03846,EUR,
4,Diemermere 25,Diemen,1112 TC,Netherlands,31 20 569 5911,https://www.randstad.com,Staffing & Employment Services,Industrials,"Randstad N.V. provides solutions in the field of work and human resources (HR) services. It offers temporary staffing and permanent placement services for the light industrial, office and administrative, manufacturing and logistics, and other specialty areas, as well as payroll services. The company also offers on-site solutions for managing a client's workforce with specific skill sets and a fluctuating level of demand for the fast-moving consumer goods, automotive, life sciences, contact centers, manufacturing, and logistics, as well as the administrative and professional segments. In addition, it recruits experienced staff for managerial and professional roles in a range of sectors and disciplines, including IT, engineering, finance, healthcare, HR, education, legal affairs, sales and marketing and communications. Further, the company provides managed services programs, recruitment process outsourcing, outplacement and career development, and online talent acquisition. It has operations in North America, France, the Netherlands, Germany, Belgium, Luxembourg, Italy, Iberia, other European countries, and internationally. The company was formerly known as Randstad Holding NV and changed its name to Randstad N.V. in April 2018. Randstad N.V. was founded in 1960 and is headquartered in Diemen, the Netherlands.",43530,"{'maxAge': 1, 'name': 'Mr. Rob  Fenne M.D.', 'title': 'Managing Director of Group Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,6,1,1693526400,1672444800,86400,2,51.64,52.0,51.62,52.36,51.64,52.0,51.62,52.36,2.85,0.0555,1680134400,0.64769995,1.278528,11.781818,12.0278425,810117,810117,362037,359757,359757,0.0,0.0,0,0,9839387648,42.15,62.74,0.36382887,52.667,53.6512,2.85,0.055189773,EUR,10643345408,0.03014,89553213,181844992,0.32799,0.29094,25.068,2.067975,1672444800,1703980800,1688083200,-0.301,807000000,4.4,4.31,-2.27,0.394,9.369,AMS,EQUITY,RAND.AS,RAND.AS,Randstad N.V.,Randstad N.V.,801212400,Europe/Amsterdam,CEST,7200000,51.84,88.0,37.0,52.4,50.0,3.6,underperform,15,301000000,1.655,1136000000,1508999936,1.239,1.239,27043999744,33.041,147.984,0.05939,0.18184,5751000000,356124992,1184000000,-0.303,-0.061,0.20854999,0.042,0.03846,EUR,
5,Diemermere 25,Diemen,1112 TC,Netherlands,31 20 569 5911,https://www.randstad.com,Staffing & Employment Services,Industrials,"Randstad N.V. provides solutions in the field of work and human resources (HR) services. It offers temporary staffing and permanent placement services for the light industrial, office and administrative, manufacturing and logistics, and other specialty areas, as well as payroll services. The company also offers on-site solutions for managing a client's workforce with specific skill sets and a fluctuating level of demand for the fast-moving consumer goods, automotive, life sciences, contact centers, manufacturing, and logistics, as well as the administrative and professional segments. In addition, it recruits experienced staff for managerial and professional roles in a range of sectors and disciplines, including IT, engineering, finance, healthcare, HR, education, legal affairs, sales and marketing and communications. Further, the company provides managed services programs, recruitment process outsourcing, outplacement and career development, and online talent acquisition. It has operations in North America, France, the Netherlands, Germany, Belgium, Luxembourg, Italy, Iberia, other European countries, and internationally. The company was formerly known as Randstad Holding NV and changed its name to Randstad N.V. in April 2018. Randstad N.V. was founded in 1960 and is headquartered in Diemen, the Netherlands.",43530,"{'maxAge': 1, 'name': 'Martin  de Weerdt', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,6,1,1693526400,1672444800,86400,2,51.64,52.0,51.62,52.36,51.64,52.0,51.62,52.36,2.85,0.0555,1680134400,0.64769995,1.278528,11.781818,12.0278425,810117,810117,362037,359757,359757,0.0,0.0,0,0,9839387648,42.15,62.74,0.36382887,52.667,53.6512,2.85,0.055189773,EUR,10643345408,0.03014,89553213,181844992,0.32799,0.29094,25.068,2.067975,1672444800,1703980800,1688083200,-0.301,807000000,4.4,4.31,-2.27,0.394,9.369,AMS,EQUITY,RAND.AS,RAND.AS,Randstad N.V.,Randstad N.V.,801212400,Europe/Amsterdam,CEST,7200000,51.84,88.0,37.0,52.4,50.0,3.6,underperform,15,301000000,1.655,1136000000,1508999936,1.239,1.239,27043999744,33.041,147.984,0.05939,0.18184,5751000000,356124992,1184000000,-0.303,-0.061,0.20854999,0.042,0.03846,EUR,
6,Diemermere 25,Diemen,1112 TC,Netherlands,31 20 569 5911,https://www.randstad.com,Staffing & Employment Services,Industrials,"Randstad N.V. provides solutions in the field of work and human resources (HR) services. It offers temporary staffing and permanent placement services for the light industrial, office and administrative, manufacturing and logistics, and other specialty areas, as well as payroll services. The company also offers on-site solutions for managing a client's workforce with specific skill sets and a fluctuating level of demand for the fast-moving consumer goods, automotive, life sciences, contact centers, manufacturing, and logistics, as well as the administrative and professional segments. In addition, it recruits experienced staff for managerial and professional roles in a range of sectors and disciplines, including IT, engineering, finance, healthcare, HR, education, legal affairs, sales and marketing and communications. Further, the company provides managed services programs, recruitment process outsourcing, outplacement and career development, and online talent acquisition. It has operations in North America, France, the Netherlands, Germany, Belgium, Luxembourg, Italy, Iberia, other European countries, and internationally. The company was formerly known as Randstad Holding NV and changed its name to Randstad N.V. in April 2018. Randstad N.V. was founded in 1960 and is headquartered in Diemen, the Netherlands.",43530,"{'maxAge': 1, 'name': 'Mr. David  Tailleur', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,6,1,1693526400,1672444800,86400,2,51.64,52.0,51.62,52.36,51.64,52.0,51.62,52.36,2.85,0.0555,1680134400,0.64769995,1.278528,11.781818,12.0278425,810117,810117,362037,359757,359757,0.0,0.0,0,0,9839387648,42.15,62.74,0.36382887,52.667,53.6512,2.85,0.055189773,EUR,10643345408,0.03014,89553213,181844992,0.32799,0.29094,25.068,2.067975,1672444800,1703980800,1688083200,-0.301,807000000,4.4,4.31,-2.27,0.394,9.369,AMS,EQUITY,RAND.AS,RAND.AS,Randstad N.V.,Randstad N.V.,801212400,Europe/Amsterdam,CEST,7200000,51.84,88.0,37.0,52.4,50.0,3.6,underperform,15,301000000,1.655,1136000000,1508999936,1.239,1.239,27043999744,33.041,147.984,0.05939,0.18184,5751000000,356124992,1184000000,-0.303,-0.061,0.20854999,0.042,0.03846,EUR,
7,Diemermere 25,Diemen,1112 TC,Netherlands,31 20 569 5911,https://www.randstad.com,Staffing & Employment Services,Industrials,"Randstad N.V. provides solutions in the field of work and human resources (HR) services. It offers temporary staffing and permanent placement services for the light industrial, office and administrative, manufacturing and logistics, and other specialty areas, as well as payroll services. The company also offers on-site solutions for managing a client's workforce with specific skill sets and a fluctuating level of demand for the fast-moving consumer goods, automotive, life sciences, contact centers, manufacturing, and logistics, as well as the administrative and professional segments. In addition, it recruits experienced staff for managerial and professional roles in a range of sectors and disciplines, including IT, engineering, finance, healthcare, HR, education, legal affairs, sales and marketing and communications. Further, the company provides managed services programs, recruitment process outsourcing, outplacement and career development, and online talent acquisition. It has operations in North America, France, the Netherlands, Germany, Belgium, Luxembourg, Italy, Iberia, other European countries, and internationally. The company was formerly known as Randstad Holding NV and changed its name to Randstad N.V. in April 2018. Randstad N.V. was founded in 1960 and is headquartered in Diemen, the Netherlands.",43530,"{'maxAge': 1, 'name': 'Mr. James  King', 'title': 'Managing Director of Group legal', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,6,1,1693526400,1672444800,86400,2,51.64,52.0,51.62,52.36,51.64,52.0,51.62,52.36,2.85,0.0555,1680134400,0.64769995,1.278528,11.781818,12.0278425,810117,810117,362037,359757,359757,0.0,0.0,0,0,9839387648,42.15,62.74,0.36382887,52.667,53.6512,2.85,0.055189773,EUR,10643345408,0.03014,89553213,181844992,0.32799,0.29094,25.068,2.067975,1672444800,1703980800,1688083200,-0.301,807000000,4.4,4.31,-2.27,0.394,9.369,AMS,EQUITY,RAND.AS,RAND.AS,Randstad N.V.,Randstad N.V.,801212400,Europe/Amsterdam,CEST,7200000,51.84,88.0,37.0,52.4,50.0,3.6,underperform,15,301000000,1.655,1136000000,1508999936,1.239,1.239,27043999744,33.041,147.984,0.05939,0.18184,5751000000,356124992,1184000000,-0.303,-0.061,0.20854999,0.042,0.03846,EUR,
8,Diemermere 25,Diemen,1112 TC,Netherlands,31 20 569 5911,https://www.randstad.com,Staffing & Employment Services,Industrials,"Randstad N.V. provides solutions in the field of work and human resources (HR) services. It offers temporary staffing and permanent placement services for the light industrial, office and administrative, manufacturing and logistics, and other specialty areas, as well as payroll services. The company also offers on-site solutions for managing a client's workforce with specific skill sets and a fluctuating level of demand for the fast-moving consumer goods, automotive, life sciences, contact centers, manufacturing, and logistics, as well as the administrative and professional segments. In addition, it recruits experienced staff for managerial and professional roles in a range of sectors and disciplines, including IT, engineering, finance, healthcare, HR, education, legal affairs, sales and marketing and communications. Further, the company provides managed services programs, recruitment process outsourcing, outplacement and career development, and online talent acquisition. It has operations in North America, France, the Netherlands, Germany, Belgium, Luxembourg, Italy, Iberia, other European countries, and internationally. The company was formerly known as Randstad Holding NV and changed its name to Randstad N.V. in April 2018. Randstad N.V. was founded in 1960 and is headquartered in Diemen, the Netherlands.",43530,"{'maxAge': 1, 'name': 'Karl  Hanuska', 'title': 'Media Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,6,1,1693526400,1672444800,86400,2,51.64,52.0,51.62,52.36,51.64,52.0,51.62,52.36,2.85,0.0555,1680134400,0.64769995,1.278528,11.781818,12.0278425,810117,810117,362037,359757,359757,0.0,0.0,0,0,9839387648,42.15,62.74,0.36382887,52.667,53.6512,2.85,0.055189773,EUR,10643345408,0.03014,89553213,181844992,0.32799,0.29094,25.068,2.067975,1672444800,1703980800,1688083200,-0.301,807000000,4.4,4.31,-2.27,0.394,9.369,AMS,EQUITY,RAND.AS,RAND.AS,Randstad N.V.,Randstad N.V.,801212400,Europe/Amsterdam,CEST,7200000,51.84,88.0,37.0,52.4,50.0,3.6,underperform,15,301000000,1.655,1136000000,1508999936,1.239,1.239,27043999744,33.041,147.984,0.05939,0.18184,5751000000,356124992,1184000000,-0.303,-0.061,0.20854999,0.042,0.03846,EUR,
9,Diemermere 25,Diemen,1112 TC,Netherlands,31 20 569 5911,https://www.randstad.com,Staffing & Employment Services,Industrials,"Randstad N.V. provides solutions in the field of work and human resources (HR) services. It offers temporary staffing and permanent placement services for the light industrial, office and administrative, manufacturing and logistics, and other specialty areas, as well as payroll services. The company also offers on-site solutions for managing a client's workforce with specific skill sets and a fluctuating level of demand for the fast-moving consumer goods, automotive, life sciences, contact centers, manufacturing, and logistics, as well as the administrative and professional segments. In addition, it recruits experienced staff for managerial and professional roles in a range of sectors and disciplines, including IT, engineering, finance, healthcare, HR, education, legal affairs, sales and marketing and communications. Further, the company provides managed services programs, recruitment process outsourcing, outplacement and career development, and online talent acquisition. It has operations in North America, France, the Netherlands, Germany, Belgium, Luxembourg, Italy, Iberia, other European countries, and internationally. The company was formerly known as Randstad Holding NV and changed its name to Randstad N.V. in April 2018. Randstad N.V. was founded in 1960 and is headquartered in Diemen, the Netherlands.",43530,"{'maxAge': 1, 'name': 'Mr. Patrick  McCall', 'title': 'Chief Sales Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,6,1,1693526400,1672444800,86400,2,51.64,52.0,51.62,52.36,51.64,52.0,51.62,52.36,2.85,0.0555,1680134400,0.64769995,1.278528,11.781818,12.0278425,810117,810117,362037,359757,359757,0.0,0.0,0,0,9839387648,42.15,62.74,0.36382887,52.667,53.6512,2.85,0.055189773,EUR,10643345408,0.03014,89553213,181844992,0.32799,0.29094,25.068,2.067975,1672444800,1703980800,1688083200,-0.301,807000000,4.4,4.31,-2.27,0.394,9.369,AMS,EQUITY,RAND.AS,RAND.AS,Randstad N.V.,Randstad N.V.,801212400,Europe/Amsterdam,CEST,7200000,51.84,88.0,37.0,52.4,50.0,3.6,underperform,15,301000000,1.655,1136000000,1508999936,1.239,1.239,27043999744,33.041,147.984,0.05939,0.18184,5751000000,356124992,1184000000,-0.303,-0.061,0.20854999,0.042,0.03846,EUR,
