,address1,address2,city,state,zip,country,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Galen G. Weston B.A., M.B.A, M.B.A.', 'age': 49, 'title': 'Chairman & CEO', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 4907296, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,21.88,21.74,21.74,21.74,21.88,21.74,21.74,21.74,1.45,0.066700004,1693353600,5.8,0.409155,6.749457,200,200,4789,3799,3799,21.75,21.74,13038739456,21.42,24.77,0.22220452,21.9968,22.957926,2.693,0.12308045,CAD,29058861056,0.0297,59273241,127317000,63532,78949,1690761600,1693440000,0.0,0.17503999,16.93,44.758,0.48572323,1672444800,1703980800,1686960000,-0.211,1699000064,3.221,0.495,4.623,TOR,EQUITY,WN-PA.TO,WN-PA.TO,GEORGE WESTON LIMITED PR SERIES,George Weston Limited,1214400600,America/Toronto,EDT,-14400000,21.74,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
1,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Richard  Dufresne', 'title': 'Pres & CFO', 'fiscalYear': 2022, 'totalPay': 3128963, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,21.88,21.74,21.74,21.74,21.88,21.74,21.74,21.74,1.45,0.066700004,1693353600,5.8,0.409155,6.749457,200,200,4789,3799,3799,21.75,21.74,13038739456,21.42,24.77,0.22220452,21.9968,22.957926,2.693,0.12308045,CAD,29058861056,0.0297,59273241,127317000,63532,78949,1690761600,1693440000,0.0,0.17503999,16.93,44.758,0.48572323,1672444800,1703980800,1686960000,-0.211,1699000064,3.221,0.495,4.623,TOR,EQUITY,WN-PA.TO,WN-PA.TO,GEORGE WESTON LIMITED PR SERIES,George Weston Limited,1214400600,America/Toronto,EDT,-14400000,21.74,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
2,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Robert  Sawyer', 'age': 68, 'title': 'Chief Operating Officer of Loblaw', 'yearBorn': 1954, 'fiscalYear': 2022, 'totalPay': 5313460, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,21.88,21.74,21.74,21.74,21.88,21.74,21.74,21.74,1.45,0.066700004,1693353600,5.8,0.409155,6.749457,200,200,4789,3799,3799,21.75,21.74,13038739456,21.42,24.77,0.22220452,21.9968,22.957926,2.693,0.12308045,CAD,29058861056,0.0297,59273241,127317000,63532,78949,1690761600,1693440000,0.0,0.17503999,16.93,44.758,0.48572323,1672444800,1703980800,1686960000,-0.211,1699000064,3.221,0.495,4.623,TOR,EQUITY,WN-PA.TO,WN-PA.TO,GEORGE WESTON LIMITED PR SERIES,George Weston Limited,1214400600,America/Toronto,EDT,-14400000,21.74,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
3,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Barry Kieran Columb', 'age': 57, 'title': ""Exec. VP of Loblaw & Pres of Pres's Choice Financial"", 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 3593208, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,21.88,21.74,21.74,21.74,21.88,21.74,21.74,21.74,1.45,0.066700004,1693353600,5.8,0.409155,6.749457,200,200,4789,3799,3799,21.75,21.74,13038739456,21.42,24.77,0.22220452,21.9968,22.957926,2.693,0.12308045,CAD,29058861056,0.0297,59273241,127317000,63532,78949,1690761600,1693440000,0.0,0.17503999,16.93,44.758,0.48572323,1672444800,1703980800,1686960000,-0.211,1699000064,3.221,0.495,4.623,TOR,EQUITY,WN-PA.TO,WN-PA.TO,GEORGE WESTON LIMITED PR SERIES,George Weston Limited,1214400600,America/Toronto,EDT,-14400000,21.74,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
4,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Rael Lee Diamond CPA, CA', 'age': 45, 'title': 'Pres & CEO of Choice Properties', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1827250, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,21.88,21.74,21.74,21.74,21.88,21.74,21.74,21.74,1.45,0.066700004,1693353600,5.8,0.409155,6.749457,200,200,4789,3799,3799,21.75,21.74,13038739456,21.42,24.77,0.22220452,21.9968,22.957926,2.693,0.12308045,CAD,29058861056,0.0297,59273241,127317000,63532,78949,1690761600,1693440000,0.0,0.17503999,16.93,44.758,0.48572323,1672444800,1703980800,1686960000,-0.211,1699000064,3.221,0.495,4.623,TOR,EQUITY,WN-PA.TO,WN-PA.TO,GEORGE WESTON LIMITED PR SERIES,George Weston Limited,1214400600,America/Toronto,EDT,-14400000,21.74,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
5,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. John  Williams', 'age': 56, 'title': 'Group Treasurer & Head of Corp. Fin.', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,21.88,21.74,21.74,21.74,21.88,21.74,21.74,21.74,1.45,0.066700004,1693353600,5.8,0.409155,6.749457,200,200,4789,3799,3799,21.75,21.74,13038739456,21.42,24.77,0.22220452,21.9968,22.957926,2.693,0.12308045,CAD,29058861056,0.0297,59273241,127317000,63532,78949,1690761600,1693440000,0.0,0.17503999,16.93,44.758,0.48572323,1672444800,1703980800,1686960000,-0.211,1699000064,3.221,0.495,4.623,TOR,EQUITY,WN-PA.TO,WN-PA.TO,GEORGE WESTON LIMITED PR SERIES,George Weston Limited,1214400600,America/Toronto,EDT,-14400000,21.74,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
6,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Roy  MacDonald', 'title': 'Group VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,21.88,21.74,21.74,21.74,21.88,21.74,21.74,21.74,1.45,0.066700004,1693353600,5.8,0.409155,6.749457,200,200,4789,3799,3799,21.75,21.74,13038739456,21.42,24.77,0.22220452,21.9968,22.957926,2.693,0.12308045,CAD,29058861056,0.0297,59273241,127317000,63532,78949,1690761600,1693440000,0.0,0.17503999,16.93,44.758,0.48572323,1672444800,1703980800,1686960000,-0.211,1699000064,3.221,0.495,4.623,TOR,EQUITY,WN-PA.TO,WN-PA.TO,GEORGE WESTON LIMITED PR SERIES,George Weston Limited,1214400600,America/Toronto,EDT,-14400000,21.74,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
7,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Gordon Andrew McDonald Currie', 'age': 63, 'title': 'Exec. VP & Chief Legal Officer', 'yearBorn': 1959, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,21.88,21.74,21.74,21.74,21.88,21.74,21.74,21.74,1.45,0.066700004,1693353600,5.8,0.409155,6.749457,200,200,4789,3799,3799,21.75,21.74,13038739456,21.42,24.77,0.22220452,21.9968,22.957926,2.693,0.12308045,CAD,29058861056,0.0297,59273241,127317000,63532,78949,1690761600,1693440000,0.0,0.17503999,16.93,44.758,0.48572323,1672444800,1703980800,1686960000,-0.211,1699000064,3.221,0.495,4.623,TOR,EQUITY,WN-PA.TO,WN-PA.TO,GEORGE WESTON LIMITED PR SERIES,George Weston Limited,1214400600,America/Toronto,EDT,-14400000,21.74,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
8,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Ms. Jennifer  Maccarone', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,21.88,21.74,21.74,21.74,21.88,21.74,21.74,21.74,1.45,0.066700004,1693353600,5.8,0.409155,6.749457,200,200,4789,3799,3799,21.75,21.74,13038739456,21.42,24.77,0.22220452,21.9968,22.957926,2.693,0.12308045,CAD,29058861056,0.0297,59273241,127317000,63532,78949,1690761600,1693440000,0.0,0.17503999,16.93,44.758,0.48572323,1672444800,1703980800,1686960000,-0.211,1699000064,3.221,0.495,4.623,TOR,EQUITY,WN-PA.TO,WN-PA.TO,GEORGE WESTON LIMITED PR SERIES,George Weston Limited,1214400600,America/Toronto,EDT,-14400000,21.74,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
9,22 St. Clair Avenue East,Suite 700,Toronto,ON,M4T 2S5,Canada,416 922 2500,https://www.weston.ca,Grocery Stores,Consumer Defensive,"George Weston Limited provides food and drug retailing, and financial services in Canada and internationally. The company operates through two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, pharmacy, health and beauty, apparel, general merchandise, and financial services. It operates retail drug stores under the Shoppers Drug Mart name. This segment also provides credit card services, insurance brokerage services, guaranteed investment certificates, and wireless mobile products and services. The Choice Properties segment owns, operates, and manages commercial, residential, tenant, industrial, and office properties. It provides products under the President's Choice, no name, Life Brand, and Farmer's Market brands. The company was founded in 1882 and is based in Toronto, Canada. George Weston Limited is a subsidiary of Wittington Investments, Limited.",221285,"{'maxAge': 1, 'name': 'Mr. Khush  Dadyburjor', 'age': 55, 'title': 'Chief Strategy Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,1,7,3,1693526400,1672444800,86400,2,21.88,21.74,21.74,21.74,21.88,21.74,21.74,21.74,1.45,0.066700004,1693353600,5.8,0.409155,6.749457,200,200,4789,3799,3799,21.75,21.74,13038739456,21.42,24.77,0.22220452,21.9968,22.957926,2.693,0.12308045,CAD,29058861056,0.0297,59273241,127317000,63532,78949,1690761600,1693440000,0.0,0.17503999,16.93,44.758,0.48572323,1672444800,1703980800,1686960000,-0.211,1699000064,3.221,0.495,4.623,TOR,EQUITY,WN-PA.TO,WN-PA.TO,GEORGE WESTON LIMITED PR SERIES,George Weston Limited,1214400600,America/Toronto,EDT,-14400000,21.74,none,2520999936,18.282,6286000128,21240999936,0.744,1.389,58679001088,157.189,416.608,0.06251,0.20627001,18520000000,1536749952,5072999936,-0.179,0.07,0.32512,0.107130006,0.08199,CAD,
